star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name,Exo
Gaia DR3 2106414144223503360,b,-0.05,nan,-0.41,-0.46,-0.16,0.02,-0.15,-0.11,-0.03,nan,0.0,0.04,0.06,-0.1,nan,0.02,-0.18,285.3490179212474,45.55618471123079,nan,nan,nan,1069.45416177256,N/A,nan,nan,nan,nan,nan,nan,5084.0967,4.383333333333334,0.89,0.889688,,,1,Transit,469.61309,0.0143,-0.0143,1.117,,,,,,89.61,,,,,,,,,3.24,0.64,-0.28,,,,1069.45,,,,,,,,,1
Gaia DR3 2106427750679026688,b,-0.11,nan,-0.17,0.04,-0.33,-0.13,-0.14,-0.15,-0.06,nan,-0.03,-0.24,-0.1,-0.58,nan,-0.2,-0.02,286.54361541548406,45.304861527145114,nan,nan,nan,1137.80564330751,N/A,nan,nan,nan,nan,nan,nan,6309.0,4.0200000000000005,1.19,1.80461,,,1,Transit,6.76284377,6.948e-05,-6.948e-05,0.074,,,,,,89.38,,,,,,,,,0.88,0.56,-0.1,,,,1137.81,,,,,,,,,1
Gaia DR3 2106431392811409536,c,-0.15,nan,-0.14,-0.14,-0.29,-0.17,-0.29,-0.18,-0.12,nan,-0.17,-0.16,-0.1,-0.29,nan,-0.17,0.1,286.39861301720157,45.34353970562373,nan,nan,nan,812.523624203223,N/A,nan,nan,nan,nan,nan,nan,5312.3,4.575,0.92,0.792004,,,2,Transit,14.7512034,0.000204,-0.000204,0.1159,,,,,,88.81,,,,,,,,,1.63,0.62,-0.12,,,,812.524,,,,,,,,,1
Gaia DR3 2106595941599427072,b,-0.18,nan,-0.09,-0.11,-0.45,-0.17,-0.17,-0.18,-0.14,nan,-0.02,-0.03,-0.13,-0.45,nan,-0.21,-0.2,284.51018743085734,43.961647881356704,nan,nan,nan,803.775688101397,N/A,nan,nan,nan,nan,nan,nan,6277.4453,3.856666666666667,1.16,1.23222,,,1,Transit,,,,,,,,,,,,,,,,,,,2.352,0.457,-0.179,0.21,0.041,-0.016,803.776,,,,,,,,,1
Gaia DR3 2106673594608070656,,0.05,nan,0.05,0.01,0.02,0.07,-0.1,-0.11,0.06,nan,-0.02,0.04,0.05,0.0,nan,0.11,0.02,284.01100912150565,44.49429687197232,nan,nan,nan,468.194856596063,N/A,nan,nan,nan,nan,nan,nan,5887.3335,4.2,1.07,1.31499,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2106674071344722688,d,-0.33,nan,-0.29,-0.24,-0.48,-0.26,-0.32,-0.31,-0.25,-0.38,-0.27,-0.27,-0.3,-0.48,-0.32,-0.33,-0.26,284.0596150184985,44.51816377897963,nan,nan,nan,63.9207485861763,N/A,nan,nan,nan,nan,nan,nan,5402.25,4.579625,0.94,0.79137,,,4,Transit,39.792232,5.2e-05,-5.2e-05,0.208,,,,,,89.38,,,,,,,,,1.94,0.08,-0.08,,,,63.9207,,,,,,,,,1
Gaia DR3 2106685070760644224,,-0.19,-2.1,-0.16,-0.33,-0.31,-0.08,nan,-0.21,-0.12,nan,-0.15,-0.22,-0.26,nan,nan,-0.25,nan,283.7135908413465,44.61558103016756,nan,nan,nan,98.0239135917563,N/A,nan,nan,nan,nan,nan,nan,5143.45,4.473333333333334,nan,0.8609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2106703212701656576,b,-0.1,nan,-0.01,0.21,-0.19,0.03,0.05,0.01,-0.03,nan,0.08,0.03,-0.08,-0.3,nan,-0.05,0.0,284.6753919053168,44.417755500851094,nan,nan,nan,813.543441720892,N/A,nan,nan,nan,nan,nan,nan,5540.3335,4.22,1.0,1.35747,,,1,Transit,,,,,,,,,,,,,,,,,,,1.342,0.081,-0.07,0.12,0.007,-0.006,813.543,,,,,,,,,1
Gaia DR3 2106705269988803072,b,0.21,nan,0.23,0.22,0.15,0.21,0.17,0.2,0.23,nan,0.22,0.23,0.2,0.13,nan,0.25,0.17,284.4824515916461,44.39800523413045,nan,nan,nan,445.655641834877,N/A,nan,nan,nan,nan,nan,nan,5514.3335,4.1334285714285715,1.0,1.45161,,,1,Transit,11.523063,2.8e-05,-2.8e-05,0.102,,,,,,86.52,,,,,,,,,2.78,0.3,-0.3,,,,445.656,,,,,,,,,1
Gaia DR3 2106710978002603904,c,-0.3,nan,-0.2,-0.22,-0.49,-0.28,-0.58,-0.31,-0.25,nan,-0.19,-0.2,-0.31,-0.66,nan,-0.32,-0.4,284.78829277408533,44.59167389492571,nan,nan,nan,1087.86771309792,N/A,nan,nan,nan,nan,nan,nan,5918.5,4.175,1.07,1.54571,,,2,Transit,29.66629667,6.106e-05,-6.106e-05,0.1831,,,,,,89.95,,,,,,,,,2.7,0.48,-0.3,,,,1087.87,,,,,,,,,1
Gaia DR3 2106739943262307200,e,-0.29,nan,-0.11,-0.05,-0.3,-0.14,-0.12,-0.11,-0.16,nan,-0.04,-0.29,-0.19,-0.54,nan,-0.17,-0.08,284.67727977397203,44.79766622692504,nan,nan,nan,1337.60981769134,N/A,nan,nan,nan,nan,nan,nan,5856.7373,4.46,1.06,1.10046,,,4,Transit,44.3470995,0.0001632,-0.0001632,0.2427,,,,,,89.95,,,,,,,,,2.59,1.05,-0.21,,,,1337.61,,,,,,,,,1
Gaia DR3 2106748395758012288,,0.12,nan,0.12,0.08,0.13,0.27,nan,0.05,0.14,nan,0.07,0.03,0.04,nan,nan,0.04,nan,284.7937491558167,44.9504658836909,nan,nan,nan,268.04858586424,N/A,nan,nan,nan,nan,nan,nan,6028.5,4.093333333333334,1.157,2.18322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2106784610922074496,b,0.14,nan,0.1,0.03,0.0,0.1,0.0,0.13,0.16,nan,0.09,0.07,0.12,0.09,nan,0.15,0.08,283.89963591702195,45.01690005287495,nan,nan,nan,636.029743058444,N/A,nan,nan,nan,nan,nan,nan,6178.3496,4.42,1.0,0.979904,,,1,Transit,17.421125,6.2e-05,-6.2e-05,0.13,,,,,,87.66,,,,,,,,,2.87,0.83,-0.83,,,,636.03,,,,,,,,,1
Gaia DR3 2106821925598401152,b,0.0,nan,-0.05,-0.05,-0.27,-0.11,-0.18,-0.0,0.04,nan,-0.03,0.0,-0.02,-0.16,nan,-0.09,0.12,284.0611266820307,45.50684652314451,nan,nan,nan,253.29512900241,N/A,nan,nan,nan,nan,nan,nan,5341.6665,4.6,0.94,0.82465,,,1,Transit,5.83598311,4.66e-06,-4.66e-06,0.0621,,,,,,89.95,,,,,,,,,1.93,0.24,-0.08,,,,253.295,,,,,,,,,1
Gaia DR3 2106904148451706752,b,0.04,nan,-0.02,0.16,-0.12,-0.03,-0.14,0.03,0.09,nan,0.05,-0.04,0.06,-0.25,nan,-0.03,0.06,283.1506683344607,45.13981823201551,nan,nan,nan,147.527446304768,N/A,nan,nan,nan,nan,nan,nan,6374.6665,4.1715,1.238,1.42749,,,1,Transit,,,,,,,,,,,,,,,,,,,2.742,0.117,-0.108,0.245,0.01,-0.01,147.527,,,,,,,,,1
Gaia DR3 2106958363820214016,b,-0.07,nan,-0.07,-0.04,-0.18,-0.11,-0.3,-0.08,-0.02,nan,-0.05,-0.1,-0.03,-0.34,nan,-0.09,-0.01,282.6999260822943,45.42577950949668,nan,nan,nan,535.047957141199,N/A,nan,nan,nan,nan,nan,nan,5985.0,4.083333333333333,1.12,1.77996,,,1,Transit,2.99793191,2.517e-05,-2.517e-05,0.0417,,,,,,87.09,,,,,,,,,0.84,0.48,-0.14,,,,535.048,,,,,,,,,1
Gaia DR3 2106994445843935872,,0.01,nan,-0.03,0.04,-0.21,-0.04,-0.17,0.01,0.03,nan,-0.02,-0.03,-0.01,-0.27,nan,-0.03,0.03,283.3504637856604,45.33910321984308,nan,nan,nan,324.656113421025,N/A,nan,nan,nan,nan,nan,nan,6075.0,4.263333333333334,1.18,1.25935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2107084399639196544,b,0.27,nan,0.14,0.08,0.19,0.27,0.28,0.31,0.32,nan,0.33,0.22,0.19,0.65,nan,0.34,0.2,282.42303200148274,46.01400826879719,nan,nan,nan,455.479345936174,N/A,nan,nan,nan,nan,nan,nan,5062.25,4.49812,0.76,0.813542,,,1,Transit,62.8691611,0.0009586,-0.0009586,0.2901,,,,,,89.95,,,,,,,,,1.58,2.69,-0.16,,,,455.479,,,,,,,,,1
Gaia DR3 2107201909944691968,,-0.15,nan,-0.18,-0.14,-0.35,-0.18,-0.28,-0.2,-0.1,nan,-0.15,-0.18,-0.13,-0.37,nan,-0.21,-0.1,284.3861504291254,45.719720978796914,nan,nan,nan,390.55196989946,N/A,nan,nan,nan,nan,nan,nan,5311.3335,4.5649999999999995,0.92,0.763872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2107236613280607104,b,-0.13,nan,-0.22,0.0,-0.33,-0.13,-0.38,-0.1,-0.1,nan,-0.06,0.05,-0.12,-0.49,nan,-0.18,-0.18,284.5557382117856,46.063839790458935,nan,nan,nan,553.077375174584,N/A,nan,nan,nan,nan,nan,nan,6390.25,4.31,1.28,1.20263,,,1,Transit,9.94067247,6.55e-06,-6.55e-06,0.0945,,,,,,89.95,,,,,,,,,2.8,1.57,-0.38,,,,553.077,,,,,,,,,1
Gaia DR3 2107287568772183168,,-0.35,nan,-0.42,-0.29,-0.49,-0.31,-0.43,-0.41,-0.29,nan,-0.26,-0.39,-0.43,-0.56,nan,-0.35,-0.2,284.7910030897902,46.28491757052222,nan,nan,nan,333.889380022973,N/A,nan,nan,nan,nan,nan,nan,5189.5,nan,nan,2.81875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2107315365800640896,,0.18,nan,-0.1,0.28,0.05,0.05,-0.08,0.11,0.24,nan,0.18,0.14,0.14,-0.1,nan,0.12,0.22,285.077669131888,46.41961265050042,nan,nan,nan,297.77984755972,N/A,nan,nan,nan,nan,nan,nan,6269.2,4.115,1.16,2.0954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2107342716152550272,b,0.18,nan,0.07,0.29,0.0,0.06,-0.02,0.11,0.23,nan,0.24,0.23,0.18,-0.04,nan,0.16,0.38,284.5937018320122,46.44976963768999,nan,nan,nan,614.647555471469,N/A,nan,nan,nan,nan,nan,nan,6013.775,3.9775,1.1,2.33958,,,1,Transit,6.98141327,7.603e-05,-7.603e-05,0.0806,,,,,,83.27,,,,,,,,,1.42,0.09,-0.13,,,,614.648,,,,,,,,,1
Gaia DR3 2107492421531881856,b,0.25,nan,0.23,0.23,0.28,0.24,0.24,0.26,0.27,nan,0.22,0.22,0.28,0.26,nan,0.33,0.26,282.6313874659,46.481067485765294,nan,nan,nan,688.794680900328,N/A,nan,nan,nan,nan,nan,nan,5475.3335,4.233333333333333,0.98,1.80581,,,1,Transit,2.88878583,1.761e-05,-1.761e-05,0.0415,,,,,,88.09,,,,,,,,,0.84,0.16,-0.14,,,,688.795,,,,,,,,,1
Gaia DR3 2107563271311787136,b,0.08,nan,0.03,-0.08,0.03,0.04,-0.02,0.07,0.08,nan,0.07,0.09,0.09,-0.02,nan,0.09,-0.01,283.5653094379047,46.90426007300241,nan,nan,nan,389.142955996866,N/A,nan,nan,nan,nan,nan,nan,5023.3,4.515,0.836,0.797922,,,1,Transit,3.57554956,2.329e-05,-2.329e-05,0.0431,,,,,,83.65,,,,,,,,,1.0,0.73,-0.12,,,,389.143,,,,,,,,,1
Gaia DR3 2107586872155346304,,0.05,nan,0.05,-0.17,-0.19,0.02,-0.12,0.03,0.06,nan,0.03,0.07,0.08,-0.09,nan,0.03,0.1,283.8514685944684,47.24369342022191,nan,nan,nan,330.394744782857,N/A,nan,nan,nan,nan,nan,nan,5917.0,4.425000000000001,1.07,1.0769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2107617246162706048,d,-0.53,nan,-0.39,0.03,-0.61,-0.38,-0.64,-0.52,-0.47,nan,-0.1,-0.38,-0.54,-0.83,nan,-0.52,-0.3,283.33606171679037,47.17451605905535,nan,nan,nan,453.795347950029,N/A,nan,nan,nan,nan,nan,nan,3903.0,3.66,0.588706,0.600757,,,4,Transit,20.9569985,0.0001793,-0.0001793,0.126,,,,,,89.86,,,,,,,,,2.38,0.15,-0.11,,,,453.795,,,,,,,,,1
Gaia DR3 2107658516506930048,,0.03,nan,-0.04,-0.13,-0.12,0.0,-0.06,0.02,0.04,nan,0.02,0.09,0.01,-0.06,nan,0.06,0.05,283.42915698684993,47.592477989722255,nan,nan,nan,340.965227770099,N/A,nan,nan,nan,nan,nan,nan,5478.5,4.446666666666667,0.985,0.991425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2108452638780763008,,0.06,nan,0.12,-0.06,0.01,0.17,0.06,0.04,0.17,0.19,0.12,0.1,0.09,-0.04,0.16,0.07,-0.3,278.2145783761063,38.83329525294391,nan,nan,nan,91.2292829554737,N/A,nan,nan,nan,nan,nan,nan,5775.25,3.73,1.14,3.09313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2110053699509360640,,-0.02,nan,nan,0.03,nan,0.06,0.02,nan,-0.05,nan,-0.01,nan,nan,nan,nan,nan,nan,278.7772583018843,39.84570732666925,nan,nan,nan,401.964933119454,N/A,nan,nan,nan,nan,nan,nan,4897.92,3.2,nan,5.64051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2110471101610527616,,-0.4,nan,-0.8,nan,nan,-0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,278.4271800954214,41.258088353545126,nan,nan,nan,216.5844,N/A,nan,nan,nan,nan,nan,nan,6005.062,4.43148,0.935,0.97432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2114079252094820992,,-0.01,nan,-0.16,-0.07,-0.13,-0.07,-0.19,-0.04,-0.11,0.08,-0.11,0.0,-0.06,-0.25,-0.08,-0.11,nan,272.22268604670546,43.56278610495393,nan,nan,nan,224.8776,N/A,nan,nan,nan,nan,nan,nan,5132.535,nan,nan,11.8928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2114382335056498432,,-0.34,nan,nan,nan,-0.35,-0.15,-0.33,-0.25,-0.21,0.07,-0.02,-0.1,-0.14,-0.42,0.04,-0.24,-0.61,270.6285817400138,44.23389995119421,nan,nan,nan,82.9894115860747,N/A,nan,nan,nan,nan,nan,nan,6621.0,4.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2114628561232485760,,-0.45,nan,nan,nan,-0.6,-0.4,-0.59,-0.37,-0.46,-0.3,-0.49,-0.43,-0.49,-0.78,-0.4,-0.49,nan,275.6376092696853,43.44905093729312,nan,nan,nan,452.015083803778,N/A,nan,nan,nan,nan,nan,nan,4420.0,nan,nan,26.8735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2114801906112366592,,-0.08,nan,-0.19,-0.05,-0.21,0.01,-0.18,-0.02,-0.11,0.03,-0.15,-0.07,-0.13,-0.33,-0.08,-0.1,nan,273.5179764583306,43.28939595509349,nan,nan,nan,194.184447920452,N/A,nan,nan,nan,nan,nan,nan,4653.9,nan,nan,10.1396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2116862833283266432,d,-0.04,nan,-0.08,0.01,-0.2,-0.07,-0.18,-0.03,0.04,nan,-0.0,-0.09,-0.06,-0.33,nan,-0.07,-0.1,281.11234252230844,43.227788994974546,nan,nan,nan,486.545879439759,N/A,nan,nan,nan,nan,nan,nan,5953.0,4.115,1.11,1.63518,,,3,Transit,,,,,,,,,,,,,,,,,,,1.307,0.055,-0.265,0.117,0.005,-0.024,486.546,,,,,,,,,1
Gaia DR3 2116898606069151104,,0.36,nan,0.66,0.22,0.52,0.42,0.25,0.31,0.38,nan,0.32,0.34,0.36,0.39,nan,0.43,0.29,281.0533733003814,43.53399085179836,nan,nan,nan,183.047490662358,N/A,nan,nan,nan,nan,nan,nan,5002.125,3.612,nan,2.74016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2117151420726319872,b,-0.09,nan,-0.08,-0.03,-0.21,-0.1,-0.24,-0.07,-0.03,nan,-0.05,-0.1,-0.11,-0.37,nan,-0.13,-0.06,280.249468825216,43.915107698985956,nan,nan,nan,506.3574671474,N/A,nan,nan,nan,nan,nan,nan,6237.0,4.255,1.18,1.29258,,,1,Transit,10.60052251,9.265e-05,-9.265e-05,0.0949,,,,,,88.24,,,,,,,,,0.87,0.15,-0.08,,,,506.357,,,,,,,,,1
Gaia DR3 2117317588719059968,c,0.02,nan,-0.05,-0.01,-0.19,-0.08,-0.09,0.03,0.04,nan,-0.08,0.03,0.06,-0.14,nan,-0.04,0.13,281.34879489490135,44.2952384188105,nan,nan,nan,400.479540680843,N/A,nan,nan,nan,nan,nan,nan,5344.0,4.523333333333333,0.919,0.841918,,,2,Transit,4.33722404,5.64e-06,-5.64e-06,0.0471,,,,,,89.38,,,,,,,,,1.59,1.79,-0.2,,,,400.48,,,,,,,,,1
Gaia DR3 2117317829237452160,c,0.06,nan,0.02,-0.04,-0.1,0.08,0.0,0.03,0.03,nan,0.09,0.07,0.02,-0.07,nan,0.09,0.03,281.2797036976514,44.31553808212269,nan,nan,nan,968.543814350712,N/A,nan,nan,nan,nan,nan,nan,5759.7266,4.376666666666667,1.02,1.06544,,,2,Transit,5.99653344,8.39e-06,-8.39e-06,0.0638,,,,,,87.63,,,,,,,,,2.96,0.44,-0.35,,,,968.544,,,,,,,,,1
Gaia DR3 2117325354020877568,,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.959019343536,43.84672421686294,nan,nan,nan,469.439854208689,N/A,nan,nan,nan,nan,nan,nan,4387.02,2.07,nan,18.374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2117335077826003840,,-0.04,nan,0.02,-0.03,-0.19,-0.03,-0.13,-0.08,0.02,nan,-0.02,0.02,-0.05,-0.21,nan,-0.06,-0.31,280.92614256833605,44.0879101374746,nan,nan,nan,305.792179076218,N/A,nan,nan,nan,nan,nan,nan,4897.3335,4.5633333333333335,0.79,0.741337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2117369540643692544,,0.05,nan,-0.02,-0.01,-0.25,-0.01,-0.18,-0.02,0.07,nan,0.01,0.12,0.11,-0.15,nan,-0.02,0.22,281.0734124282339,44.457563207772495,nan,nan,nan,159.184064208121,N/A,nan,nan,nan,nan,nan,nan,5658.9004,4.52,0.985,0.988605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2117396341239154560,b,0.06,nan,-0.01,0.03,-0.01,0.05,-0.01,0.01,0.1,nan,0.14,0.22,0.07,-0.1,nan,0.08,0.12,281.76640915129116,44.2925373148458,nan,nan,nan,1492.27391906592,N/A,nan,nan,nan,nan,nan,nan,5601.0,4.216666666666667,nan,1.03547,,,1,Transit,0.67737516,1.25e-06,-1.25e-06,,,,,,,,,,,,,,,,0.89,0.09,-0.06,0.079,0.008,-0.005,557.652,,,,,,,,,1
Gaia DR3 2117851225515903744,,-0.22,nan,nan,nan,-0.33,0.06,-0.2,0.04,-0.22,-0.01,-0.05,-0.16,-0.24,-0.42,-0.1,-0.14,nan,278.200609923884,44.086565763229935,nan,nan,nan,389.544676599782,N/A,nan,nan,nan,nan,nan,nan,4255.0,nan,nan,28.7859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2119099931425654912,,0.03,nan,0.0,-0.04,-0.13,-0.06,-0.08,0.03,0.05,nan,-0.01,0.06,0.05,-0.11,nan,0.02,0.12,282.11783929069566,46.223931157080536,nan,nan,nan,297.017308178526,N/A,nan,nan,nan,nan,nan,nan,5819.0,4.506666666666667,1.0,0.988958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2119130163697443840,b,0.02,nan,-0.3,0.07,-0.23,-0.06,-0.43,0.07,0.07,nan,0.09,-0.15,-0.0,-0.46,nan,-0.11,0.13,282.301251291053,46.51619823552102,nan,nan,nan,1075.80797309455,N/A,nan,nan,nan,nan,nan,nan,6842.25,4.09,1.36,2.53418,,,1,Transit,3.70429015,2.561e-05,-2.561e-05,0.0502,,,,,,90.0,,,,,,,,,1.45,0.31,-0.45,,,,1075.81,,,,,,,,,1
Gaia DR3 2119132916774654080,,0.08,nan,0.06,0.16,-0.27,-0.08,-0.34,0.07,0.09,nan,0.07,0.03,0.09,-0.15,nan,-0.03,0.16,282.1948286581689,46.522889679104054,nan,nan,nan,194.064052577889,N/A,nan,nan,nan,nan,nan,nan,5895.05,4.41,1.078,1.60916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2119132916774654208,,0.05,nan,-0.01,-0.07,-0.2,0.01,-0.11,0.03,0.08,nan,0.02,0.06,0.05,-0.09,nan,0.03,0.1,282.1984481440875,46.5203166102673,nan,nan,nan,193.881758578173,N/A,nan,nan,nan,nan,nan,nan,4922.62,4.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2119147279145539584,,-0.1,nan,-0.06,0.11,-0.16,0.05,-0.42,-0.16,-0.05,nan,-0.08,0.06,-0.14,-0.45,nan,-0.19,0.55,281.91353602037844,46.68610534136229,nan,nan,nan,187.833947373059,N/A,nan,nan,nan,nan,nan,nan,6343.0,4.2059999999999995,1.276,1.78715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 2119147897620835840,b,-0.34,nan,-0.23,-0.17,-0.55,-0.34,-0.41,-0.33,-0.32,nan,-0.25,-0.29,-0.35,-0.76,nan,-0.42,-0.35,281.897320997618,46.72265161352229,nan,nan,nan,946.601963356243,N/A,nan,nan,nan,nan,nan,nan,5845.0,4.135,1.08,1.46132,,,1,Transit,5.49548621,2.92e-05,-2.92e-05,0.0614,,,,,,89.38,,,,,,,,,1.33,0.68,-0.33,,,,946.602,,,,,,,,,1
Gaia DR3 2119190331898329088,,-0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,281.587072505079,46.6350853153818,nan,nan,nan,298.042878801285,N/A,nan,nan,nan,nan,nan,nan,5140.7236,3.71,nan,3.12527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
