f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
HIP 89474 ,0.03 ,-2.40 ,0.01 ,0.02 ,-0.03 ,0.05 ,0.02 ,0.02 ,0.04 ,0.18 ,-0.01 ,0.02 ,,-0.10 ,0.02 ,0.02 ,-0.06 ,273.8852644 ,45.2093167 ,1.112 ,-16.380 ,16.538 ,23.30 ,thin ,G1V ,6.31 ,0.641 ,-4.50 ,-62.10 ,-22.70 ,5778.5 ,4.23 ,1.04 ,1.17 ,b ,15.1479 ,0.03 ,0.12 ,0.1192 ,
HIP 65583 ,-0.10 ,,0.06 ,0.13 ,-0.10 ,-0.01 ,-0.14 ,-0.04 ,-0.04 ,0.02 ,-0.07 ,-0.16 ,-0.10 ,-0.37 ,-0.11 ,-0.13 ,-0.06 ,201.6851020 ,16.9486673 ,-68.295 ,-27.157 ,22.398 ,76.83 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6115.0 ,4.11 ,1.15 ,1.56 ,,,,,,
HIP 98353 ,-0.20 ,-3.28 ,,,0.09 ,-0.07 ,0.01 ,0.03 ,-0.03 ,-0.01 ,-0.03 ,-0.06 ,-0.15 ,-0.22 ,-0.07 ,-0.15 ,,299.7383455 ,-26.1957662 ,51.606 ,-90.334 ,-51.182 ,115.94 ,thin ,G6IIIa:Ba0.3 ,4.85 ,0.882 ,-52.90 ,2.00 ,12.90 ,5131.5 ,2.83 ,,16.26 ,,,,,,
HIP 98355 ,-0.52 ,-0.76 ,-0.44 ,-0.23 ,-0.46 ,-0.39 ,-0.55 ,-0.49 ,-0.49 ,-0.38 ,-0.49 ,-0.54 ,-0.62 ,-0.80 ,-0.43 ,-0.56 ,-0.58 ,299.7439220 ,-46.0880451 ,17.778 ,-31.113 ,-37.222 ,51.67 ,thin ,F8Vm-2 ,7.50 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6223.3 ,4.30 ,1.21 ,1.29 ,,,,,,
HIP 57 ,,,0.05 ,-0.10 ,0.02 ,0.01 ,0.04 ,0.04 ,0.09 ,0.08 ,0.07 ,0.16 ,0.05 ,-0.06 ,0.02 ,,0.15 ,0.1680004 ,-69.6759657 ,10.181 ,0.030 ,-27.488 ,29.31 ,thin ,K1V ,8.24 ,0.863 ,22.90 ,-23.60 ,-19.20 ,5167.3 ,4.42 ,0.88 ,0.81 ,,,,,,
HIP 65595 ,-0.05 ,,-0.04 ,0.18 ,-0.03 ,0.02 ,,0.05 ,0.04 ,,0.01 ,,,-0.03 ,,0.02 ,,201.7366920 ,78.6438700 ,-16.298 ,-6.498 ,87.364 ,89.11 ,thin ,G3IIIbFe-1CH1 ,5.75 ,0.769 ,-57.60 ,-20.00 ,6.60 ,5488.7 ,3.42 ,,6.68 ,,,,,,
HIP 98365 ,-0.08 ,,-0.25 ,-0.12 ,-0.14 ,-0.18 ,-0.24 ,-0.16 ,-0.13 ,-0.07 ,-0.23 ,-0.14 ,-0.18 ,-0.47 ,-0.18 ,-0.22 ,-0.27 ,299.7762966 ,70.3721633 ,44.234 ,-77.312 ,249.759 ,265.17 ,N/A ,G5 ,7.95 ,0.828 ,,,,5377.0 ,,,8.01 ,,,,,,
HIP 65602 ,-0.20 ,,0.04 ,,-0.15 ,-0.15 ,-0.11 ,-0.21 ,-0.09 ,-0.01 ,,0.19 ,-0.15 ,-0.34 ,-0.14 ,-0.20 ,,201.7621050 ,-24.2904358 ,-25.235 ,-10.074 ,-12.263 ,29.81 ,thin ,K2+V ,8.73 ,0.911 ,-41.40 ,-25.60 ,-7.90 ,4971.5 ,4.42 ,0.82 ,0.74 ,,,,,,
HIP 114699 ,-0.10 ,-1.79 ,-0.01 ,-0.04 ,-0.13 ,0.03 ,0.01 ,-0.06 ,-0.01 ,-0.04 ,0.06 ,0.02 ,-0.09 ,-0.23 ,-0.02 ,-0.11 ,,348.5274498 ,-62.7000034 ,13.119 ,-2.663 ,-25.936 ,29.19 ,thin ,G8V+ ,6.12 ,0.787 ,-65.40 ,-60.60 ,29.50 ,5351.0 ,3.99 ,0.92 ,1.97 ,b ,5513.0 ,13.4 ,0.768 ,7.03 ,
HIP 80 ,-0.52 ,-1.48 ,-0.36 ,-0.16 ,-0.56 ,-0.22 ,-0.41 ,-0.40 ,-0.38 ,-0.32 ,-0.37 ,-0.53 ,-0.58 ,-0.84 ,-0.40 ,-0.58 ,-0.67 ,0.2428307 ,-11.8237401 ,70.128 ,0.297 ,-14.681 ,71.65 ,thick ,G2V ,8.40 ,0.566 ,-111.50 ,-91.50 ,-24.80 ,5862.7 ,4.05 ,1.07 ,1.33 ,,,,,,
HIP 98385 ,-0.58 ,,,,,,,,,,,,,,,,,299.8443355 ,1.3776985 ,89.565 ,-156.110 ,4.328 ,180.03 ,thin ,G8III ,6.18 ,1.129 ,-42.10 ,60.00 ,13.70 ,4476.0 ,,,21.08 ,,,,,,
HIP 32851 ,-0.38 ,,-0.26 ,-0.14 ,-0.34 ,-0.26 ,-0.37 ,-0.34 ,-0.34 ,-0.34 ,-0.16 ,-0.32 ,-0.57 ,-0.73 ,-0.45 ,-0.42 ,-0.22 ,102.7076290 ,-0.5408850 ,-6.529 ,28.954 ,-0.280 ,29.68 ,thin ,F3V ,5.78 ,0.396 ,24.40 ,-13.70 ,-9.40 ,6621.9 ,4.21 ,1.38 ,1.43 ,,,,,,
HIP 81934 ,-0.01 ,,0.08 ,0.19 ,-0.21 ,-0.01 ,-0.09 ,0.05 ,-0.06 ,0.14 ,-0.06 ,0.02 ,-0.07 ,-0.22 ,0.07 ,0.04 ,-0.01 ,251.0583391 ,65.2373933 ,-46.776 ,-136.298 ,312.398 ,344.03 ,thin ,K0 ,7.86 ,1.219 ,31.10 ,-35.30 ,-0.70 ,4578.0 ,,,17.11 ,,,,,,
HIP 65626 ,-0.18 ,,-0.23 ,,-0.19 ,-0.14 ,-0.14 ,-0.17 ,-0.10 ,-0.04 ,0.02 ,0.20 ,-0.18 ,-0.34 ,-0.16 ,-0.21 ,,201.8253563 ,-39.9528112 ,-30.473 ,-12.204 ,-27.499 ,42.82 ,N/A ,K3V ,9.59 ,0.936 ,,,,4902.0 ,4.36 ,0.80 ,0.74 ,,,,,,
HIP 65627 ,0.13 ,-0.43 ,,,,,,,,,,,,,,,,201.8252897 ,46.8201614 ,-45.615 ,-18.268 ,52.363 ,71.81 ,N/A ,F8 ,9.13 ,0.640 ,,,,5780.0 ,4.46 ,1.04 ,1.00 ,,,,,,
HIP 32868 ,0.11 ,,0.06 ,0.02 ,0.07 ,0.08 ,0.03 ,0.11 ,0.06 ,,0.09 ,0.03 ,0.08 ,,0.09 ,0.13 ,,102.7434224 ,-17.8544074 ,-14.743 ,65.190 ,-21.529 ,70.22 ,thin ,G2V ,8.14 ,0.632 ,-74.50 ,-50.30 ,13.40 ,5960.5 ,4.17 ,1.09 ,1.43 ,,,,,,
HIP 65639 ,0.26 ,-2.61 ,-0.03 ,0.10 ,0.56 ,0.38 ,0.41 ,0.51 ,0.28 ,0.25 ,0.27 ,0.27 ,0.34 ,0.29 ,0.35 ,0.34 ,0.18 ,201.8631812 ,-15.9735828 ,-70.769 ,-28.396 ,-21.827 ,79.32 ,thin ,K0III-IIIbCN1.5CH0.5 ,4.76 ,1.096 ,-48.60 ,-17.90 ,3.30 ,4633.7 ,2.38 ,,13.06 ,,,,,,
HIP 32872 ,-0.12 ,,,,-0.24 ,,,,,,,,,,,,,102.7479541 ,5.8423032 ,-20.170 ,89.153 ,9.353 ,91.88 ,thin ,F5 ,6.94 ,0.506 ,-22.00 ,-20.50 ,-24.50 ,6377.5 ,4.00 ,1.27 ,2.76 ,,,,,,
HIP 65641 ,0.06 ,,0.09 ,,-0.10 ,0.04 ,-0.02 ,0.02 ,0.02 ,,0.02 ,0.03 ,,-0.08 ,,0.04 ,-0.04 ,201.8650555 ,44.7070318 ,-36.586 ,-14.682 ,39.021 ,55.47 ,thin ,G5 ,8.43 ,0.692 ,6.40 ,22.90 ,-6.90 ,5713.0 ,4.43 ,1.02 ,1.09 ,,,,,,
HIP 32874 ,-0.03 ,,-0.02 ,0.02 ,-0.10 ,-0.02 ,-0.10 ,-0.04 ,-0.01 ,,0.01 ,,-0.03 ,-0.22 ,,-0.05 ,-0.04 ,102.7517891 ,25.7603599 ,-6.841 ,30.229 ,14.957 ,34.41 ,thin ,F9V ,6.98 ,0.600 ,-3.80 ,-30.80 ,-10.40 ,5970.0 ,4.34 ,1.09 ,1.19 ,,,,,,
HIP 98413 ,-0.34 ,,-0.36 ,,-0.31 ,-0.35 ,-0.26 ,-0.33 ,-0.25 ,-0.23 ,-0.12 ,,-0.32 ,-0.56 ,-0.32 ,-0.37 ,,299.9413726 ,-20.2104102 ,16.293 ,-28.287 ,-12.017 ,34.78 ,N/A ,K2+V ,9.23 ,0.920 ,,,,4902.0 ,4.45 ,0.80 ,0.72 ,,,,,,
2MASS 23155829+3127462 ,0.25 ,-3.67 ,0.30 ,0.15 ,0.22 ,0.21 ,0.15 ,0.14 ,0.18 ,,0.22 ,0.32 ,0.05 ,0.02 ,,0.18 ,-0.02 ,348.9929190 ,31.4628596 ,118.056 ,-22.963 ,73.593 ,141.00 ,N/A ,,,,,,,4690.0 ,4.39 ,0.75 ,0.75 ,b ,3.09272932 ,3.21 ,0.0601 ,0.0378 ,
2MASS 19032487+3823028 ,0.26 ,,0.25 ,0.21 ,0.22 ,0.22 ,0.20 ,0.25 ,0.25 ,,0.21 ,0.26 ,0.25 ,0.21 ,,0.29 ,0.21 ,285.8537122 ,38.3841139 ,122.280 ,-430.588 ,354.572 ,571.03 ,N/A ,,,,,,,5380.5 ,4.40 ,0.93 ,1.00 ,b c d ,29.1989838 55.3285813 160.0200597 ,None None None ,None None None ,0.1757 0.2691 None ,
HIP 98416 ,-0.09 ,-0.90 ,,-0.10 ,-0.12 ,0.04 ,-0.01 ,-0.09 ,0.03 ,0.32 ,-0.04 ,-0.03 ,,-0.12 ,0.10 ,-0.11 ,0.10 ,299.9470012 ,-9.9582318 ,10.478 ,-18.187 ,-3.685 ,21.31 ,thin ,F9V ,5.88 ,0.598 ,53.10 ,-26.90 ,-1.80 ,5884.4 ,4.24 ,,,,,,,,
HIP 122 ,-0.16 ,-3.28 ,,,,,,,,,,,,,,,,0.3988090 ,-77.0657307 ,14.248 ,0.099 ,-62.039 ,63.65 ,thin ,K3III ,4.78 ,1.254 ,35.50 ,-41.90 ,30.70 ,4436.0 ,,,14.20 ,,,,,,
HIP 32892 ,0.28 ,,0.39 ,0.19 ,0.25 ,0.22 ,0.20 ,0.23 ,0.27 ,,0.20 ,0.22 ,0.24 ,0.23 ,,0.32 ,0.26 ,102.7992609 ,40.4953377 ,-18.383 ,80.919 ,70.861 ,109.12 ,thin ,G0... ,8.94 ,0.711 ,-21.50 ,8.60 ,8.40 ,5761.0 ,4.10 ,1.03 ,1.50 ,,,,,,
