f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
HIP 39326 ,-0.16 ,-3.24 ,-0.12 ,-0.12 ,-0.11 ,0.10 ,-0.20 ,-0.10 ,-0.02 ,-0.01 ,-0.14 ,-0.19 ,-0.11 ,-0.32 ,-0.15 ,-0.23 ,-0.02 ,120.6082064 ,-6.3371351 ,-56.358 ,95.265 ,-12.293 ,111.37 ,thin ,F8/G0IV ,6.34 ,0.615 ,15.60 ,6.70 ,-3.20 ,5861.0 ,3.21 ,,5.45 ,,,,,,
HIP 72097 ,-0.12 ,-3.28 ,,,0.16 ,-0.08 ,,0.02 ,0.02 ,0.02 ,,0.01 ,-0.02 ,-0.19 ,-0.05 ,-0.09 ,,221.2311457 ,-58.4774929 ,-47.658 ,-41.768 ,-103.321 ,121.21 ,thin ,K0III ,6.11 ,1.013 ,-48.60 ,-18.00 ,-1.40 ,4976.5 ,2.73 ,,10.77 ,,,,,,
HIP 39330 ,0.15 ,,0.11 ,0.10 ,0.12 ,0.22 ,0.16 ,0.13 ,0.14 ,0.22 ,0.11 ,0.05 ,0.15 ,0.09 ,0.15 ,0.14 ,0.21 ,120.6124492 ,-46.3363057 ,-12.796 ,21.626 ,-26.329 ,36.40 ,thin ,G2V ,7.50 ,0.655 ,-48.90 ,-15.70 ,-0.70 ,5867.7 ,4.42 ,1.06 ,1.03 ,,,,,,
2MASS 19323620+4143452 ,-0.45 ,,-0.31 ,-0.28 ,-0.58 ,-0.43 ,-0.82 ,-0.41 ,-0.39 ,,-0.36 ,-0.27 ,-0.50 ,-0.82 ,,-0.50 ,-0.61 ,293.1508226 ,41.7292382 ,260.273 ,-608.705 ,590.440 ,887.06 ,N/A ,,,,,,,5997.6 ,4.25 ,1.11 ,1.31 ,b c ,21.1875846 31.828 ,None 0.0326 ,None None ,0.1457 None ,
HIP 39342 ,0.07 ,,,0.29 ,0.09 ,,,0.02 ,-0.10 ,,0.10 ,0.15 ,-0.02 ,-0.02 ,0.22 ,0.04 ,,120.6299467 ,-66.0209388 ,-3.575 ,6.039 ,-15.777 ,17.27 ,thin ,K2V(k) ,7.17 ,0.872 ,9.70 ,-38.60 ,-30.00 ,5143.0 ,4.54 ,0.87 ,0.80 ,,,,,,
HIP 6575 ,-0.17 ,,-0.15 ,-0.12 ,-0.34 ,-0.15 ,-0.27 ,-0.14 ,-0.12 ,,-0.16 ,-0.14 ,-0.16 ,-0.35 ,,-0.19 ,-0.09 ,21.1166632 ,39.0620619 ,23.933 ,9.243 ,20.822 ,33.04 ,thin ,G5 ,8.39 ,0.784 ,-33.40 ,-10.20 ,-5.60 ,5407.5 ,4.57 ,0.90 ,0.81 ,,,,,,
HIP 42773 ,0.12 ,,0.13 ,,-0.09 ,0.08 ,0.09 ,0.10 ,0.23 ,,0.14 ,,0.06 ,,,0.09 ,,130.7341771 ,48.1925507 ,-24.229 ,28.135 ,41.517 ,55.70 ,thin ,G0 ,7.88 ,0.574 ,-12.70 ,-26.20 ,-10.40 ,6136.5 ,4.35 ,1.16 ,1.20 ,,,,,,
HIP 72119 ,-0.05 ,,0.28 ,0.22 ,0.09 ,0.09 ,0.19 ,0.01 ,0.08 ,0.39 ,0.27 ,0.47 ,0.03 ,-0.14 ,0.15 ,0.01 ,0.03 ,221.2905785 ,-49.9162773 ,-13.247 ,-11.634 ,-20.949 ,27.38 ,thick ,K2+V ,8.39 ,0.936 ,-68.40 ,-79.60 ,-9.90 ,4972.5 ,4.42 ,,,,,,,,
HIP 104888 ,-2.29 ,,,,,,,,,,,-2.53 ,,,,,,318.7019566 ,11.0083988 ,150.821 ,-132.490 ,39.052 ,204.51 ,N/A ,F8: ,12.32 ,0.549 ,,,,5542.5 ,4.11 ,0.93 ,0.80 ,,,,,,
HIP 72125 ,0.03 ,-2.64 ,-0.30 ,-0.13 ,0.20 ,0.11 ,0.17 ,0.17 ,0.12 ,-0.01 ,-0.04 ,-0.15 ,0.06 ,-0.11 ,,-0.02 ,-0.01 ,221.3102572 ,16.9642682 ,-51.801 ,-45.524 ,21.037 ,72.10 ,thin ,G8.5III ,4.60 ,0.972 ,-6.00 ,-28.70 ,-2.80 ,4955.0 ,2.89 ,,11.68 ,,,,,,
HIP 6592 ,-0.19 ,,,,-0.04 ,,-0.02 ,0.01 ,-0.12 ,-0.15 ,-0.03 ,-0.06 ,-0.20 ,-0.06 ,-0.06 ,-0.16 ,,21.1699453 ,-41.4925468 ,54.484 ,21.100 ,-51.678 ,78.00 ,thick ,K0III ,5.43 ,1.030 ,5.90 ,-32.30 ,-67.30 ,4735.5 ,2.67 ,,10.20 ,,,,,,
HIP 72131 ,-0.21 ,,-0.01 ,0.51 ,0.34 ,-0.08 ,,-0.14 ,-0.05 ,0.45 ,-0.09 ,-0.38 ,-0.12 ,-0.19 ,0.59 ,-0.37 ,0.09 ,221.3222331 ,-62.8756501 ,-16.831 ,-14.798 ,-43.751 ,49.16 ,thin ,F0Vn ,5.36 ,0.308 ,3.00 ,6.10 ,-23.40 ,7113.5 ,3.94 ,1.60 ,2.39 ,,,,,,
HIP 6597 ,-0.06 ,,-0.17 ,0.06 ,-0.35 ,-0.12 ,-0.11 ,-0.22 ,-0.03 ,,0.07 ,-0.04 ,-0.18 ,-0.30 ,,0.03 ,0.14 ,21.1789179 ,36.0639035 ,182.404 ,70.673 ,142.458 ,241.99 ,thick ,G5 ,7.86 ,1.020 ,-24.10 ,-44.50 ,-57.40 ,4777.0 ,,,10.41 ,,,,,,
HIP 72134 ,-0.15 ,-0.64 ,-0.12 ,0.02 ,-0.24 ,-0.03 ,-0.28 ,-0.17 ,-0.13 ,-0.05 ,-0.13 ,-0.31 ,-0.19 ,-0.39 ,-0.17 ,-0.26 ,-0.06 ,221.3277145 ,-18.0028871 ,-41.898 ,-36.844 ,-18.131 ,58.67 ,thin ,G1V ,8.22 ,0.563 ,-28.70 ,-30.20 ,-9.20 ,6124.3 ,4.66 ,1.15 ,1.08 ,,,,,,
HIP 104903 ,0.33 ,-1.90 ,0.22 ,0.14 ,0.36 ,0.30 ,0.29 ,0.30 ,0.30 ,0.38 ,0.33 ,0.30 ,0.32 ,0.35 ,0.40 ,0.35 ,0.40 ,318.7407021 ,-20.7892118 ,32.305 ,-28.340 ,-16.315 ,45.97 ,thin ,G6V ,8.07 ,0.714 ,25.00 ,-17.30 ,-12.30 ,5760.8 ,4.51 ,1.03 ,1.05 ,,,,,,
HIP 6605 ,-0.07 ,-3.33 ,-0.17 ,-0.04 ,-0.13 ,0.04 ,-0.03 ,-0.08 ,-0.07 ,-0.08 ,-0.06 ,-0.19 ,-0.17 ,-0.18 ,-0.04 ,-0.14 ,-0.18 ,21.2028379 ,-2.8485897 ,69.768 ,27.065 ,-3.724 ,74.93 ,thin ,K0III ,6.17 ,0.959 ,11.20 ,-17.20 ,21.10 ,4864.0 ,2.91 ,,6.68 ,,,,,,
HIP 6607 ,-0.37 ,,-0.12 ,-0.05 ,-0.26 ,-0.08 ,-0.07 ,-0.19 ,-0.20 ,-0.15 ,-0.07 ,-0.22 ,-0.32 ,-0.62 ,-0.23 ,-0.32 ,-0.38 ,21.2050292 ,-27.8390453 ,33.710 ,13.079 ,-19.096 ,40.89 ,thick ,G6V(W) ,8.36 ,0.684 ,-25.30 ,-84.80 ,-75.50 ,5517.8 ,4.50 ,0.97 ,0.93 ,,,,,,
HIP 72146 ,-0.14 ,,,,,,,,,,,,,,,,,221.3507618 ,13.8463157 ,-13.704 ,-12.061 ,4.500 ,18.80 ,thin ,K2.5V ,7.87 ,0.931 ,-6.20 ,-30.00 ,-6.70 ,5250.0 ,4.60 ,0.90 ,0.61 ,,,,,,
HIP 6613 ,0.04 ,,-0.01 ,-0.05 ,-0.22 ,,-0.07 ,-0.05 ,0.01 ,,-0.03 ,0.01 ,-0.03 ,-0.16 ,,-0.03 ,-0.18 ,21.2247669 ,18.4999319 ,27.811 ,10.801 ,9.983 ,31.46 ,thin ,K2 ,8.49 ,0.912 ,-59.00 ,-62.80 ,-14.60 ,5053.0 ,4.53 ,0.84 ,0.83 ,,,,,,
HIP 104922 ,0.09 ,,-0.05 ,0.09 ,0.05 ,0.13 ,0.05 ,0.05 ,0.08 ,0.25 ,0.12 ,0.01 ,0.13 ,,0.13 ,0.07 ,0.14 ,318.7987048 ,-15.7412069 ,49.508 ,-43.343 ,-18.547 ,68.36 ,thin ,G3V ,8.96 ,0.660 ,42.20 ,-37.20 ,-23.50 ,5847.0 ,4.46 ,1.06 ,0.98 ,,,,,,
HIP 72155 ,0.18 ,,0.04 ,-0.03 ,0.07 ,0.09 ,0.06 ,0.15 ,0.17 ,,0.18 ,0.15 ,0.19 ,,0.05 ,0.16 ,,221.3778059 ,-37.9566693 ,-35.724 ,-31.470 ,-37.138 ,60.38 ,thin ,G1IV ,8.36 ,0.609 ,-24.30 ,-22.60 ,-4.30 ,6180.0 ,4.49 ,1.18 ,1.02 ,,,,,,
2MASS 19114694+3913500 ,0.25 ,,0.26 ,0.18 ,0.35 ,0.23 ,0.18 ,0.24 ,0.29 ,,0.24 ,0.29 ,0.30 ,0.23 ,,0.31 ,0.15 ,287.9456126 ,39.2305558 ,118.178 ,-364.891 ,313.157 ,495.16 ,N/A ,,,,,,,5178.8 ,4.50 ,0.88 ,0.88 ,b ,0.81316672 ,None ,None ,0.0163 ,
2MASS 19052120+4844387 ,0.17 ,,0.10 ,0.04 ,0.01 ,0.14 ,0.09 ,0.12 ,0.16 ,,0.12 ,0.12 ,0.16 ,0.04 ,,0.20 ,0.23 ,286.3384105 ,48.7441014 ,51.259 ,-174.855 ,207.732 ,276.32 ,N/A ,,,,,,,5835.5 ,4.14 ,1.05 ,1.45 ,b ,2.12823928 ,None ,None ,0.0338 ,
HIP 104941 ,-0.10 ,,-0.32 ,-0.24 ,-0.30 ,-0.15 ,-0.21 ,-0.27 ,-0.09 ,,-0.13 ,-0.15 ,-0.14 ,-0.20 ,,-0.09 ,0.06 ,318.8634901 ,42.0263807 ,37.527 ,-32.779 ,44.906 ,67.08 ,thin ,K0III ,6.60 ,0.903 ,-44.30 ,-15.20 ,16.50 ,4971.0 ,,,4.42 ,,,,,,
HIP 6639 ,-0.30 ,,-0.31 ,,-0.08 ,-0.28 ,0.06 ,-0.31 ,-0.21 ,0.20 ,0.05 ,0.29 ,-0.21 ,-0.51 ,-0.16 ,-0.30 ,,21.2895348 ,-1.0596821 ,29.653 ,11.555 ,-0.589 ,31.83 ,thin ,K3 ,9.47 ,1.026 ,44.30 ,-15.30 ,-26.20 ,4728.0 ,4.34 ,0.76 ,0.67 ,,,,,,
HIP 6643 ,0.04 ,-0.68 ,0.13 ,0.03 ,-0.04 ,0.06 ,,,0.05 ,0.12 ,0.06 ,-0.06 ,-0.04 ,-0.22 ,0.02 ,,0.06 ,21.3021483 ,28.5666949 ,36.679 ,14.302 ,21.435 ,44.83 ,thin ,F8 ,7.11 ,0.577 ,-44.30 ,-36.90 ,-31.00 ,6063.0 ,4.29 ,1.12 ,1.41 ,b ,227.04 ,1.766 ,0.306 ,0.75 ,
HIP 22953 ,0.48 ,,0.55 ,0.11 ,0.56 ,0.38 ,0.40 ,0.54 ,0.41 ,,0.39 ,,0.21 ,,,0.50 ,,74.0762938 ,-51.0475142 ,9.241 ,32.391 ,-41.666 ,53.58 ,thin ,G8IV ,8.24 ,0.770 ,17.10 ,-72.10 ,8.80 ,5541.3 ,4.19 ,0.98 ,1.22 ,,,,,,
HIP 39417 ,0.29 ,-2.56 ,0.33 ,0.19 ,0.40 ,0.34 ,0.33 ,0.31 ,0.27 ,0.40 ,0.32 ,0.29 ,0.28 ,0.31 ,0.40 ,0.35 ,0.26 ,120.8694484 ,-1.1627109 ,-27.332 ,45.724 ,-1.081 ,53.28 ,thin ,G8IV(+G) ,8.26 ,0.715 ,-13.20 ,-64.80 ,-27.90 ,5716.0 ,4.33 ,1.01 ,1.16 ,b c ,2288.9 39000.0 ,3.19 27.0 ,0.418 0.32 ,3.455 23.0 ,
HIP 6653 ,0.19 ,,0.21 ,0.01 ,0.20 ,0.23 ,0.17 ,0.20 ,0.19 ,0.31 ,0.20 ,0.17 ,0.20 ,0.13 ,0.30 ,0.21 ,0.19 ,21.3337778 ,1.4608577 ,37.149 ,14.509 ,1.017 ,39.90 ,thin ,G3V ,7.39 ,0.675 ,-5.80 ,-17.40 ,-4.90 ,5784.7 ,4.30 ,1.04 ,1.23 ,,,,,,
HIP 72190 ,0.32 ,,0.28 ,0.23 ,0.42 ,0.23 ,0.23 ,0.28 ,0.27 ,0.44 ,0.26 ,0.28 ,0.30 ,0.25 ,0.30 ,0.34 ,0.28 ,221.4866061 ,10.0520069 ,-41.294 ,-36.516 ,9.771 ,55.98 ,thin ,G2IV ,7.51 ,0.612 ,-20.20 ,-23.90 ,-4.30 ,6032.7 ,4.34 ,1.12 ,1.47 ,,,,,,
HIP 104959 ,0.02 ,-0.50 ,0.06 ,-0.06 ,,0.07 ,-0.04 ,-0.01 ,0.04 ,0.01 ,0.09 ,0.05 ,0.03 ,-0.20 ,-0.09 ,-0.04 ,,318.9001206 ,-39.4527623 ,35.033 ,-30.561 ,-38.258 ,60.21 ,thin ,G1V ,8.61 ,0.611 ,-23.50 ,-6.70 ,-10.60 ,5915.5 ,4.68 ,1.08 ,0.99 ,,,,,,
HIP 39424 ,,-2.37 ,-0.19 ,-0.06 ,0.22 ,0.11 ,0.25 ,0.21 ,0.14 ,0.02 ,0.08 ,0.07 ,0.16 ,0.06 ,0.10 ,0.09 ,-0.01 ,120.8795675 ,27.7943621 ,-33.788 ,56.502 ,34.702 ,74.42 ,thin ,K1-IIIb ,4.94 ,1.130 ,4.20 ,-11.40 ,-14.90 ,4540.0 ,2.73 ,,13.12 ,,,,,,
HIP 104963 ,-0.09 ,-3.32 ,-0.26 ,-0.32 ,0.04 ,0.08 ,0.08 ,0.17 ,-0.10 ,-0.25 ,-0.22 ,-0.27 ,-0.05 ,-0.21 ,-0.14 ,-0.12 ,-0.12 ,318.9079136 ,-20.6516979 ,157.411 ,-137.280 ,-78.722 ,223.21 ,thin ,K0II/III ,5.16 ,1.161 ,-12.20 ,-3.60 ,-7.60 ,4477.5 ,2.25 ,,34.60 ,,,,,,
HIP 72199 ,-0.07 ,-0.87 ,0.07 ,0.01 ,-0.17 ,-0.15 ,-0.24 ,-0.07 ,-0.13 ,,-0.25 ,-0.35 ,,-0.50 ,-0.21 ,-0.21 ,,221.5098645 ,36.8912410 ,-62.760 ,-55.545 ,62.906 ,104.79 ,thin ,F2 ,8.58 ,0.589 ,39.60 ,-22.60 ,-44.10 ,5827.6 ,3.83 ,1.06 ,1.83 ,,,,,,
HIP 72200 ,0.23 ,,,,,,,,,,,,,,,,,221.5128005 ,27.5123479 ,-17.567 ,-15.549 ,12.219 ,26.45 ,thin ,K1V ,7.96 ,0.870 ,-1.90 ,-7.70 ,-19.50 ,5021.0 ,4.43 ,0.83 ,0.90 ,,,,,,
HIP 94059 ,-0.49 ,,-0.41 ,-0.10 ,-0.71 ,-0.40 ,-0.42 ,-0.54 ,-0.33 ,,-0.29 ,-0.45 ,-0.57 ,-0.86 ,,-0.43 ,-0.12 ,287.2344116 ,-28.7410395 ,49.316 ,-158.976 ,-91.283 ,189.84 ,thick ,G8IV ,7.98 ,0.990 ,79.30 ,-28.20 ,-73.40 ,4734.0 ,,,8.63 ,,,,,,
HIP 6670 ,-0.28 ,-3.79 ,-0.42 ,-0.39 ,-0.07 ,-0.05 ,0.11 ,-0.01 ,-0.19 ,-0.26 ,-0.16 ,-0.13 ,-0.11 ,-0.29 ,-0.14 ,-0.22 ,-0.33 ,21.4051362 ,-14.5987893 ,75.325 ,29.527 ,-21.073 ,83.61 ,thin ,K2+III-IIIbCN0.5 ,4.92 ,1.231 ,-4.80 ,-18.40 ,22.60 ,4340.0 ,2.30 ,,17.67 ,,,,,,
2MASS 19095098+1740074 ,0.10 ,,0.06 ,,0.01 ,0.08 ,0.07 ,0.15 ,,0.17 ,0.03 ,0.03 ,0.06 ,0.01 ,0.10 ,0.12 ,,287.4619722 ,17.6684468 ,2.933 ,-9.324 ,3.114 ,10.26 ,N/A ,,,,,,,3125.0 ,5.02 ,0.19 ,0.22 ,,,,,,
HIP 72217 ,0.22 ,,,,0.43 ,0.40 ,0.28 ,0.23 ,0.31 ,0.54 ,0.28 ,0.16 ,0.26 ,0.16 ,0.33 ,0.23 ,0.37 ,221.5453260 ,-21.1759590 ,-28.791 ,-25.513 ,-14.902 ,41.25 ,thin ,G2V ,6.43 ,0.603 ,-4.20 ,-20.20 ,-10.00 ,6120.0 ,,,,,,,,,
HIP 72218 ,0.27 ,,-0.03 ,0.04 ,0.13 ,0.06 ,0.01 ,-0.03 ,0.21 ,,0.13 ,0.09 ,0.21 ,0.23 ,,0.29 ,0.57 ,221.5562632 ,-7.7969585 ,-113.106 ,-100.266 ,-20.697 ,152.56 ,thin ,K0III ,7.14 ,1.029 ,-14.10 ,-5.10 ,-17.10 ,4964.0 ,,,8.28 ,,,,,,
HIP 39457 ,0.13 ,,0.17 ,0.06 ,0.05 ,0.15 ,0.07 ,0.16 ,0.13 ,,0.13 ,0.06 ,0.12 ,,0.10 ,0.16 ,,120.9741328 ,-31.5442571 ,-40.384 ,67.279 ,-48.169 ,92.07 ,N/A ,G3V ,8.72 ,0.689 ,,,,5727.0 ,4.05 ,1.02 ,1.58 ,,,,,,
HIP 6692 ,0.04 ,-3.28 ,,,,,,,,,,,,,,,,21.4834229 ,68.1300108 ,20.565 ,8.094 ,55.061 ,59.33 ,thin ,K0III-IIIbCN0.5 ,4.73 ,1.047 ,-8.10 ,-23.00 ,9.40 ,4700.0 ,2.74 ,,10.01 ,,,,,,
HIP 72235 ,-0.09 ,,-0.26 ,,-0.44 ,-0.15 ,-0.22 ,-0.13 ,-0.10 ,,-0.05 ,-0.14 ,-0.10 ,,-0.21 ,-0.14 ,,221.5936939 ,-33.7661621 ,-26.576 ,-23.590 ,-23.758 ,42.75 ,thin ,G5V ,8.44 ,0.710 ,18.80 ,5.50 ,-7.40 ,5596.0 ,4.54 ,0.99 ,0.88 ,,,,,,
HIP 39468 ,0.08 ,,0.14 ,0.03 ,0.10 ,-0.10 ,-0.26 ,0.06 ,0.10 ,0.40 ,0.11 ,0.08 ,0.06 ,-0.13 ,-0.02 ,0.02 ,,121.0054532 ,-26.9733222 ,-25.880 ,43.062 ,-25.570 ,56.37 ,thin ,F5V ,7.17 ,0.466 ,-26.70 ,-25.00 ,1.70 ,6614.3 ,4.49 ,1.39 ,1.42 ,,,,,,
HIP 39470 ,-0.33 ,,-0.52 ,,-0.30 ,-0.42 ,-0.34 ,-0.44 ,-0.21 ,0.18 ,-0.07 ,0.15 ,-0.30 ,-0.58 ,-0.38 ,-0.37 ,,121.0078846 ,-35.2761407 ,-18.503 ,30.785 ,-25.409 ,44.00 ,N/A ,M0 ,10.83 ,1.017 ,,,,4571.0 ,4.40 ,0.72 ,0.57 ,,,,,,
HIP 6710 ,-1.62 ,,,-1.28 ,-1.80 ,-1.25 ,-1.70 ,-1.31 ,-1.37 ,,-1.41 ,-1.86 ,-1.86 ,-1.68 ,,-1.66 ,,21.5733104 ,17.1264233 ,376.366 ,148.811 ,124.712 ,423.50 ,N/A ,G5 ,8.34 ,0.960 ,,,,4601.7 ,1.42 ,,17.67 ,,,,,,
HIP 6711 ,-0.16 ,,-0.05 ,0.03 ,-0.18 ,-0.16 ,-0.32 ,-0.11 ,-0.14 ,-0.39 ,-0.17 ,-0.13 ,-0.26 ,-0.36 ,-0.20 ,-0.21 ,-0.14 ,21.5778588 ,43.4577406 ,28.763 ,11.375 ,29.308 ,42.61 ,thin ,F7V ,5.99 ,0.520 ,-34.60 ,5.80 ,-18.20 ,6169.8 ,3.95 ,1.20 ,2.13 ,,,,,,
HIP 6712 ,0.23 ,,0.14 ,0.13 ,0.23 ,0.10 ,0.12 ,0.17 ,0.24 ,,0.20 ,0.30 ,0.20 ,0.13 ,,0.19 ,0.19 ,21.5799049 ,-4.6740784 ,45.243 ,17.895 ,-3.978 ,48.82 ,thin ,G6V ,8.14 ,0.707 ,42.90 ,-8.10 ,7.90 ,5675.3 ,4.23 ,,,,,,,,
2MASS 18561431+4431052 ,-0.33 ,,-0.29 ,-0.23 ,-0.48 ,-0.26 ,-0.32 ,-0.31 ,-0.25 ,-0.38 ,-0.27 ,-0.27 ,-0.30 ,-0.48 ,-0.32 ,-0.33 ,-0.26 ,284.0596157 ,44.5181637 ,11.072 ,-44.212 ,44.817 ,63.92 ,N/A ,,9.77 ,,,,,5411.5 ,4.53 ,0.94 ,0.79 ,b c d e ,13.3669309 21.30199109 39.79223792 51.2069 ,None None None None ,None None None None ,None 0.1398 0.2121 0.246 ,
HIP 6714 ,0.18 ,,-0.06 ,-0.05 ,0.01 ,0.15 ,0.09 ,0.06 ,0.11 ,,0.08 ,-0.01 ,0.06 ,-0.04 ,,0.02 ,,21.5983222 ,20.0708063 ,83.391 ,33.014 ,32.769 ,95.49 ,thin ,K0III ,6.45 ,0.947 ,-20.60 ,-19.20 ,-17.70 ,4974.0 ,2.91 ,,6.88 ,,,,,,
2MASS 19315309+4102087 ,0.05 ,,-0.05 ,-0.12 ,-0.21 ,-0.06 ,-0.17 ,-0.05 ,0.09 ,,0.01 ,0.02 ,0.07 ,-0.16 ,,-0.07 ,0.13 ,292.9712328 ,41.0357691 ,88.050 ,-207.723 ,196.371 ,299.10 ,N/A ,,,,,,,5602.9 ,4.48 ,0.99 ,0.95 ,b ,5.44832529 ,None ,None ,0.0575 ,
HIP 39491 ,0.06 ,,0.16 ,0.19 ,0.12 ,0.22 ,0.08 ,0.06 ,0.08 ,0.08 ,0.16 ,0.20 ,0.06 ,-0.03 ,0.12 ,0.07 ,,121.0920630 ,-28.4167628 ,-28.694 ,47.582 ,-30.064 ,63.18 ,thin ,G8/K0V ,9.35 ,0.787 ,27.90 ,3.70 ,8.60 ,5415.7 ,4.29 ,0.95 ,0.93 ,,,,,,
HIP 6732 ,0.06 ,-3.60 ,-0.08 ,0.08 ,0.12 ,0.15 ,0.18 ,0.24 ,0.05 ,0.06 ,0.04 ,0.01 ,0.06 ,0.06 ,0.20 ,0.09 ,-0.02 ,21.6736627 ,19.2404266 ,81.899 ,32.548 ,30.760 ,93.34 ,thin ,K1III ,5.50 ,1.106 ,13.30 ,-48.80 ,14.80 ,4625.0 ,2.84 ,,12.12 ,,,,,,
HIP 50274 ,-0.30 ,,,-0.12 ,-0.49 ,-0.18 ,-0.26 ,-0.26 ,-0.30 ,-0.21 ,-0.19 ,-0.33 ,-0.35 ,-0.51 ,-0.26 ,-0.36 ,-0.27 ,153.9770406 ,-77.8675544 ,-8.179 ,3.993 ,-42.341 ,43.31 ,thick ,G8V ,8.95 ,0.780 ,29.80 ,-72.00 ,-46.40 ,5264.7 ,4.45 ,0.90 ,0.82 ,,,,,,
HIP 105038 ,0.01 ,-4.03 ,-0.12 ,-0.01 ,-0.18 ,-0.04 ,-0.15 ,0.04 ,0.03 ,,-0.03 ,-0.05 ,-0.10 ,-0.14 ,,-0.05 ,-0.08 ,319.1352794 ,9.3938263 ,12.054 ,-10.428 ,2.637 ,16.16 ,thin ,K3V ,7.88 ,1.020 ,-10.70 ,-20.00 ,-4.80 ,4724.3 ,4.68 ,0.76 ,0.69 ,,,,,,
HIP 39506 ,-0.53 ,-2.35 ,-0.04 ,-0.18 ,-0.44 ,-0.18 ,-0.25 ,-0.38 ,-0.31 ,,-0.26 ,-0.61 ,,,-0.65 ,-0.46 ,,121.1243469 ,9.2679348 ,-15.201 ,25.174 ,4.799 ,29.80 ,thin ,G5VFe-1.3CH-1 ,7.26 ,0.632 ,64.50 ,24.90 ,11.90 ,5731.2 ,4.40 ,1.04 ,0.97 ,,,,,,
2MASS 18454576+4714472 ,0.03 ,,-0.10 ,-0.19 ,-0.10 ,0.05 ,-0.05 ,-0.01 ,0.03 ,,0.05 ,0.04 ,0.05 ,-0.08 ,,0.09 ,0.04 ,281.4406974 ,47.2464750 ,61.875 ,-305.746 ,337.417 ,459.52 ,N/A ,,,,,,,4846.0 ,4.56 ,0.79 ,0.77 ,,,,,,
2MASS 19393351+4922471 ,-0.18 ,,-0.18 ,-0.23 ,-0.26 ,-0.11 ,-0.21 ,-0.22 ,-0.02 ,,-0.14 ,-0.10 ,-0.11 ,-0.28 ,,-0.15 ,0.03 ,294.8896168 ,49.3797637 ,113.772 ,-245.217 ,315.168 ,415.22 ,N/A ,,,,,,,5121.0 ,4.62 ,0.86 ,0.75 ,b ,1.91694425 ,None ,None ,0.0274 ,
HIP 6744 ,-0.05 ,,0.02 ,-0.13 ,-0.04 ,-0.03 ,,-0.06 ,-0.03 ,-0.02 ,0.02 ,0.02 ,-0.06 ,-0.12 ,-0.03 ,-0.05 ,0.07 ,21.7051895 ,-29.4749680 ,34.338 ,13.668 ,-20.888 ,42.45 ,thin ,G5V ,8.41 ,0.725 ,17.20 ,-36.60 ,-22.20 ,5567.2 ,4.41 ,0.97 ,0.92 ,,,,,,
HIP 105050 ,-1.82 ,,,,,-1.61 ,,,-1.51 ,,-1.40 ,-2.26 ,-1.78 ,-2.11 ,-1.46 ,-1.83 ,,319.1734711 ,-1.3024363 ,136.448 ,-117.889 ,-4.100 ,180.37 ,N/A ,,12.10 ,1.100 ,,,,5739.6 ,4.62 ,1.02 ,0.82 ,,,,,,
HIP 6748 ,0.25 ,,,,,,-0.03 ,,0.25 ,0.12 ,0.15 ,0.12 ,0.06 ,,,0.26 ,0.48 ,21.7148543 ,-13.0565104 ,32.147 ,12.802 ,-8.025 ,35.52 ,thin ,F0.5V ,5.52 ,0.321 ,-5.50 ,1.10 ,-9.20 ,7124.5 ,4.05 ,1.60 ,1.62 ,,,,,,
HIP 12048 ,0.17 ,-2.01 ,0.15 ,0.05 ,0.04 ,0.21 ,0.15 ,0.12 ,0.17 ,0.20 ,0.18 ,0.07 ,0.12 ,0.04 ,0.18 ,0.13 ,0.05 ,38.8330386 ,-3.5606029 ,29.378 ,23.648 ,-2.347 ,37.79 ,thin ,G8IV+F ,6.78 ,0.670 ,88.90 ,-45.00 ,-1.70 ,5757.4 ,4.14 ,1.03 ,1.52 ,b ,75.455 ,0.25 ,0.195 ,0.3609 ,
HIP 72290 ,-0.04 ,-3.28 ,,,0.13 ,-0.07 ,0.04 ,0.06 ,0.04 ,0.08 ,0.09 ,0.04 ,,0.19 ,0.01 ,-0.03 ,,221.7553907 ,-52.3835165 ,-35.141 ,-31.370 ,-61.132 ,77.17 ,thin ,G8III ,5.21 ,0.984 ,-26.00 ,-3.40 ,-27.40 ,4917.0 ,2.80 ,,9.91 ,,,,,,
HIP 105062 ,-0.20 ,,-0.32 ,,-0.04 ,-0.24 ,-0.04 ,-0.27 ,-0.10 ,0.34 ,0.11 ,0.42 ,-0.16 ,-0.42 ,-0.11 ,-0.21 ,,319.2495351 ,-46.0626155 ,20.620 ,-17.768 ,-28.248 ,39.23 ,N/A ,K2/3(V) ,10.08 ,1.079 ,,,,4732.0 ,4.43 ,0.76 ,0.64 ,,,,,,
HIP 39528 ,-0.02 ,,0.19 ,-0.01 ,,,,,,,,,,,,,,121.1781301 ,24.3302406 ,-22.001 ,36.359 ,19.215 ,46.64 ,thin ,G5 ,8.40 ,0.727 ,-26.50 ,2.20 ,7.10 ,5639.0 ,4.49 ,1.00 ,0.95 ,,,,,,
