star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
HIP 91085,b,0.22,,0.12,-0.03,0.09,0.13,0.08,0.16,0.21,,0.15,0.19,0.2,0.13,,0.21,0.16,278.6819832,-28.0723151,5.968,-39.086,-21.088,44.81,thin,G8V,8.65,0.767,23.2,-24.6,-8.4,5410.5,4.49,0.95,0.92,,,Gaia DR2 4048636941542753152,TIC 228217280,Radial Velocity,1523.0,40.0,-45.0,2.54,0.06,-0.06,0.4,0.061,-0.065,,,,2.6,0.15,-0.15,,,,
HIP 58331,b,-0.2,-2.6,-0.09,-0.06,-0.2,-0.11,-0.2,-0.12,-0.16,-0.08,-0.19,-0.31,-0.22,-0.37,-0.22,-0.25,-0.2,179.438762,-8.5487125,-54.902,0.538,-8.253,55.52,thin,F8V,6.58,0.568,-27.2,-16.6,7.0,5991.0,3.83,1.1,2.28,,,Gaia DR2 3594183153331697408,TIC 183648073,Radial Velocity,1919.0,14.0,-15.0,3.27,0.02,-0.01,0.31,0.03,-0.03,,,,1.44,0.06,-0.05,,,,
2MASS 18532841+4149186,b,0.29,,0.25,0.17,0.29,0.25,0.27,0.3,0.3,,0.29,0.34,0.31,0.3,,0.36,0.16,283.3684044,41.8218196,142.77,-600.753,552.518,828.59,N/A,,,,,,,5429.0,4.34,0.95,1.09,,,Gaia DR2 2104506319750394624,TIC 237157751,Transit,2.94030411,4.43e-06,-4.43e-06,0.0389,,,,,,89.95,,,,,,,,,8.9839
2MASS 18532841+4149186,c,0.29,,0.25,0.17,0.29,0.25,0.27,0.3,0.3,,0.29,0.34,0.31,0.3,,0.36,0.16,283.3684044,41.8218196,142.77,-600.753,552.518,828.59,N/A,,,,,,,5429.0,4.34,0.95,1.09,,,Gaia DR2 2104506319750394624,TIC 237157751,Transit,6.38901755,1.408e-05,-1.408e-05,0.0652,,,,,,89.95,,,,,,,,,15.11
2MASS 18532841+4149186,d,0.29,,0.25,0.17,0.29,0.25,0.27,0.3,0.3,,0.29,0.34,0.31,0.3,,0.36,0.16,283.3684044,41.8218196,142.77,-600.753,552.518,828.59,N/A,,,,,,,5429.0,4.34,0.95,1.09,,,Gaia DR2 2104506319750394624,TIC 237157751,Transit,14.62707812,7.295e-05,-7.295e-05,,,,,,,,,,,,,,,,
2MASS 18532841+4149186,e,0.29,,0.25,0.17,0.29,0.25,0.27,0.3,0.3,,0.29,0.34,0.31,0.3,,0.36,0.16,283.3684044,41.8218196,142.77,-600.753,552.518,828.59,N/A,,,,,,,5429.0,4.34,0.95,1.09,,,Gaia DR2 2104506319750394624,TIC 237157751,Transit,35.11836,0.00034,-0.00034,0.199,,,,,,88.24,,,,,,,,,30.6
HIP 91128,b,-0.02,,-0.07,,0.03,-0.34,0.08,-0.05,-0.15,-0.34,0.1,0.02,0.05,-0.18,0.01,-0.13,,278.8266273,45.7440379,1.666,-10.728,11.143,15.56,thin,M0,9.84,1.415,-39.9,-11.2,-34.1,3827.0,4.66,0.58,0.59,,,Gaia DR2 2118424350249708800,TIC 122958010,Radial Velocity,19.466,0.005,-0.005,0.119,0.002,-0.001,0.12,0.05,-0.06,,,,0.04292,0.00245,-0.00249,,,,
HIP 75049,b,-0.2,-2.94,-0.27,-0.05,-0.17,0.01,0.02,-0.05,-0.14,-0.09,-0.13,-0.2,-0.2,-0.29,-0.04,-0.21,-0.25,230.0356614,29.6162066,-47.345,-56.495,41.901,84.79,thin,K0III,5.51,1.015,-31.8,-62.3,-21.4,4760.0,2.69,,10.25,,,Gaia DR2 1275235752223276288,TIC 357502856,Radial Velocity,187.83,0.54,-0.54,0.83,,,0.191,0.085,-0.085,,,,1.5,,,,,,
2MASS 19244068+4238269,b,0.04,,0.03,0.06,-0.04,0.03,0.01,0.06,0.05,,0.02,0.04,0.06,-0.02,,0.04,-0.01,291.169516,42.6408052,153.267,-395.769,390.823,576.95,N/A,,,,,,,5463.3,4.45,0.96,0.96,,,Gaia DR2 2101964558106974848,TIC 159652365,Transit,16.08786246,2.474e-05,-2.474e-05,0.1207,,,,,,88.05,,,,,,,,,24.2
2MASS 19244068+4238269,c,0.04,,0.03,0.06,-0.04,0.03,0.01,0.06,0.05,,0.02,0.04,0.06,-0.02,,0.04,-0.01,291.169516,42.6408052,153.267,-395.769,390.823,576.95,N/A,,,,,,,5463.3,4.45,0.96,0.96,,,Gaia DR2 2101964558106974848,TIC 159652365,Transit,41.74949827,6.603e-05,-6.603e-05,0.2255,,,,,,89.95,,,,,,,,,56.53
