star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
2MASS 19290895+4311502,b,0.08,,-0.02,0.19,-0.06,-0.04,-0.15,0.03,0.19,,0.07,-0.08,0.09,-0.25,,0.01,0.21,292.2872878,43.1972667,392.254,-957.019,971.167,1418.77,N/A,,,,,,,6011.9,3.76,1.11,2.31,,,Gaia DR2 2125913531966017408,TIC 63211674,Transit,8.6001536,1.8e-06,-1.8e-06,0.0949,0.0018,-0.0019,0.18,,,85.51,0.52,-0.52,0.85,0.13,-0.13,1.99,0.18,-0.18,
HIP 89474,b,0.03,-2.4,0.01,0.02,-0.03,0.05,0.02,0.02,0.04,0.18,-0.01,0.02,,-0.1,0.02,0.02,-0.06,273.8852644,45.2093167,1.112,-16.38,16.538,23.3,thin,G1V,6.31,0.641,-4.5,-62.1,-22.7,5778.5,4.23,1.04,1.17,,,Gaia DR2 2115351387048328832,TIC 416117806,Radial Velocity,15.1479,0.0035,-0.0037,0.1192,0.0017,-0.0018,0.12,0.11,-0.082,,,,0.03,0.0038,-0.0037,,,,
HIP 114699,b,-0.1,-1.79,-0.01,-0.04,-0.13,0.03,0.01,-0.06,-0.01,-0.04,0.06,0.02,-0.09,-0.23,-0.02,-0.11,,348.5274498,-62.7000034,13.119,-2.663,-25.936,29.19,thin,G8V+,6.12,0.787,-65.4,-60.6,29.5,5351.0,3.99,0.92,1.97,,,Gaia DR2 6489771832811810432,TIC 394125166,Radial Velocity,5478.68860928,48.63474971,-38.25329562,5.935698,0.247933,-0.26597,0.768077,0.001537,-0.001514,90.178,9.462,-9.527,9.75299,0.86777,-0.8657,,,,
2MASS 23155829+3127462,b,0.25,-3.67,0.3,0.15,0.22,0.21,0.15,0.14,0.18,,0.22,0.32,0.05,0.02,,0.18,-0.02,348.992919,31.4628596,118.056,-22.963,73.593,141.0,N/A,,,,,,,4690.0,4.39,0.75,0.75,,,Gaia DR2 1909762228985058944,TIC 431701493,Transit,3.0927616,1.12e-05,-1.12e-05,0.03781,0.00067,-0.00047,,,,88.49,0.22,-0.17,3.15,0.13,-0.11,1.08,0.02,-0.02,11.65
2MASS 19032487+3823028,b,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,29.1989838,2.414e-05,-2.414e-05,0.1757,,,,,,89.95,,,,,,,,,45.558
2MASS 19032487+3823028,c,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,55.3285813,0.0004727,-0.0004727,0.2691,,,,,,89.38,,,,,,,,,44.8
2MASS 19032487+3823028,d,0.26,,0.25,0.21,0.22,0.22,0.2,0.25,0.25,,0.21,0.26,0.25,0.21,,0.29,0.21,285.8537122,38.3841139,122.28,-430.588,354.572,571.03,N/A,,,,,,,5380.5,4.4,0.93,1.0,,,Gaia DR2 2100015089629466112,TIC 120638033,Transit,160.0200597,0.0004982,-0.0004982,,,,,,,,,,,,,0.343,0.021,-0.03,
HIP 32916,b,0.35,-2.89,0.23,0.1,0.31,0.31,0.3,0.27,0.32,0.42,0.31,0.26,0.31,0.32,0.38,0.31,0.26,102.8771514,40.8677571,-7.254,31.729,28.162,43.04,thin,G0,8.1,0.729,-14.3,-25.8,1.1,5602.5,4.44,0.99,1.04,,,Gaia DR2 951427000863064192,TIC 21267079,Radial Velocity,4.94737,0.00098,-0.00098,0.06,,,0.09,0.09,-0.09,,,,0.1,0.01,-0.01,,,,
HIP 65721,b,-0.03,-1.45,0.06,-0.01,-0.13,0.07,0.01,-0.05,0.01,0.07,0.02,-0.07,-0.08,-0.17,0.05,-0.07,-0.09,202.1075341,13.7787898,-16.108,-6.543,4.264,17.9,thin,G5V,4.97,0.714,12.9,-51.4,-4.3,5531.6,3.97,0.96,1.92,,,Gaia DR2 3740176925743650688,TIC 95473936,Radial Velocity,116.688,0.0054,-0.0054,0.481,0.022,-0.022,0.3988,0.0019,-0.0019,,,,7.416,0.057,-0.057,,,,
HIP 32970,b,0.32,-0.66,0.38,0.2,0.46,0.35,0.32,0.34,0.32,0.36,0.3,0.22,0.27,0.34,0.27,0.39,0.28,103.0084347,-33.9155601,-8.646,37.424,-25.825,46.28,thin,G0/2V,7.2,0.614,-32.5,-21.4,-17.0,6043.2,4.32,1.09,1.44,,,Gaia DR2 5579783574073770112,TIC 53175558,Radial Velocity,2482.7,110.0,-110.0,3.86,0.6,-0.6,0.23,0.14,-0.14,,,,1.71,0.2,-0.2,,,,
HIP 32970,c,0.32,-0.66,0.38,0.2,0.46,0.35,0.32,0.34,0.32,0.36,0.3,0.22,0.27,0.34,0.27,0.39,0.28,103.0084347,-33.9155601,-8.646,37.424,-25.825,46.28,thin,G0/2V,7.2,0.614,-32.5,-21.4,-17.0,6043.2,4.32,1.09,1.44,,,Gaia DR2 5579783574073770112,TIC 53175558,Radial Velocity,8619.9,2622.495,-405.4275,9.02,1.73,-0.33,,0.14,-0.02,,,,2.93,0.73,-0.18,,,,
HIP 65808,b,0.25,,0.28,0.14,0.28,0.27,0.24,0.22,0.22,0.3,0.24,0.19,0.24,0.23,0.3,0.27,0.17,202.3379708,-35.5709962,-24.342,-10.002,-18.821,32.35,thin,G7IV-V,7.25,0.724,-33.6,-12.5,-13.1,5662.6,4.33,0.99,1.14,,,Gaia DR2 6166183842771027328,TIC 405501056,Radial Velocity,2597.0,41.0,-41.0,3.79,0.22,-0.22,0.144,0.035,-0.035,,,,1.88,0.17,-0.17,,,,
HIP 92895,b,-0.03,,-0.18,-0.04,-0.12,0.02,-0.04,-0.06,-0.01,-0.07,0.02,-0.03,-0.08,-0.12,-0.06,-0.03,0.17,283.9203502,4.2653229,31.093,-125.448,9.639,129.6,thin,G6/8IV,8.0,0.869,45.5,-27.1,-20.0,5036.8,3.46,,4.46,,,Gaia DR2 4281180283478682496,TIC 227196910,Radial Velocity,297.3,0.6,-0.6,1.03,,,0.33,0.2,-0.2,,,,0.61,,,,,,
HIP 65859,b,-0.15,,-0.06,,-0.05,-0.31,-0.08,-0.12,-0.13,-0.33,0.05,-0.03,-0.14,-0.44,-0.14,-0.21,,202.4991071,10.3771624,-6.923,-2.867,1.372,7.62,thin,M1.0V,9.05,1.493,57.7,-8.2,-3.7,3697.0,4.74,0.5,0.5,,,Gaia DR2 3738099879558957952,TIC 404519959,Radial Velocity,140.43,0.41,-0.41,0.422,0.014,-0.015,0.45,0.15,-0.14,,,,0.01636,0.00283,-0.00283,,,,
2MASS 19191922+5035104,b,0.1,,0.12,-0.01,-0.01,0.11,0.13,-0.06,0.09,,0.15,0.14,0.14,0.02,,0.13,0.15,289.8301647,50.5862336,333.651,-925.222,1196.799,1549.09,N/A,,,,,,,5883.2,4.16,1.07,1.43,,,Gaia DR2 2133080462292772096,TIC 267672183,Transit,9.82578435,3.719e-05,-3.719e-05,0.0953,,,,,,85.37,,,,,,,,,9.9
2MASS 19191922+5035104,c,0.1,,0.12,-0.01,-0.01,0.11,0.13,-0.06,0.09,,0.15,0.14,0.14,0.02,,0.13,0.15,289.8301647,50.5862336,333.651,-925.222,1196.799,1549.09,N/A,,,,,,,5883.2,4.16,1.07,1.43,,,Gaia DR2 2133080462292772096,TIC 267672183,Transit,20.68397904,3.152e-05,-3.152e-05,,,,,,,,,,,,,,,,
2MASS 19295686+4611463,b,-0.3,,-0.16,-0.08,-0.37,-0.27,-0.25,-0.25,-0.16,,-0.22,-0.18,-0.26,-0.41,,-0.28,-0.33,292.4869224,46.1962071,187.687,-453.408,511.65,708.94,N/A,,,,,,,4880.7,,,,,,Gaia DR2 2128256492466658176,TIC 63289259,Transit,13.2217576,1.39e-05,-1.39e-05,0.1005,,,,,,87.66,,,,,,,,,21.3
2MASS 19102900+4308300,b,0.18,,0.14,0.25,0.14,0.14,0.06,0.18,0.16,,0.14,0.09,0.18,0.12,,0.21,0.23,287.6208299,43.1416604,151.789,-477.895,469.906,687.19,N/A,,,,,,,5881.1,4.12,1.07,1.5,,,Gaia DR2 2102610280669509888,TIC 158551888,Transit,16.2580276,0.0002879,-0.0002879,0.1317,,,,,,89.61,,,,,,,,,19.45
2MASS 19102900+4308300,c,0.18,,0.14,0.25,0.14,0.14,0.06,0.18,0.16,,0.14,0.09,0.18,0.12,,0.21,0.23,287.6208299,43.1416604,151.789,-477.895,469.906,687.19,N/A,,,,,,,5881.1,4.12,1.07,1.5,,,Gaia DR2 2102610280669509888,TIC 158551888,Transit,31.80474045,9.869e-05,-9.869e-05,0.2053,,,,,,89.95,,,,,,,,,29.67
2MASS 23342787-0134482,b,-0.01,-0.77,,,-0.15,-0.14,-0.28,-0.13,-0.03,0.11,,-0.15,-0.11,-0.38,-0.08,-0.15,,353.6161733,-1.5800313,346.202,-38.734,-9.609,348.49,N/A,,,,,,,6134.0,4.55,1.16,1.11,,,Gaia DR2 2641087471777046016,TIC 398572544,Transit,3.40861641,0.00014452,-0.00014452,,,,,,,,,,,,,1.265,0.069,-0.069,
2MASS 19235800+4013455,b,0.05,,-0.02,-0.07,-0.16,,-0.01,0.01,0.17,,0.08,0.22,0.09,-0.17,,,0.21,290.9916668,40.2293182,223.699,-583.008,528.25,817.92,N/A,,,,,,,5916.0,,,,,,Gaia DR2 2101117418758956416,TIC 122706631,Transit,29.6091744,0.0003002,-0.0003002,0.1781,,,,,,89.38,,,,,,,,,38.0
2MASS 19323146+4539487,b,0.13,,0.06,-0.02,0.03,0.1,0.09,0.07,0.14,,0.11,0.14,0.1,0.04,,0.16,0.1,293.1310968,45.6635381,103.519,-242.331,269.691,377.06,N/A,,,,,,,5084.0,4.58,0.85,0.78,,,Gaia DR2 2128039304560957952,TIC 275490034,Transit,0.7698536,1.2e-06,-1.2e-06,0.0158,,,,,,82.51,,,,,,,,,4.66
HIP 33212,b,0.02,-0.81,0.05,-0.02,-0.08,0.02,-0.05,-0.02,0.04,0.11,0.02,-0.07,-0.04,-0.19,0.02,-0.06,0.09,103.6784426,24.2455581,-6.72,27.611,12.798,31.17,thin,F8V,6.84,0.582,3.7,-9.6,-11.0,6011.3,4.42,1.11,1.13,,,Gaia DR2 3380479015342121600,TIC 80224448,Radial Velocity,1224.0,12.0,-12.0,,,,0.444,0.038,-0.038,,,,4.46,0.48,-0.48,,,,
2MASS 19220706+3856335,b,-0.17,,-0.13,-0.14,-0.25,-0.15,-0.23,-0.16,-0.14,,-0.17,-0.16,-0.17,-0.31,,-0.17,-0.12,290.529429,38.9426594,184.001,-491.364,424.014,674.6,N/A,,,,,,,5618.3,4.43,0.99,1.0,,,Gaia DR2 2052912492534229504,TIC 122449752,Transit,11.72292176,2.381e-05,-2.381e-05,0.1019,,,,,,89.95,,,,,,,,,21.82
HIP 33226,b,0.03,,,,,,,,,,,-0.07,,,,,,103.7039906,33.2681774,-1.105,4.533,3.061,5.58,thin,M3.0V,9.89,1.58,-27.7,-3.7,-15.1,3398.0,4.86,0.35,0.37,,,Gaia DR2 939072613334579328,TIC 68581262,Radial Velocity,14.238,0.002,-0.002,0.0818,0.0011,-0.0012,0.1,0.09,-0.07,,,,0.01259,0.00126,-0.00126,,,,
HIP 33229,b,-0.03,,,0.05,-0.08,0.06,0.07,,0.05,0.05,0.09,0.09,-0.02,-0.17,0.04,-0.04,-0.04,103.7139214,-55.2593281,-4.736,19.407,-28.806,35.05,thin,K0IV-V,8.17,0.771,21.2,-34.2,-25.5,5372.5,4.36,0.93,0.92,,,Gaia DR2 5485320853638354304,TIC 279246287,Radial Velocity,14.0726,0.0016,-0.0016,0.1059,0.0043,-0.0046,0.09,0.04,-0.04,,,,0.0402,0.0038,-0.0037,,,,
HIP 33229,c,-0.03,,,0.05,-0.08,0.06,0.07,,0.05,0.05,0.09,0.09,-0.02,-0.17,0.04,-0.04,-0.04,103.7139214,-55.2593281,-4.736,19.407,-28.806,35.05,thin,K0IV-V,8.17,0.771,21.2,-34.2,-25.5,5372.5,4.36,0.93,0.92,,,Gaia DR2 5485320853638354304,TIC 279246287,Radial Velocity,95.9446,0.1555,-0.1366,0.3809,0.0153,-0.0164,0.14,0.07,-0.07,,,,0.045,0.0051,-0.0048,,,,
HIP 98767,b,0.25,-2.87,0.42,0.2,0.24,0.33,0.34,0.28,0.24,0.36,0.34,0.24,0.25,0.15,0.37,0.28,0.3,300.9058537,29.8968043,7.127,-11.906,7.978,16.01,thick,G7IV-V,5.71,0.749,-12.1,-44.8,-64.0,5552.2,4.32,0.98,1.17,,,Gaia DR2 2029433521248546304,TIC 105999792,Radial Velocity,2891.0,85.0,-85.0,3.92,0.2,-0.2,0.36,0.03,-0.03,,,,1.502,0.13,-0.13,,,,
HIP 98767,c,0.25,-2.87,0.42,0.2,0.24,0.33,0.34,0.28,0.24,0.36,0.34,0.24,0.25,0.15,0.37,0.28,0.3,300.9058537,29.8968043,7.127,-11.906,7.978,16.01,thick,G7IV-V,5.71,0.749,-12.1,-44.8,-64.0,5552.2,4.32,0.98,1.17,,,Gaia DR2 2029433521248546304,TIC 105999792,Radial Velocity,17.11704,0.00068,-0.00063,0.1294,0.0017,-0.0017,0.165,0.027,-0.028,,,,0.0675,0.0027,-0.0027,,,,
2MASS 23390581+4227575,b,0.13,-1.78,,,-0.33,-0.45,,-0.31,-0.08,,0.17,0.17,-0.16,,-0.11,-0.23,,354.7742089,42.4659732,202.281,-18.501,185.908,275.36,N/A,,10.47,,,,,6825.0,4.43,1.5,1.57,,,Gaia DR2 1925321658546436352,TIC 176899385,Transit,3.8529962,1.7e-06,-1.7e-06,,,,,,,,,,,,,1.392,0.077,-0.077,
HIP 66047,b,0.04,-1.09,0.07,0.01,0.07,0.08,0.01,0.05,0.09,0.11,0.07,-0.03,0.02,-0.06,0.05,0.04,0.1,203.1064816,-47.2713648,-23.577,-10.06,-27.751,37.78,thin,G0V,7.17,0.603,5.4,-5.2,-21.7,5977.6,4.35,1.1,1.18,,,Gaia DR2 6083860761505899904,TIC 243194645,Radial Velocity,25.827,0.019,-0.019,0.17,,,0.42,0.17,-0.17,,,,0.19,0.04,-0.04,,,,
HIP 522,b,0.11,-0.38,0.24,0.17,0.16,0.06,0.1,0.14,0.13,0.25,0.12,0.05,0.09,0.04,0.12,0.07,0.23,1.5798975,-49.0751872,17.147,0.473,-19.785,26.18,thin,F7V,5.7,0.519,-57.5,-37.5,-16.0,6247.5,4.33,1.21,1.46,,,Gaia DR2 4976894960284258048,TIC 389757979,Radial Velocity,351.43394308,0.3745994,-0.37770142,1.038376,0.04682,-0.050864,0.157528,0.033113,-0.030212,,,,1.24444,0.12436,-0.12533,,,,
HIP 522,c,0.11,-0.38,0.24,0.17,0.16,0.06,0.1,0.14,0.13,0.25,0.12,0.05,0.09,0.04,0.12,0.07,0.23,1.5798975,-49.0751872,17.147,0.473,-19.785,26.18,thin,F7V,5.7,0.519,-57.5,-37.5,-16.0,6247.5,4.33,1.21,1.46,,,Gaia DR2 4976894960284258048,TIC 389757979,Radial Velocity,10159.64279484,380.84010124,-321.75084234,9.815941,0.509072,-0.52658,0.276797,0.026498,-0.027358,90.374,10.495,-12.319,11.07937,1.09598,-1.10313,,,,
HIP 522,d,0.11,-0.38,0.24,0.17,0.16,0.06,0.1,0.14,0.13,0.25,0.12,0.05,0.09,0.04,0.12,0.07,0.23,1.5798975,-49.0751872,17.147,0.473,-19.785,26.18,thin,F7V,5.7,0.519,-57.5,-37.5,-16.0,6247.5,4.33,1.21,1.46,,,Gaia DR2 4976894960284258048,TIC 389757979,Radial Velocity,108.45298959,0.0902102,-0.08819146,0.474065,0.021364,-0.023181,0.129711,0.102945,-0.084512,,,,0.25683,0.03536,-0.03331,,,,
2MASS 19221047+4743331,b,0.06,,0.06,-0.03,-0.05,0.08,0.07,0.01,0.08,,0.06,0.12,0.08,-0.02,,0.13,0.07,290.5436254,47.7258822,92.922,-247.955,291.269,393.64,N/A,,,,,,,5908.0,4.35,1.07,1.14,,,Gaia DR2 2129369095153280000,TIC 159393734,Transit,2.34451194,5.35e-06,-5.35e-06,0.0342,,,,,,89.38,,,,,,,,,12.68
2MASS 19152144+4659122,b,-0.22,,-0.2,-0.11,-0.37,-0.18,-0.28,-0.2,-0.19,,-0.15,-0.2,-0.17,-0.45,,-0.21,-0.04,288.8393238,46.986748,132.669,-388.838,440.376,602.27,N/A,,,,,,,5490.0,4.57,0.96,0.84,,,Gaia DR2 2127798442794047104,TIC 158840828,Transit,13.93072278,7.664e-05,-7.664e-05,0.1093,,,,,,89.38,,,,,,,,,47.6
2MASS 19152144+4659122,c,-0.22,,-0.2,-0.11,-0.37,-0.18,-0.28,-0.2,-0.19,,-0.15,-0.2,-0.17,-0.45,,-0.21,-0.04,288.8393238,46.986748,132.669,-388.838,440.376,602.27,N/A,,,,,,,5490.0,4.57,0.96,0.84,,,Gaia DR2 2127798442794047104,TIC 158840828,Transit,56.476167,0.0001266,-0.0001266,0.2778,,,,,,88.81,,,,,,,,,38.3
2MASS 19152144+4659122,d,-0.22,,-0.2,-0.11,-0.37,-0.18,-0.28,-0.2,-0.19,,-0.15,-0.2,-0.17,-0.45,,-0.21,-0.04,288.8393238,46.986748,132.669,-388.838,440.376,602.27,N/A,,,,,,,5490.0,4.57,0.96,0.84,,,Gaia DR2 2127798442794047104,TIC 158840828,Transit,92.8747294,0.0004961,-0.0004961,0.3953,,,,,,88.82,,,,,,,,,44.3
2MASS 18461678+4723553,b,-0.01,,-0.04,-0.02,-0.2,-0.07,-0.28,-0.1,0.03,,-0.02,-0.1,-0.03,-0.25,,-0.07,0.05,281.5699607,47.3986808,121.025,-591.163,656.189,891.46,N/A,,,,,,,6199.6,4.29,1.19,1.3,,,Gaia DR2 2119591206965104768,TIC 123358019,Transit,25.7457957,0.0003212,-0.0003212,0.1768,,,,,,88.22,,,,,,,,,21.3
2MASS 18461678+4723553,c,-0.01,,-0.04,-0.02,-0.2,-0.07,-0.28,-0.1,0.03,,-0.02,-0.1,-0.03,-0.25,,-0.07,0.05,281.5699607,47.3986808,121.025,-591.163,656.189,891.46,N/A,,,,,,,6199.6,4.29,1.19,1.3,,,Gaia DR2 2119591206965104768,TIC 123358019,Transit,59.9810586,0.0005512,-0.0005512,0.3185,,,,,,89.95,,,,,,,,,66.16
HIP 671,b,-0.04,-2.98,-0.25,-0.15,,0.08,0.14,0.11,0.03,-0.04,-0.05,-0.15,-0.03,-0.14,-0.02,-0.05,0.03,2.0730529,-8.8241125,110.15,3.987,-17.111,111.54,thin,K1II,5.99,1.034,22.2,1.3,-21.6,4850.5,2.87,,11.38,,,Gaia DR2 2429415922764859392,TIC 37652064,Radial Velocity,273.1,1.6,-0.8,0.98,0.11,-0.03,0.139,0.108,-0.104,,,,0.75,0.12,-0.15,,,,
2MASS 18594066+4137019,b,-0.14,,-0.18,-0.12,-0.34,-0.12,-0.17,-0.21,-0.11,,-0.12,-0.14,-0.17,-0.35,,-0.13,-0.12,284.9194066,41.6172032,190.786,-716.049,658.315,991.21,N/A,,,,,,,5342.7,3.74,0.92,2.15,,,Gaia DR2 2104054832788419072,TIC 120420633,Transit,6.07972888,1.513e-05,-1.513e-05,0.0617,,,,,,75.06,,,,,,,,,3.37
2MASS 19270519+4731476,b,-0.21,,-0.19,-0.19,-0.33,-0.16,-0.13,-0.2,-0.08,,-0.06,0.1,-0.19,-0.4,,-0.24,-0.24,291.7716454,47.5299151,273.108,-683.799,804.396,1090.52,N/A,,,,,,,5745.2,4.23,1.03,1.28,,,Gaia DR2 2129141083930129536,TIC 63069779,Transit,10.32738017,8.134e-05,-8.134e-05,,,,,,,,,,,,,0.089,0.012,-0.01,
2MASS 19270519+4731476,c,-0.21,,-0.19,-0.19,-0.33,-0.16,-0.13,-0.2,-0.08,,-0.06,0.1,-0.19,-0.4,,-0.24,-0.24,291.7716454,47.5299151,273.108,-683.799,804.396,1090.52,N/A,,,,,,,5745.2,4.23,1.03,1.28,,,Gaia DR2 2129141083930129536,TIC 63069779,Transit,37.8658982,0.0001984,-0.0001984,0.2054,,,,,,88.81,,,,,,,,,33.7
2MASS 19103720+3914394,b,-0.42,,-0.34,-0.01,-0.43,-0.3,-0.24,-0.25,-0.27,,-0.15,-0.18,-0.43,-1.01,,-0.38,-0.23,287.6549883,39.2442812,90.705,-284.99,244.306,386.18,N/A,,,,,,,5641.1,4.07,1.0,1.54,,,Gaia DR2 2099656472742686848,TIC 121327187,Transit,19.55659418,3.606e-05,-3.606e-05,0.1371,,,,,,87.66,,,,,,,,,15.08
HIP 726,b,0.35,-0.69,0.47,0.18,0.56,0.35,0.34,0.38,0.34,0.42,0.4,0.39,0.35,0.32,0.44,0.45,,2.2486597,-39.7371598,42.29,1.661,-35.184,55.04,thin,G0V,7.73,0.62,-30.1,-17.4,14.6,6116.5,4.43,1.15,1.28,,,Gaia DR2 4996584567835662848,TIC 120506209,Radial Velocity,20324.5815254,11483.95544521,-7039.20037086,15.443431,5.486625,-3.870564,0.565248,0.194716,-0.245372,62.585,39.544,-14.309,23.8334,21.46656,-9.21356,,,,
2MASS 19123208+3859487,b,-0.04,,-0.03,-0.02,-0.17,-0.05,-0.08,-0.07,-0.02,,,0.1,,-0.33,,-0.07,-0.07,288.1337017,38.9968635,225.242,-687.76,585.979,931.19,N/A,,,,,,,6013.4,4.05,1.11,1.65,,,Gaia DR2 2099681216051775616,TIC 121467823,Transit,11.13127,0.00012,-0.00012,0.099,,,,,,87.66,,,,,,,,,15.8
2MASS 18172957-0322517,b,0.04,,-0.01,0.09,-0.2,-0.01,-0.23,0.03,0.07,,0.07,-0.17,0.04,-0.2,,,0.09,274.3732392,-3.3810388,22.733,-297.252,-17.613,298.64,N/A,,,,,,,5585.0,4.11,0.99,1.45,,,Gaia DR2 4270547520706275328,TIC 167227214,Transit,3.128992,2.1e-05,-2.1e-05,0.0452,0.0007,-0.0007,0.049,0.063,-0.063,87.8,0.9,-0.9,0.892,0.137,-0.099,1.426,0.175,-0.087,7.36
2MASS 19224649+4842053,b,-0.25,,-0.19,-0.18,-0.43,-0.24,-0.31,-0.27,-0.2,,-0.2,-0.26,-0.26,-0.48,,-0.27,-0.32,290.69373,48.7014786,156.451,-414.171,503.981,670.83,N/A,,,,,,,5924.3,4.25,1.08,1.28,,,Gaia DR2 2129527974583414400,TIC 290034960,Transit,1.87788275,7.35e-06,-7.35e-06,0.03,,,,,,89.95,,,,,,,,,6.229
HIP 801,b,-0.18,-0.98,-0.13,-0.14,-0.17,-0.12,-0.22,-0.16,-0.1,-0.16,-0.09,-0.21,-0.17,-0.4,-0.21,-0.21,,2.470092,-50.2678249,32.675,1.41,-39.349,51.17,thin,G2/3V,8.29,0.595,26.4,4.6,-4.5,5999.0,4.53,1.11,0.94,,,Gaia DR2 4973621989046219008,TIC 200658785,Radial Velocity,492.3,2.3,-2.3,1.2,0.02,-0.02,0.096,0.067,-0.067,,,,0.33,0.03,-0.03,,,,
HIP 99115,b,0.27,,0.36,0.26,0.26,0.32,0.36,0.29,0.26,0.35,0.37,0.34,0.25,0.21,0.38,0.3,0.19,301.8319576,-35.5386329,23.379,-37.66,-31.663,54.47,thin,G5V,7.78,0.743,-32.0,-59.7,15.2,5640.8,4.17,1.0,1.5,,,Gaia DR2 6697758334244808192,TIC 48777312,Radial Velocity,1176.45,3.1,-2.83,2.231,0.019,-0.019,0.224,0.014,-0.014,,,,1.985,0.033,-0.033,,,,
2MASS 23341508-4203411,b,0.12,-2.73,-0.02,-0.09,,0.06,0.02,,0.03,0.16,0.11,0.15,0.07,-0.04,0.04,0.04,0.07,353.5628576,-42.0614026,197.13,-22.241,-179.008,267.21,N/A,,12.5,,,,,5456.5,4.49,0.97,0.89,,,Gaia DR2 6535499658122055552,TIC 402026209,Transit,1.33823137,2e-08,-2e-08,,,,,,,,,,,,,,,,
HIP 114840,b,-0.31,,,-0.16,,-0.38,-0.39,,-0.4,,-0.43,,,,,,,348.9259351,58.0432418,484.818,-94.89,791.922,933.38,N/A,K2,8.17,1.682,,,,4391.5,1.68,,83.25,,,Gaia DR2 2010336687886382592,TIC 323919676,Radial Velocity,745.7,13.8,-13.8,1.9,,,0.4,0.1,-0.1,,,,5.3,,,,,,
HIP 33719,b,0.24,-0.57,0.19,0.12,0.23,0.22,0.16,0.23,0.26,0.31,0.21,0.18,0.2,0.12,0.24,0.23,0.23,105.0751488,-5.3671607,-7.763,28.822,-2.804,29.98,thin,G0V,6.3,0.572,-52.7,-20.3,-9.6,6117.8,4.32,1.11,1.4,,,Gaia DR2 3101382419728401408,TIC 268565917,Radial Velocity,119.6,0.42,-0.42,0.5,,,0.35,0.03,-0.03,,,,1.05,0.03,-0.03,,,,
2MASS 18483252+4302207,b,0.02,,0.01,,-0.21,,-0.07,0.03,,,,0.04,0.02,-0.12,,-0.01,-0.07,282.1355031,43.0390936,46.553,-216.495,206.782,302.98,N/A,,,,,,,5265.0,4.53,0.9,0.86,,,Gaia DR2 2104847370214740352,TIC 123415819,Transit,8.43639364,1.073e-05,-1.073e-05,0.0786,,,,,,87.09,,,,,,,,,13.6
2MASS 18483252+4302207,c,0.02,,0.01,,-0.21,,-0.07,0.03,,,,0.04,0.02,-0.12,,-0.01,-0.07,282.1355031,43.0390936,46.553,-216.495,206.782,302.98,N/A,,,,,,,5265.0,4.53,0.9,0.86,,,Gaia DR2 2104847370214740352,TIC 123415819,Transit,,,,,,,,,,,,,,,,0.201,0.008,-0.021,
2MASS 19505673+4938137,b,-0.06,,-0.1,-0.15,-0.2,-0.05,-0.15,-0.06,-0.04,,-0.04,0.03,-0.06,-0.23,,-0.07,-0.01,297.7364052,49.637171,139.347,-265.008,352.27,462.32,N/A,,,,,,,5500.9,4.55,0.96,0.86,,,Gaia DR2 2087191485516004224,TIC 28234096,Transit,1.82708839,4e-07,-4e-07,,,,,,,,,,,,,,,,
2MASS 19181278+4352342,b,0.06,,0.02,-0.06,-0.01,0.03,-0.01,0.01,0.15,,0.09,-0.01,-0.02,-0.15,,0.03,-0.02,289.5532696,43.8761762,316.606,-891.432,909.586,1312.34,N/A,,,,,,,5721.0,4.24,1.02,1.27,,,Gaia DR2 2102880210775046528,TIC 159099116,Transit,11.903515,4.6e-05,-4.6e-05,0.105,,,,,,,,,,,,0.228,0.114,-0.114,
2MASS 19181278+4352342,c,0.06,,0.02,-0.06,-0.01,0.03,-0.01,0.01,0.15,,0.09,-0.01,-0.02,-0.15,,0.03,-0.02,289.5532696,43.8761762,316.606,-891.432,909.586,1312.34,N/A,,,,,,,5721.0,4.24,1.02,1.27,,,Gaia DR2 2102880210775046528,TIC 159099116,Transit,34.0350559,0.000141,-0.000141,,,,,,,,,,,,,0.329,0.094,-0.054,
