star_name,Fe,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,C_Mg,O_Mg,Si_Mg,Ca_Mg,Ti_Mg,Fe_Mg,C_Si,O_Si,Mg_Si,Ca_Si,Ti_Si,Fe_Si,C_O,Si_O,Mg_O,Ca_O,Ti_O,Fe_O,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6
Gaia DR1 3909309847346094208,-0.18,-0.15,-0.08,-0.39,-0.18,-0.28,-0.18,-0.14,,-0.18,-0.14,-0.16,-0.4,,-0.2,-0.05,7.585775750291835,19.49844599758045,0.9772372209558112,0.0645654229034655,0.002454708915685,0.8317637711026707,7.762471166286911,19.952623149688787,1.0232929922807537,0.0660693448007595,0.0025118864315095,0.8511380382023758,0.3890451449942804,0.0501187233627272,0.0512861383991364,0.0033113112148259,0.0001258925411794,0.0426579518801592,0.9889821401852632,0.9950577279163488,0.99957779472652,0.9995506658315404,0.9999455382185553,0.9981611637790128,0.9962563132172564
Gaia DR3 1511593059561179776,0.12,0.08,0.03,-0.03,0.12,0.05,0.12,0.15,,0.09,0.1,0.11,0.02,,0.15,0.19,6.456542290346564,12.589254117941662,0.9772372209558112,0.0630957344480193,0.0022908676527677,0.8317637711026709,6.6069344800759655,12.882495516931325,1.0232929922807537,0.0645654229034655,0.0023442288153199,0.8511380382023759,0.5128613839913659,0.0776247116628692,0.0794328234724282,0.0050118723362727,0.0001819700858609,0.0660693448007596,0.9752657872884932,0.961256971840566,0.998203568366472,0.9974801476497268,0.9993052055093116,0.9939416217393672,0.96891678466398
Gaia DR3 1585765117538284928,-0.13,-0.1,-0.09,-0.31,-0.13,-0.34,-0.13,-0.09,,-0.12,-0.14,-0.14,-0.39,,-0.18,-0.09,7.585775750291852,16.982436524617462,0.9772372209558112,0.0645654229034655,0.0025118864315095,0.831763771102671,7.762471166286927,17.378008287493763,1.0232929922807534,0.0660693448007595,0.0025703957827688,0.8511380382023759,0.4466835921509635,0.0575439937337156,0.0588843655355588,0.0038018939632056,0.0001479108388168,0.0489778819368445,0.9989108385181958,0.999223327428805,0.9996598269199368,0.9997277355767922,0.9998775226923234,0.9999047541295888,0.9998365567965132
Gaia DR3 1917567215355420416,-0.24,-0.15,-0.08,-0.4,-0.18,-0.21,-0.17,-0.17,,-0.1,-0.11,-0.26,-0.54,,-0.24,-0.29,7.585775750291835,19.49844599758045,1.0,0.0602559586074356,0.0029512092266663,0.7244359600749891,7.585775750291835,19.49844599758045,1.0,0.0602559586074356,0.0029512092266663,0.7244359600749891,0.3890451449942804,0.0512861383991364,0.0512861383991364,0.0030902954325135,0.0001513561248436,0.0371535229097172,0.9993868541530412,0.9985438610816254,0.9994824439541282,0.9995235307731054,0.999891135726533,0.999360030500674,0.9993325887384564
Gaia DR3 1999551612692096128,0.0,0.0,-0.06,-0.17,0.0,-0.08,-0.02,0.02,,-0.0,0.03,-0.01,-0.14,,0.0,0.04,7.079457843841388,13.489628825916531,0.9332543007969925,0.061659500186148,0.002454708915685,0.8317637711026709,7.585775750291836,14.45439770745925,1.0715193052376049,0.0660693448007593,0.0026302679918953,0.891250938133744,0.5248074602497733,0.0691830970918937,0.0741310241300917,0.0045708818961487,0.0001819700858609,0.0616595001861482,0.9945266654866776,0.9944172873463052,0.9955342555277203,0.994369185572058,0.999931999619198,0.99959188670775,0.9932026535532822
Gaia DR3 2007417175286304000,0.17,0.1,0.04,-0.09,0.1,0.0,0.11,0.19,,0.14,0.19,0.18,0.02,,0.13,0.3,7.079457843841388,13.489628825916537,1.000000000000002,0.072443596007499,0.0026915348039269,0.9772372209558112,7.079457843841374,13.489628825916506,0.999999999999998,0.0724435960074989,0.0026915348039269,0.9772372209558092,0.5248074602497733,0.0741310241300919,0.0741310241300917,0.0053703179637025,0.0001995262314968,0.072443596007499,0.9883701950542724,0.995509348719484,0.9765732409512272,0.974658577724577,0.9990885717783732,0.9965847552181132,0.999319959197552
Gaia DR3 2050239300586448000,0.01,-0.15,-0.29,-0.19,-0.07,-0.08,0.02,0.04,,-0.01,0.02,-0.04,-0.16,,-0.04,-0.18,5.888436553555895,9.332543007969944,1.202264434617413,0.0758577575029183,0.0028183829312644,1.0,4.897788193684466,7.762471166286944,0.831763771102671,0.0630957344480193,0.0023442288153199,0.831763771102671,0.6309573444801916,0.1288249551693129,0.1071519305237602,0.0081283051616409,0.0003019951720402,0.1071519305237602,0.999537011819816,0.9997140211352,0.9946143698404712,0.9951362397820164,0.9983382595311712,0.9860148430584872,0.9985048456592952
Gaia DR3 2051374962963038464,0.09,0.03,0.0,-0.08,0.06,0.01,0.12,0.12,,0.09,0.13,0.09,0.0,,0.1,0.0,6.606934480075965,13.48962882591656,1.1220184543019651,0.0676082975391981,0.0026302679918953,0.8912509381337459,5.888436553555884,12.02264434617413,0.8912509381337441,0.0602559586074356,0.0023442288153199,0.7943282347242806,0.4897788193684457,0.0831763771102671,0.0741310241300916,0.0050118723362727,0.0001949844599758,0.0660693448007595,0.9959989112683724,0.9845215568291652,0.9999863782487876,0.9999863999238396,0.9997549119725502,0.9954833619024296,0.9810063630046462
Gaia DR3 2051808789021826432,-0.07,-0.07,-0.09,-0.27,-0.07,-0.22,-0.06,-0.06,,-0.11,-0.08,-0.07,-0.22,,-0.09,0.06,7.079457843841388,14.791083881682102,1.000000000000002,0.0602559586074358,0.0022387211385683,0.8317637711026709,7.079457843841373,14.791083881682072,0.999999999999998,0.0602559586074356,0.0022387211385683,0.8317637711026692,0.478630092322638,0.0676082975391981,0.067608297539198,0.0040738027780411,0.0001513561248436,0.0562341325190347,0.984244570027916,0.9867222290313356,0.9946289328752932,0.9931737359148692,0.9980378263476316,0.9991156221938012,0.9931228892036168
Gaia DR3 2052120191332583424,0.1,-0.02,0.23,-0.03,-0.01,-0.24,0.05,0.14,,0.05,0.16,0.08,-0.1,,0.03,0.04,6.918309709189378,26.915348039269197,1.1220184543019631,0.0831763771102669,0.0028183829312644,1.0715193052376049,6.165950018614836,23.988329190194943,0.8912509381337459,0.0741310241300916,0.0025118864315095,0.954992586021435,0.2570395782768865,0.0416869383470334,0.0371535229097172,0.0030902954325135,0.000104712854805,0.0398107170553496,0.9987065679119922,0.9990063565954782,0.99991837734155,0.9999727657720224,0.9998911712692152,0.9989661411217368,0.9948296505932296
