star_name,Fe,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,C_Mg,O_Mg,Si_Mg,Ca_Mg,Ti_Mg,Fe_Mg,C_Si,O_Si,Mg_Si,Ca_Si,Ti_Si,Fe_Si,C_O,Si_O,Mg_O,Ca_O,Ti_O,Fe_O,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6
Gaia DR3 1511593059561179776,0.12,0.08,0.03,-0.03,0.12,0.05,0.12,0.15,,0.09,0.1,0.11,0.02,,0.15,0.19,6.456542290346564,12.589254117941662,0.9772372209558112,0.0630957344480193,0.0022908676527677,0.8317637711026709,6.6069344800759655,12.882495516931325,1.0232929922807537,0.0645654229034655,0.0023442288153199,0.8511380382023759,0.5128613839913659,0.0776247116628692,0.0794328234724282,0.0050118723362727,0.0001819700858609,0.0660693448007596,0.98059751314362,0.9655330754459688,0.9852151870052256,0.9848969539123542,0.9983009066473546,0.9893995882254744,0.9772822067124544
Gaia DR3 2051808789021826432,-0.07,-0.07,-0.09,-0.27,-0.07,-0.22,-0.06,-0.06,,-0.11,-0.08,-0.07,-0.22,,-0.09,0.06,7.079457843841388,14.791083881682102,1.000000000000002,0.0602559586074358,0.0022387211385683,0.8317637711026709,7.079457843841373,14.791083881682072,0.999999999999998,0.0602559586074356,0.0022387211385683,0.8317637711026692,0.478630092322638,0.0676082975391981,0.067608297539198,0.0040738027780411,0.0001513561248436,0.0562341325190347,0.9903524891413298,0.9886336760388988,0.969638096318566,0.9742936413566616,0.9766155043932822,0.9997218706976874,0.96214616250469
Gaia DR3 2073595195312122880,0.0,-0.04,0.03,-0.27,-0.1,-0.23,-0.07,0.04,,-0.02,0.02,0.03,-0.29,,-0.09,0.12,8.128305161641011,20.892961308540364,1.0471285480508985,0.0812830516164098,0.0029512092266663,1.0471285480508985,7.762471166286943,19.95262314968879,0.9549925860214368,0.0776247116628691,0.0028183829312644,1.0,0.389045144994282,0.0501187233627272,0.0478630092322639,0.0038904514499428,0.0001412537544622,0.0501187233627272,0.9998469607802216,0.9998745592150194,0.999405646359584,0.9985953262673988,0.9784417970272228,0.9541581980677674,0.97071636348453
Gaia DR3 2073697419836171264,-0.1,-0.13,-0.22,-0.23,-0.13,-0.23,-0.1,0.01,,-0.11,-0.11,-0.09,-0.27,,-0.13,-0.13,7.079457843841373,12.58925411794166,1.0471285480509007,0.0812830516164098,0.0025703957827688,0.891250938133746,6.760829753919805,12.022644346174106,0.9549925860214348,0.0776247116628689,0.002454708915685,0.851138038202376,0.5623413251903491,0.0831763771102672,0.0794328234724282,0.0064565422903465,0.0002041737944669,0.0707945784384138,0.9930969214496465,0.9953009217422736,0.9594885751545048,0.9673390290822678,0.99422271101026,0.9453627180899908,0.9987764862910852
Gaia DR3 2073865026641816064,0.11,0.06,0.02,-0.13,0.02,-0.09,0.03,0.14,,0.06,0.1,0.14,-0.03,,0.05,0.21,7.762471166286943,15.488166189124827,1.000000000000002,0.0776247116628691,0.0026915348039269,1.0232929922807557,7.762471166286927,15.488166189124795,0.999999999999998,0.0776247116628689,0.0026915348039269,1.0232929922807537,0.5011872336272735,0.0645654229034656,0.0645654229034655,0.0050118723362727,0.0001737800828749,0.0660693448007596,0.9992072322670376,0.9997633630289532,0.9990656190273944,0.9991221238938052,0.9964234023602762,0.9660726954054168,0.9736160975202472
Gaia DR3 2075162102458709632,0.01,-0.04,-0.1,-0.2,-0.02,-0.15,-0.01,0.06,,0.01,0.07,0.03,-0.19,,-0.02,0.09,6.7608297539198325,12.88249551693135,1.0,0.0707945784384136,0.0026302679918953,0.8912509381337441,6.7608297539198325,12.88249551693135,1.0,0.0707945784384136,0.0026302679918953,0.8912509381337441,0.5248074602497733,0.0776247116628691,0.0776247116628691,0.0054954087385762,0.0002041737944669,0.0691830970918934,0.9203895652173912,0.9004635107108556,0.9936825405818862,0.992527596943108,0.9706812262350796,0.9925710549380226,0.999317757790092
Gaia DR3 2076240521511025792,-0.03,-0.13,-0.19,-0.22,-0.04,-0.14,-0.07,-0.04,,-0.03,-0.01,-0.03,-0.2,,-0.03,0.02,5.754399373371567,10.964781961431871,0.9120108393559097,0.0588843655355588,0.0025118864315095,0.8511380382023759,6.30957344480193,12.022644346174156,1.096478196143185,0.0645654229034655,0.0027542287033381,0.9332543007969905,0.5248074602497712,0.0831763771102669,0.0912010839355907,0.0053703179637025,0.0002290867652767,0.0776247116628689,0.9099486494384836,0.9604715576154884,0.9912376469253782,0.9898197904408116,0.9980906987763748,0.9374147387176704,0.9386317767415964
Gaia DR3 2076839480469187712,0.04,-0.02,-0.13,-0.16,-0.04,-0.15,0.04,0.07,,-0.02,-0.02,0.06,-0.14,,0.0,0.17,7.413102413009193,12.589254117941662,1.1748975549395304,0.0758577575029183,0.0025703957827688,1.0,6.309573444801943,10.715193052376048,0.8511380382023759,0.0645654229034655,0.0021877616239495,0.8511380382023759,0.5888436553555909,0.0933254300796992,0.0794328234724282,0.0060255958607435,0.0002041737944669,0.0794328234724282,0.9762186547110177,0.982454675738476,0.9251502097267884,0.9197503723140202,0.9186749920037826,0.9712713936430318,0.9456706045865184
Gaia DR3 2077299694799977856,0.04,-0.05,-0.05,-0.19,-0.05,-0.17,0.01,0.08,,0.0,-0.02,0.05,-0.14,,-0.03,0.15,7.079457843841373,15.488166189124795,1.122018454301963,0.079432823472428,0.0027542287033381,1.0232929922807537,6.309573444801931,13.80384264602884,0.8912509381337459,0.0707945784384137,0.002454708915685,0.9120108393559097,0.4570881896148752,0.072443596007499,0.0645654229034656,0.0051286138399136,0.0001778279410038,0.0660693448007596,0.994837255256676,0.9964685436218282,0.9356601769911504,0.9330386239338038,0.9984266440177664,0.9810375770391908,0.9848653771113216
Gaia DR3 2077628341397525120,-0.09,-0.09,-0.03,-0.34,-0.11,-0.19,-0.1,-0.12,,-0.1,-0.1,-0.08,-0.27,,-0.11,-0.11,7.413102413009192,18.620871366628734,1.000000000000002,0.0575439937337156,0.0025118864315095,0.8709635899560815,7.413102413009176,18.62087136662869,0.999999999999998,0.0575439937337155,0.0025118864315095,0.8709635899560796,0.3981071705534969,0.0537031796370252,0.0537031796370251,0.0030902954325135,0.0001348962882591,0.0467735141287197,0.9832164328657316,0.9953977280627356,0.9993201422035892,0.9999010069012332,0.9995828582552352,0.999846832922567,0.9933643091647656
Gaia DR3 2078083436127470080,0.04,0.03,0.08,-0.21,0.01,-0.12,0.04,0.11,,0.03,-0.09,0.03,-0.17,,0.0,0.23,7.413102413009177,18.197008586099862,1.0471285480509005,0.0741310241300917,0.0025703957827688,0.8912509381337459,7.079457843841373,17.378008287493763,0.954992586021435,0.0707945784384137,0.002454708915685,0.8511380382023759,0.4073802778041122,0.0575439937337156,0.0549540873857623,0.0040738027780411,0.0001412537544622,0.0489778819368445,0.9853600780052932,0.9904592361825818,0.9254794753392448,0.9256136273453884,0.9963790822366132,0.9810766403029966,0.9833096491961324
