hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"TOI-125","c","Gaia DR2 4698692744355471616","TIC 52368076","Transit",9.15494180,0.00002490,-0.00002490,,,,,,,,,,,,,0.234,0.016,-0.016,
"HAT-P-1","b","Gaia DR2 1928431764627661440","TIC 346338552","Transit",4.46529976,0.00000055,-0.00000055,0.055300,0.001200,-0.001300,0.011000,,,86.110,0.180,-0.180,0.52500,0.02600,-0.02600,1.242,0.053,-0.053,
"HAT-P-1","b","Gaia DR2 1928431764627661440","TIC 346338552","Transit",4.46530031,0.00000018,-0.00000018,,,,,,,,,,,,,,,,
"HD 97658","b","Gaia DR2 3997075206232885888","TIC 82308728","Radial Velocity",9.49570000,0.00220000,-0.00220000,,,,0.130000,0.070000,-0.070000,,,,0.02580,0.00378,-0.00378,,,,
"TrES-2","b","Gaia DR2 2131314401800665344","TIC 399860444","Transit",2.47061323,0.00000007,-0.00000007,0.035670,0.000680,-0.000680,,,,83.925,0.030,-0.030,1.20600,0.04900,-0.04900,1.193,0.023,-0.023,7.956720
"CoRoT-1","b","Gaia DR2 3105507886130792448","TIC 36352297","Transit",1.50896860,0.00000060,-0.00000060,0.025360,0.000990,-0.000990,,,,84.420,0.310,-0.310,1.03000,0.10000,-0.10000,1.551,0.065,-0.065,4.823900
"KELT-1","b","Gaia DR2 2881784280929695360","TIC 432549364","Transit",1.21749448,0.00000080,-0.00000080,,,,,,,,,,,,,,,,
"GJ 3470","b","Gaia DR2 654687847820642560","TIC 19028197","Radial Velocity",3.33666500,0.00000800,-0.00000800,,,,,,,88.980,0.940,-1.250,,,,,,,14.245000
"Kepler-51","d","Gaia DR2 2135275362382289280","TIC 27846348","Transit",130.17746603,0.00009841,-0.00009841,,,,,,,,,,,,,1.041,0.182,-0.106,
"K2-24","b","Gaia DR2 6049750234317822208","TIC 68048686","Transit",20.88508000,0.00036000,-0.00036000,0.154200,0.002600,-0.002600,,,,88.950,0.620,-0.620,,,,0.520,0.054,-0.054,25.800000
"HIP 41378","b","Gaia DR2 600698184764497664","TIC 366443426","Transit",15.57120000,0.00120000,-0.00120000,,,,,,,88.400,1.600,-1.600,,,,0.259,0.039,-0.039,19.500000
"HIP 41378","d","Gaia DR2 600698184764497664","TIC 366443426","Transit",156.00000000,163.00000000,-78.00000000,,,,,,,,,,,,,0.353,0.053,-0.053,
"HIP 41378","e","Gaia DR2 600698184764497664","TIC 366443426","Transit",131.00000000,61.00000000,-36.00000000,,,,,,,,,,,,,0.492,0.069,-0.069,
"Kepler-51","b","Gaia DR2 2135275362382289280","TIC 27846348","Transit",45.15529288,0.00000194,-0.00000194,,,,,,,,,,,,,,,,
"Kepler-9","c","Gaia DR2 2099925719951103872","TIC 120571842","Transit",38.94980851,0.00022940,-0.00022940,,,,,,,,,,,,,,,,
"Kepler-51","d","Gaia DR2 2135275362382289280","TIC 27846348","Transit",130.17814386,0.00000686,-0.00000686,,,,,,,,,,,,,,,,
"TrES-2","b","Gaia DR2 2131314401800665344","TIC 399860444","Transit",2.47061338,0.00000001,-0.00000001,,,,,,,,,,,,,,,,
"WASP-121","b","Gaia DR2 5565050255701441664","TIC 22529346","Transit",1.27492550,,,,,,0.000000,,,88.910,,,,,,1.694,,,3.825000
"WASP-107","b","Gaia DR2 3578638842054261248","TIC 429302040","Transit",5.72149242,0.00000046,-0.00000046,0.055300,0.001300,-0.001300,0.000000,,,89.560,0.078,-0.078,0.11900,0.01400,-0.01400,0.924,0.022,-0.022,
"K2-24","b","Gaia DR2 6049750234317822208","TIC 68048686","Transit",20.88501600,0.00041200,-0.00043800,,,,,,,88.874,0.714,-0.672,,,,0.469,0.049,-0.028,26.545186
"TrES-2","b","Gaia DR2 2131314401800665344","TIC 399860444","Transit",2.47061320,0.00000002,-0.00000002,0.035030,0.000530,-0.000730,,,,83.881,0.038,-0.043,1.44000,0.21000,-0.21000,1.162,0.020,-0.024,7.931000
"WASP-103","b","Gaia DR2 4439085988769170432","TIC 276754403","Transit",,,,0.019790,0.000520,-0.000650,,,,88.200,1.500,-1.500,1.47000,0.11000,-0.13000,1.646,0.052,-0.060,3.013000
"WASP-19","b","Gaia DR2 5411736896952029568","TIC 35516889","Transit",0.78883899,0.00000004,-0.00000004,0.016340,0.000240,-0.000240,0.002000,0.014000,-0.002000,78.780,0.580,-0.580,1.06900,0.03800,-0.03700,1.392,0.040,-0.040,3.460000
"HAT-P-2","b","Gaia DR2 1380825667768742144","TIC 39903405","Transit",5.63347200,,,,,,0.510000,0.016000,-0.016000,87.200,0.300,-0.300,,,,,,,
"GJ 3470","b","Gaia DR2 654687847820642560","TIC 19028197","Radial Velocity",3.33665000,0.00005000,-0.00005000,0.035570,0.000960,-0.001000,,,,88.300,0.500,-0.400,0.04373,0.00472,-0.00440,0.431,0.020,-0.019,
"WASP-19","b","Gaia DR2 5411736896952029568","TIC 35516889","Transit",,,,,,,,,,,,,,,,,,,
"Kepler-51","d","Gaia DR2 2135275362382289280","TIC 27846348","Transit",130.18000000,,,,,,,,,,,,0.01951,0.00503,-0.00472,1.053,0.205,-0.187,
"Kepler-51","c","Gaia DR2 2135275362382289280","TIC 27846348","Transit",85.31600000,,,,,,,,,,,,0.01227,0.00252,-0.00252,0.571,0.152,-0.134,
"Kepler-51","b","Gaia DR2 2135275362382289280","TIC 27846348","Transit",45.15500000,,,,,,,,,,,,0.00724,0.00535,-0.00503,0.767,0.152,-0.134,
"TrES-2","b","Gaia DR2 2131314401800665344","TIC 399860444","Transit",,,,,,,,,,,,,,,,1.266,0.054,-0.051,
"HD 97658","b","Gaia DR2 3997075206232885888","TIC 82308728","Radial Velocity",9.49090000,0.00160000,-0.00160000,,,,0.060000,0.050000,-0.050000,89.450,0.400,-0.400,0.02795,0.00387,-0.00387,0.210,0.010,-0.010,24.410000
"Kepler-9","b","Gaia DR2 2099925719951103872","TIC 120571842","Transit",,,,,,,,,,,,,,,,0.711,0.031,-0.030,
"HAT-P-2","b","Gaia DR2 1380825667768742144","TIC 39903405","Transit",5.63351580,0.00000360,-0.00000360,0.068140,0.000510,-0.000510,0.517200,0.001900,-0.001900,,,,8.62000,0.17000,-0.17000,,,,
"K2-24","c","Gaia DR2 6049750234317822208","TIC 68048686","Transit",42.33910000,0.00120000,-0.00120000,,,,0.070000,,,,,,0.04845,0.00598,-0.00566,0.669,0.027,-0.027,
"K2-24","b","Gaia DR2 6049750234317822208","TIC 68048686","Transit",20.88977000,0.00034000,-0.00035000,,,,0.060000,0.010000,-0.010000,,,,0.05978,0.00692,-0.00661,0.482,0.018,-0.018,
"TrES-4","b","Gaia DR2 4609062308806929152","TIC 159742538","Transit",3.55392771,0.00000047,-0.00000047,0.051590,0.000590,-0.000610,0.015000,,,83.070,0.510,-0.440,0.49800,0.03300,-0.03200,1.838,0.081,-0.090,
"Kepler-51","b","Gaia DR2 2135275362382289280","TIC 27846348","Transit",45.15530956,0.00001897,-0.00001897,,,,,,,,,,,,,,,,
"HD 219666","b","Gaia DR2 6492940453524576128","TIC 266980320","Transit",6.03607000,0.00064000,-0.00063000,0.063560,0.002650,-0.002650,0.000000,,,86.380,0.150,-0.150,0.05223,0.00409,-0.00409,0.420,0.015,-0.015,13.270000
"WASP-14","b","Gaia DR2 1242084170974175232","TIC 347430350","Transit",2.24376524,0.00000044,-0.00000044,0.037100,0.001100,-0.001100,0.083000,0.002900,-0.003000,84.630,0.240,-0.240,7.76000,0.47000,-0.47000,1.221,0.041,-0.041,5.990000
"WASP-99","b","Gaia DR2 4745660479479743488","TIC 166836920","Transit",5.75251000,0.00004000,-0.00004000,0.071700,0.001600,-0.001600,0.010000,,,88.800,1.100,-1.100,2.80000,0.13000,-0.13000,1.100,0.080,-0.050,
"WASP-114","b","Gaia DR2 2726339892542980864","TIC 466390120","Transit",1.54872452,0.00009119,-0.00009119,,,,,,,,,,,,,1.294,0.088,-0.088,
"Kepler-5","b","Gaia DR2 2079018300195390464","TIC 268823307","Transit",3.54846540,0.00000020,-0.00000020,,,,,,,,,,,,,1.378,0.094,-0.091,
"K2-295","b","Gaia DR2 2564784633279953536","TIC 610976842","Transit",4.02488100,0.00001300,-0.00001300,,,,,,,,,,,,,0.920,0.120,-0.120,
"WASP-147","b","Gaia DR2 2340919358581488768","TIC 114749636","Transit",4.60273000,0.00002700,-0.00002700,0.054900,0.001200,-0.001300,0.000000,,,87.900,1.500,-1.600,0.27500,0.02800,-0.02700,1.115,0.140,-0.093,8.290000
"TOI-1728","b","Gaia DR2 1094545653447816064","TIC 285048486","Transit",3.49151600,0.00005200,-0.00005100,,,,,,,,,,,,,,,,12.500000
"K2-31","b","Gaia DR2 6050191241556876672","TIC 50171060","Transit",1.25783320,,,,,,,,,,,,,,,,,,
"HD 39091","c","Gaia DR2 4623036865373793408","TIC 261136679","Transit",6.26791000,0.00043000,-0.00043000,0.069000,0.003000,-0.003000,0.077000,0.076000,-0.049000,,,,0.01100,0.00100,-0.00100,,,,
"NGTS-2","b","Gaia DR2 6220602384081327104","TIC 125739286","Transit",4.51112340,0.00000300,-0.00000300,,,,,,,,,,,,,1.655,0.086,-0.086,
"55 Cnc","b","Gaia DR2 704967037090946688","TIC 332064670","Radial Velocity",14.64700000,0.00100000,-0.00100000,0.115000,,,0.030000,0.023000,-0.023000,,,,0.91000,0.02000,-0.02000,,,,
"55 Cnc","c","Gaia DR2 704967037090946688","TIC 332064670","Radial Velocity",44.37300000,0.02000000,-0.01800000,0.237350,0.000240,-0.000240,0.072000,0.013000,-0.014000,89.730,24.490,-24.540,0.17840,0.02750,-0.00780,,,,
"WASP-74","b","Gaia DR2 4224062406762625152","TIC 244089109","Transit",2.13775120,0.00000190,-0.00000190,,,,,,,,,,,,,,,,
"WASP-131","b","Gaia DR2 6173451477191225984","TIC 271168962","Transit",5.32201170,0.00000260,-0.00000260,,,,,,,,,,,,,,,,
"HATS-3","b","Gaia DR2 6805886373600546176","TIC 336732616","Transit",3.54785100,0.00000450,-0.00000490,,,,,,,,,,,,,,,,8.010000
"WASP-55","b","Gaia DR2 3603529272750802560","TIC 294301883","Transit",4.46562430,0.00000600,-0.00000640,,,,,,,,,,,,,1.314,0.086,-0.060,10.510000
"TOI-700","d","Gaia DR2 5284517766615492736","TIC 150428135","Transit",37.42396000,0.00039000,-0.00035000,0.163300,0.002700,-0.002700,0.042000,0.045000,-0.030000,89.800,0.120,-0.100,,,,0.096,0.005,-0.005,
"WASP-141","b","Gaia DR2 2980392087185289216","TIC 117979897","Transit",3.31066280,0.00000270,-0.00000270,,,,,,,,,,,,,,,,6.810000
"HAT-P-27","b","Gaia DR2 1159336403336463872","TIC 461239485","Transit",3.03958240,0.00000350,-0.00000350,0.039980,0.000840,-0.000910,0.028000,,,85.000,0.200,-0.200,0.61600,0.03000,-0.03000,1.020,0.070,-0.060,
"TrES-3","b","Gaia DR2 4609131509318715136","TIC 116264089","Transit",1.30618628,0.00000002,-0.00000002,,,,,,,81.840,0.140,-0.140,,,,,,,5.921000
"HAT-P-32","b","Gaia DR2 356348286886230272","TIC 292152376","Transit",2.14999072,0.00001981,-0.00001981,,,,,,,,,,,,,1.841,0.088,-0.088,
"WASP-129","b","Gaia DR2 5380888758195682944","TIC 61538902","Transit",5.74814500,0.00000400,-0.00000400,0.062800,0.000700,-0.000700,0.096000,,,87.700,0.200,-0.200,1.00000,0.10000,-0.10000,0.930,0.030,-0.030,15.152000
"WASP-129","b","Gaia DR2 5380888758195682944","TIC 61538902","Transit",5.74813560,0.00000120,-0.00000120,,,,,,,,,,,,,,,,
"WASP-129","b","Gaia DR2 5380888758195682944","TIC 61538902","Transit",5.74813571,0.00000078,-0.00000078,,,,,,,87.700,0.200,-0.200,,,,,,,15.200000
"WASP-133","b","Gaia DR2 6778662809294560896","TIC 92449173","Transit",2.17642300,0.00000100,-0.00000100,0.034500,0.000700,-0.000700,0.170000,,,87.000,1.000,-1.000,1.16000,0.09000,-0.09000,1.210,0.050,-0.050,5.155000
"WASP-120","b","Gaia DR2 4837286842167819776","TIC 152476657","Transit",3.61126206,0.00000220,-0.00000220,,,,,,,,,,,,,1.215,0.053,-0.053,
"HATS-25","b","Gaia DR2 6287125101007614080","TIC 437333618","Transit",4.29864716,0.00000081,-0.00000081,,,,,,,86.900,0.700,-0.700,,,,,,,10.000000
"HATS-25","b","Gaia DR2 6287125101007614080","TIC 437333618","Transit",4.29864710,0.00000140,-0.00000140,,,,,,,,,,,,,,,,
"HATS-27","b","Gaia DR2 6134228079203074176","TIC 248111245","Transit",4.63704960,0.00000210,-0.00000210,,,,,,,87.300,1.300,-1.300,,,,,,,7.500000
"HAT-P-52","b","Gaia DR2 128623485853170432","TIC 436875934","Transit",2.75359760,0.00000036,-0.00000036,,,,,,,87.000,0.900,-0.900,,,,,,,8.900000
"WASP-135","b","Gaia DR2 4596481632339898240","TIC 308172249","Transit",1.40137880,0.00000040,-0.00000040,,,,,,,,,,,,,,,,
"WASP-135","b","Gaia DR2 4596481632339898240","TIC 308172249","Transit",1.40137950,0.00000070,-0.00000080,,,,,,,,,,,,,,,,5.610000
"WASP-135","b","Gaia DR2 4596481632339898240","TIC 308172249","Transit",1.40137864,0.00000039,-0.00000039,,,,,,,82.000,0.600,-0.600,,,,,,,5.530000
"WASP-135","b","Gaia DR2 4596481632339898240","TIC 308172249","Transit",1.40137840,0.00000089,-0.00000089,,,,,,,,,,,,,1.249,0.081,-0.081,
"KELT-14","b","Gaia DR2 5560886336446650240","TIC 134537478","Transit",1.71001220,0.00000080,-0.00000080,,,,,,,,,,,,,1.536,0.078,-0.078,
"KELT-14","b","Gaia DR2 5560886336446650240","TIC 134537478","Transit",1.71005325,0.00000028,-0.00000028,,,,,,,,,,,,,,,,
"KELT-14","b","Gaia DR2 5560886336446650240","TIC 134537478","Transit",1.71005290,0.00000040,-0.00000040,,,,,,,,,,,,,,,,4.370000
"KELT-15","b","Gaia DR2 5489780919480009472","TIC 268644785","Transit",3.32947500,0.00000400,-0.00000400,,,,,,,,,,,,,,,,
