hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"OGLE-TR-10","b","Gaia DR2 4056443366649948160","TIC 130150682","Transit",3.10127800,,,0.043400,0.001300,-0.001500,,,,90.000,0.000,-3.900,0.62000,0.14000,-0.14000,1.250,0.140,-0.120,
"BD-08 2823","b","Gaia DR2 3770419611540574080","TIC 33355302","Radial Velocity",5.60000000,0.02000000,-0.02000000,0.056000,0.002000,-0.002000,0.150000,0.150000,-0.150000,,,,0.04500,0.00700,-0.00700,,,,
"BD-08 2823","c","Gaia DR2 3770419611540574080","TIC 33355302","Radial Velocity",237.60000000,1.50000000,-1.50000000,0.680000,0.020000,-0.020000,0.190000,0.090000,-0.090000,,,,0.33000,0.03000,-0.03000,,,,
"HR 8799","c","Gaia DR2 2832463659640297472","TIC 245368902","Imaging",69000.00000000,,,38.000000,,,,,,,,,10.00000,3.00000,-3.00000,1.200,0.100,0.000,
"HD 104985","b","Gaia DR2 1693159194226600192","TIC 160224839","Radial Velocity",198.20000000,0.30000000,-0.30000000,0.780000,,,0.030000,0.020000,-0.020000,,,,6.30000,,,,,,
"4 UMa","b","Gaia DR2 1092230803510960640","TIC 356478817","Radial Velocity",269.30000000,1.96000000,-1.96000000,0.870000,0.040000,-0.040000,0.432000,0.024000,-0.024000,,,,7.10000,1.60000,-1.60000,,,,
"HD 104985","b","Gaia DR2 1693159194226600192","TIC 160224839","Radial Velocity",199.50500000,0.08500000,-0.08500000,0.950000,,,0.090000,0.009000,-0.009000,,,,8.30000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1261.94000000,28.91000000,-23.97000000,2.800000,0.070000,-0.080000,0.044000,,,60.000,,,2.00000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1251.00000000,15.00000000,-15.00000000,2.600000,,,0.073000,0.049000,-0.049000,60.000,,,1.86000,,,,,,
"kap CrB","b","Gaia DR2 1372702716380418688","TIC 334753043","Radial Velocity",1300.00000000,15.00000000,-15.00000000,2.800000,0.100000,-0.100000,0.125000,0.049000,-0.049000,60.000,,,2.17000,,,,,,
"14 And","b","Gaia DR2 1920113512486282240","TIC 333225860","Radial Velocity",,,,0.680000,0.030000,-0.060000,,,,,,,3.20000,0.40000,-0.60000,,,,
"18 Del","b","Gaia DR2 1756741374681702784","TIC 354489950","Radial Velocity",,,,2.540000,0.040000,-0.040000,,,,,,,9.84000,0.30000,-0.30000,,,,
"81 Cet","b","Gaia DR2 2495420602212048640","TIC 35725282","Radial Velocity",,,,2.170000,0.170000,-0.090000,,,,,,,4.01000,0.60000,-0.30000,,,,
"HD 81688","b","Gaia DR2 818464227945910016","TIC 105438311","Radial Velocity",,,,0.660000,0.050000,-0.050000,,,,,,,1.77000,0.30000,-0.20000,,,,
"xi Aql","b","Gaia DR2 4298361114750843904","TIC 375464367","Radial Velocity",,,,0.580000,0.020000,-0.030000,,,,,,,2.02000,0.20000,-0.20000,,,,
"HD 180314","b","Gaia DR2 2042983077905233792","TIC 392658786","Radial Velocity",,,,1.340000,0.020000,-0.080000,,,,,,,20.30000,0.60000,-2.40000,,,,
"HD 208897","b","Gaia DR2 1779772947826839808","TIC 423862056","Radial Velocity",352.70000000,1.70000000,-1.70000000,1.050000,0.030000,-0.030000,0.070000,0.060000,-0.060000,,,,1.40000,0.08000,-0.08000,,,,
"HD 147379","b","Gaia DR2 1642641410934267008","TIC 230073581","Radial Velocity",86.54000000,0.07000000,-0.06000000,0.319300,0.000200,-0.000200,0.010000,0.120000,-0.010000,,,,0.07771,0.00566,-0.00755,,,,
"HD 47366","c","Gaia DR2 2951804033248308480","TIC 443578538","Radial Velocity",684.70000000,5.00000000,-4.90000000,1.853000,0.045000,-0.045000,0.278000,0.067000,-0.094000,,,,1.86000,0.16000,-0.15000,,,,
"6 Lyn","b","Gaia DR2 1004358968092652544","TIC 444865362","Radial Velocity",899.00000000,19.00000000,-19.00000000,2.200000,,,0.134000,0.052000,-0.052000,,,,2.40000,,,,,,
"81 Cet","b","Gaia DR2 2495420602212048640","TIC 35725282","Radial Velocity",952.70000000,8.80000000,-8.80000000,2.500000,,,0.206000,0.029000,-0.029000,,,,5.30000,,,,,,
"TOI-4145 A","b","Gaia DR2 568619413331898240","TIC 279947414","Transit",4.06644460,0.00000130,-0.00000130,,,,,,,,,,,,,1.087,0.061,-0.061,
"gam Lib","b","Gaia DR2 6265374394490149248","TIC 386935627","Radial Velocity",415.20000000,1.80000000,-1.90000000,1.240000,0.100000,-0.100000,0.210000,0.100000,-0.100000,,,,1.02000,0.14000,-0.14000,,,,
"gam Lib","c","Gaia DR2 6265374394490149248","TIC 386935627","Radial Velocity",964.60000000,3.10000000,-3.10000000,2.170000,0.100000,-0.100000,0.057000,0.034000,-0.032000,,,,4.58000,0.45000,-0.43000,,,,
"HD 110014","b","Gaia DR2 3676091134604409728","TIC 32448045","Radial Velocity",835.47700000,6.04000000,-6.04000000,2.140000,0.030000,-0.030000,0.462000,0.069000,-0.069000,,,,11.09000,1.00000,-1.00000,,,,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347409,0.00000007,-0.00000007,,,,0.000000,,,81.920,0.540,-0.540,,,,,,,4.820000
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347753,,,,,,0.000000,,,82.149,0.084,-0.086,,,,,,,4.837000
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347398,0.00000004,-0.00000004,,,,,,,82.110,0.100,-0.100,,,,,,,4.867000
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347398,0.00000004,-0.00000004,0.015040,0.000290,-0.000290,0.000000,,,82.109,0.088,-0.088,1.99800,0.07900,-0.07900,1.006,0.017,-0.017,4.970000
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.80000000,,,0.014000,,,0.000000,,,,,,1.80000,,,0.930,,,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347500,0.00000100,-0.00000100,0.014200,0.000400,-0.000400,0.000000,,,82.600,1.300,-0.900,1.78000,0.10000,-0.10000,0.930,0.070,-0.090,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347437,0.00000013,-0.00000013,0.015280,0.000170,-0.000180,0.006200,,,82.330,0.200,-0.200,2.05000,0.05000,-0.05200,1.036,0.019,-0.019,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347414,0.00000003,-0.00000003,,,,,,,,,,,,,,,,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347490,0.00000090,-0.00000100,,,,,,,,,,,,,,,,4.720000
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347363,0.00000029,-0.00000029,,,,,,,,,,,,,1.174,0.116,-0.116,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347404,0.00000003,-0.00000003,,,,,,,,,,,,,,,,
"WASP-43","b","Gaia DR2 3767805209112436736","TIC 36734222","Transit",0.81347406,0.00000002,-0.00000002,,,,,,,82.110,0.100,-0.100,,,,,,,4.867000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15912870,0.00000490,-0.00000490,,,,,,,89.030,0.270,-0.270,1.07290,0.22968,-0.17305,1.139,0.039,-0.039,9.715000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.16071000,0.00038000,-0.00038000,0.052000,0.011000,-0.011000,0.002800,0.004200,-0.002000,89.020,0.170,-0.170,1.21000,0.59000,-0.39000,1.150,0.250,-0.250,9.705000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15912890,0.00000420,-0.00000420,,,,,,,88.980,0.200,-0.200,1.14243,0.02297,-0.02297,1.127,0.013,-0.013,9.702000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.10000000,,,,,,,,,,,,,,,,,,9.756000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15914090,0.00000720,-0.00000720,0.051000,0.001000,-0.001000,0.026000,,,,,,1.13000,0.06000,-0.06000,,,,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15922100,0.00001500,-0.00001500,0.050700,0.001600,-0.001600,,,,,,,,,,1.097,0.223,-0.223,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15913990,0.00000720,-0.00000720,0.052000,0.000600,-0.000600,0.110000,,,89.200,0.500,-0.700,1.14000,0.05000,-0.05000,1.150,0.040,-0.020,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15912820,0.00000460,-0.00000460,,,,,,,,,,1.16414,0.09124,-0.09124,1.134,0.039,-0.039,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15917390,,,,,,,,,,,,,,,0.937,,,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15810694,,,,,,,,,,,,,,,,,,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15917000,0.00001100,-0.00001200,,,,,,,,,,,,,1.176,0.030,-0.017,9.746000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15914960,0.00000100,-0.00000100,,,,,,,,,,,,,,,,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15914880,0.00000180,-0.00000180,,,,,,,,,,,,,1.085,0.059,-0.059,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15914920,0.00000060,-0.00000060,,,,,,,,,,1.14401,0.02297,-0.02297,1.128,0.013,-0.013,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15914806,0.00000070,-0.00000070,,,,,,,,,,,,,,,,
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15915035,0.00000063,-0.00000063,,,,,,,88.980,0.200,-0.200,,,,,,,9.700000
"WASP-47","b","Gaia DR2 2613413008919918976","TIC 102264230","Transit",4.15915100,0.00000040,-0.00000040,,,,0.000600,0.000500,-0.000200,89.000,0.170,-0.170,1.17674,0.05349,-0.05034,1.147,0.009,-0.009,
"WASP-47","c","Gaia DR2 2613413008919918976","TIC 102264230","Radial Velocity",580.70000000,9.60000000,-9.60000000,1.410000,0.300000,-0.300000,0.360000,0.120000,-0.120000,87.000,45.000,-45.000,1.57000,1.00000,-0.59000,,,,261.400000
"WASP-47","c","Gaia DR2 2613413008919918976","TIC 102264230","Radial Velocity",572.00000000,7.00000000,-7.00000000,1.360000,0.040000,-0.040000,0.130000,0.100000,-0.100000,,,,1.24000,0.22000,-0.22000,,,,255.000000
"WASP-47","c","Gaia DR2 2613413008919918976","TIC 102264230","Radial Velocity",588.50000000,2.40000000,-2.40000000,1.393000,0.014000,-0.014000,0.296000,0.017000,-0.017000,,,,1.25287,0.02926,-0.02926,,,,
"WASP-47","c","Gaia DR2 2613413008919918976","TIC 102264230","Radial Velocity",588.80000000,2.00000000,-2.00000000,,,,0.295000,0.016000,-0.016000,,,,1.25508,0.02863,-0.02863,,,,
"WASP-47","c","Gaia DR2 2613413008919918976","TIC 102264230","Radial Velocity",589.57000000,0.02000000,-0.02000000,,,,0.264000,0.007000,-0.012000,90.000,,,1.40642,0.05663,-0.06922,,,,
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.09500000,0.01400000,-0.01400000,0.088000,0.019000,-0.019000,0.006000,0.009800,-0.004100,89.220,0.130,-0.130,0.05286,0.03776,-0.02202,0.331,0.073,-0.073,16.327000
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03077000,0.00017000,-0.00017000,,,,0.014000,,,89.320,0.230,-0.230,0.04122,0.00472,-0.00472,0.319,0.004,-0.004,16.268000
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03164000,0.00064000,-0.00064000,0.085000,0.002700,-0.002700,,,,,,,,,,0.284,0.061,-0.061,
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03079000,0.00017000,-0.00017000,,,,,,,,,,0.03272,0.02643,-0.02643,0.321,0.012,-0.012,
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03054190,,,,,,,,,,,,,,,0.273,,,
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.02805200,0.00006500,-0.00006500,,,,,,,89.500,2.000,-0.900,,,,0.294,0.009,-0.009,17.000000
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03055000,0.00008000,-0.00008000,,,,0.010000,0.011000,-0.007000,,,,0.04468,0.00409,-0.00409,0.318,0.004,-0.004,
"WASP-47","d","Gaia DR2 2613413008919918976","TIC 102264230","Transit",9.03050100,0.00001300,-0.00001300,,,,0.001000,0.000800,-0.000700,89.230,0.100,-0.100,0.04877,0.00220,-0.00283,0.326,0.003,-0.003,
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78959700,0.00001300,-0.00001300,,,,,,,87.000,3.100,-3.100,0.06922,,,0.163,0.006,-0.006,3.240000
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78963600,0.00001700,-0.00001700,0.017300,0.003800,-0.003800,0.030000,0.036000,-0.020000,86.200,2.100,-2.100,0.02863,0.01730,-0.01133,0.162,0.036,-0.036,3.205000
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78959200,0.00001200,-0.00001200,,,,,,,85.980,0.750,-0.750,0.02149,0.00208,-0.00208,0.161,0.002,-0.002,3.205000
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78951800,0.00006000,-0.00006000,0.016730,0.000530,-0.000530,,,,,,,,,,0.146,0.032,-0.032,
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.79000000,,,,,,,,,,,,0.02174,0.00255,-0.00261,0.158,0.004,-0.004,
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78961301,,,,,,,,,,,,,,,0.134,,,
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78969300,0.00008200,-0.00008200,,,,,,,81.800,5.900,-7.700,,,,0.160,0.012,-0.012,3.000000
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78965500,0.00004000,-0.00004000,,,,,,,89.600,10.000,-9.000,,,,0.161,0.009,-0.008,3.200000
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78959330,0.00000440,-0.00000440,,,,,,,,,,0.02130,0.00179,-0.00179,0.161,0.002,-0.002,
"WASP-47","e","Gaia DR2 2613413008919918976","TIC 102264230","Transit",0.78961000,0.00003000,-0.00003000,,,,0.000000,,,86.730,1.760,-1.760,0.02832,0.00189,-0.00126,0.163,0.002,-0.002,
"TOI-470","b","Gaia DR2 2912264564319611136","TIC 37770169","Transit",12.19145583,0.00004081,-0.00004081,,,,,,,,,,,,,0.412,0.038,-0.038,
"K2-371","b","Gaia DR2 602466302541172736","TIC 366622912","Transit",3.11490850,0.00000920,-0.00000920,,,,,,,,,,,,,1.073,0.145,-0.030,11.660000
"TOI-5704","b","Gaia DR2 784983789642216320","TIC 148673433","Transit",3.77111600,0.00001150,-0.00001070,,,,,,,88.940,1.370,-2.290,,,,0.288,0.017,-0.012,11.695000
"HD 23472","d","Gaia DR2 4674216245427964416","TIC 425997655","Transit",3.97664000,0.00003000,-0.00004400,0.042980,0.000630,-0.000650,0.070000,0.050000,-0.047000,87.950,1.200,-0.870,0.00173,0.00066,-0.00063,0.067,0.006,-0.005,13.290000
"TOI-2796","b","Gaia DR2 3222453935725951488","TIC 220076110","Transit",4.80849800,0.00000630,-0.00000630,,,,,,,,,,,,,1.346,0.148,-0.148,
"TOI-2194","b","Gaia DR2 6748283784056800384","TIC 271478281","Transit",15.33759700,0.00158500,-0.00161600,,,,,,,89.270,0.470,-0.850,,,,0.177,0.012,-0.006,32.393000
"TOI-672","b","Gaia DR2 5396580575830873728","TIC 151825527","Transit",3.63357500,0.00000100,-0.00000100,,,,,,,88.430,0.820,-0.520,,,,0.469,0.007,-0.009,15.503000
"TOI-1221","b","Gaia DR2 5282270089967734912","TIC 349095149","Transit",91.68143360,0.00198860,-0.00198860,,,,,,,,,,,,,0.278,0.020,-0.020,
"TOI-199","b","Gaia DR2 4762582895440787712","TIC 309792357","Transit",104.85400000,0.00100000,-0.00200000,0.425400,0.002000,-0.002000,0.090000,0.010000,-0.020000,90.000,,,0.17000,0.02000,-0.02000,0.810,0.005,-0.005,
"TOI-199","c","Gaia DR2 4762582895440787712","TIC 309792357","Transit Timing Variations",273.69000000,0.26000000,-0.22000000,0.807000,0.003000,-0.003000,0.096000,0.008000,-0.009000,90.000,,,0.28000,0.02000,-0.01000,,,,
"KELT-18","b","Gaia DR2 1612165353793791488","TIC 293687315","Transit",2.87175180,0.00000280,-0.00000280,0.045500,0.000670,-0.000690,0.000000,,,88.860,0.790,-1.200,1.18000,0.11000,-0.11000,1.570,0.042,-0.036,5.138000
"TOI-2096","c","Gaia DR2 1126422935076082176","TIC 142748283","Transit",6.38784000,0.00001200,-0.00001200,0.040000,0.002000,-0.002000,0.100000,0.170000,-0.060000,89.560,0.260,-0.230,,,,0.171,0.008,-0.008,
"HD 23472","c","Gaia DR2 4674216245427964416","TIC 425997655","Transit",29.79752050,0.00008870,-0.00008870,,,,,,,,,,,,,0.144,0.010,-0.010,
"TOI-3235","b","Gaia DR2 6107144260251920000","TIC 243641947","Transit",2.59261990,0.00000120,-0.00000120,,,,,,,,,,,,,0.983,0.034,-0.034,
"Kepler-33","d","Gaia DR2 2127355923723254272","TIC 158935283","Transit",21.77575400,0.00006700,-0.00006700,0.166000,,,0.000000,,,87.090,,,,,,,,,15.190000
"HIP 5158","b","Gaia DR2 2351405057377686272","TIC 268634769","Radial Velocity",345.72000000,5.37000000,-5.37000000,0.890000,,,0.520000,0.080000,-0.080000,,,,1.42000,,,,,,
"HD 6718","b","Gaia DR2 2475153682334693120","TIC 408047845","Radial Velocity",2496.00000000,176.00000000,-176.00000000,3.560000,0.240000,-0.150000,0.100000,0.110000,-0.040000,,,,1.56000,0.11000,-0.10000,,,,
"HD 156846","b","Gaia DR2 4122343906051101184","TIC 75673519","Radial Velocity",359.55460000,0.00710000,-0.00710000,1.096000,0.021000,-0.021000,0.847850,0.000500,-0.000500,,,,10.57000,0.29000,-0.29000,,,,
"HD 132563","b","Gaia DR2 1585765117538284800","TIC 284680749","Radial Velocity",1544.00000000,34.00000000,-34.00000000,2.620000,0.040000,-0.040000,0.220000,0.090000,-0.090000,,,,1.49000,0.09000,-0.09000,,,,
"HD 137388","b","Gaia DR2 5778418870846853888","TIC 407090552","Radial Velocity",330.00000000,2.00000000,-4.00000000,0.890000,0.020000,-0.020000,0.360000,0.120000,-0.120000,,,,0.22300,0.02900,-0.02900,,,,
"HD 85512","b","Gaia DR2 5412947081287925504","TIC 35055332","Radial Velocity",58.43000000,0.13000000,-0.13000000,0.260000,0.005000,-0.005000,0.110000,0.100000,-0.100000,90.000,,,0.01100,0.00200,-0.00200,,,,
"HD 23127","b","Gaia DR2 4680773217379728128","TIC 311924816","Radial Velocity",1214.00000000,9.00000000,-9.00000000,2.400000,0.300000,-0.300000,0.440000,0.070000,-0.070000,,,,1.50000,0.20000,-0.20000,,,,
"HD 100655","b","Gaia DR2 3979226627820659072","TIC 156942082","Radial Velocity",157.57000000,0.65000000,-0.65000000,0.760000,0.020000,-0.040000,0.085000,0.054000,-0.054000,,,,1.70000,0.10000,-0.20000,,,,
"GJ 667 C","b","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",7.19990000,0.00090000,-0.00090000,0.050431,0.000004,-0.000004,0.150000,0.050000,-0.050000,,,,0.01800,0.00100,-0.00100,,,,
"GJ 667 C","b","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",7.20066000,0.00067000,-0.00067000,0.049000,,,0.172000,0.043000,-0.043000,,,,0.01789,0.00075,-0.00075,,,,
"HD 155358","b","Gaia DR2 1334643739861016832","TIC 21897561","Radial Velocity",194.30000000,0.30000000,-0.30000000,0.640000,0.010000,-0.010000,0.170000,0.030000,-0.030000,,,,0.85000,0.05000,-0.05000,,,,
"HD 79498","b","Gaia DR2 686996756484129664","TIC 85998162","Radial Velocity",1966.10000000,41.00000000,-41.00000000,3.130000,0.080000,-0.080000,0.590000,0.020000,-0.020000,,,,1.34000,0.07000,-0.07000,,,,
"GJ 667 C","b","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",7.20040000,0.00170000,-0.00170000,0.050500,0.004400,-0.005300,0.130000,0.100000,-0.110000,,,,0.01800,0.00400,-0.00400,,,,
"GJ 667 C","b","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",7.20000000,0.00100000,-0.00100000,0.050000,0.002000,-0.002000,0.122000,0.078000,-0.078000,,,,0.01800,0.00100,-0.00100,,,,
"GJ 667 C","b","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",7.20300000,0.00190000,-0.00190000,,,,0.200000,0.100000,-0.100000,,,,,,,,,,
"GJ 667 C","c","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",28.10000000,0.03000000,-0.03000000,0.125010,0.000090,-0.000090,0.270000,0.100000,-0.100000,,,,0.01300,0.00200,-0.00200,,,,
"GJ 667 C","c","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",28.15500000,0.01700000,-0.01700000,0.123000,0.020000,-0.020000,0.270000,,,,,,0.01430,0.00120,-0.00120,,,,
"GJ 667 C","c","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",28.14000000,0.05300000,-0.06500000,0.125000,0.012000,-0.013000,0.020000,0.150000,-0.020000,,,,0.01200,0.00500,-0.00400,,,,
"GJ 667 C","c","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",28.14300000,0.02900000,-0.02900000,0.125000,0.004000,-0.004000,0.133000,0.098000,-0.098000,,,,,,,,,,
"GJ 667 C","e","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",62.24000000,0.55000000,-0.55000000,0.213000,0.019000,-0.022000,0.020000,0.220000,-0.020000,,,,0.00800,0.00500,-0.00400,,,,
"GJ 667 C","f","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",39.02600000,0.19400000,-0.21100000,0.156000,0.014000,-0.017000,0.030000,0.160000,-0.030000,,,,0.00800,0.00400,-0.00400,,,,
"GJ 667 C","g","Gaia DR2 5975663354131618304","TIC 154385809","Radial Velocity",256.20000000,13.80000000,-7.90000000,0.549000,0.052000,-0.058000,0.080000,0.410000,-0.080000,,,,0.01400,0.00800,-0.00700,,,,
"CHXR 73","b","Gaia DR2 5201175987817179136","TIC 454291479","Imaging",,,,210.000000,,,,,,,,,12.56900,8.37900,-5.23700,,,,
"HD 13189","b","Gaia DR2 325494788018024576","TIC 63564248","Radial Velocity",471.60000000,6.00000000,-6.00000000,1.850000,0.350000,-0.350000,0.270000,0.060000,-0.060000,,,,14.00000,6.00000,-6.00000,,,,
"GJ 433","b","Gaia DR2 3478160727866058368","TIC 57654763","Radial Velocity",7.37090000,0.00080000,-0.00080000,0.058000,,,0.080000,0.080000,-0.080000,,,,0.01800,,,,,,
"HIP 5158","b","Gaia DR2 2351405057377686272","TIC 268634769","Radial Velocity",345.63000000,1.99000000,-1.99000000,0.890000,0.010000,-0.010000,0.540000,0.040000,-0.040000,,,,1.44000,0.14000,-0.14000,,,,
"alf Ari","b",,"TIC 306349516","Radial Velocity",380.80000000,0.30000000,-0.30000000,1.200000,,,0.250000,0.030000,-0.030000,,,,1.80000,0.20000,-0.20000,,,,
"tau Gem","b","Gaia DR2 886479673643096448","TIC 68984421","Radial Velocity",305.00000000,,,,,,,,,,,,18.10000,,,,,,
"HD 62509","b",,"TIC 423088367","Radial Velocity",589.70000000,3.50000000,-3.50000000,1.690000,0.030000,-0.030000,0.060000,0.040000,-0.040000,,,,2.90000,0.10000,-0.10000,,,,
"Kepler-370","c","Gaia DR2 2053578521704124160","TIC 137411225","Transit",19.02293000,0.00017700,-0.00017700,0.140000,,,,,,,,,,,,0.170,0.079,-0.079,
"Kepler-400","b","Gaia DR2 2101510008826160256","TIC 122707140","Transit",9.02438900,0.00003400,-0.00003400,0.087000,,,,,,,,,,,,0.147,0.027,-0.027,
"Kepler-221","b","Gaia DR2 2080344586094498432","TIC 272601375","Transit",2.79590600,0.00000400,-0.00000400,0.037000,,,,,,,,,,,,0.153,0.015,-0.015,
"Kepler-367","c","Gaia DR2 2087250476887856256","TIC 28159518","Transit",53.57863700,0.00038200,-0.00038200,0.253000,,,,,,,,,,,,0.107,0.014,-0.014,
"Kepler-393","c","Gaia DR2 2127390970655877888","TIC 159580535","Transit",14.61361200,0.00023100,-0.00023100,0.124000,,,,,,,,,,,,0.119,0.028,-0.028,
"Kepler-304","c","Gaia DR2 2076565805151925760","TIC 377909730","Transit",5.31594600,0.00000700,-0.00000700,0.054000,,,,,,,,,,,,0.194,0.013,-0.013,
"Kepler-360","b","Gaia DR2 2106316012810255104","TIC 158213532","Transit",3.28967200,0.00001200,-0.00001200,0.044000,,,,,,,,,,,,0.147,0.070,-0.070,
"Kepler-101","c","Gaia DR2 2131709921047710336","TIC 48304653","Transit",6.02980900,0.00011500,-0.00011500,0.068000,,,,,,,,,,,,0.119,0.030,-0.030,
"Kepler-243","c","Gaia DR2 2104090257679181696","TIC 164886497","Transit",20.02621800,0.00016300,-0.00016300,0.142000,,,,,,,,,,,,0.178,0.087,-0.087,
"Kepler-261","c","Gaia DR2 2052528625536778624","TIC 137148674","Transit",24.57085800,0.00006900,-0.00006900,0.156000,,,,,,,,,,,,0.178,0.012,-0.012,
"Kepler-327","d","Gaia DR2 2126336710805475712","TIC 63366281","Transit",13.96945700,0.00003100,-0.00003100,0.090000,,,,,,,,,,,,0.154,0.009,-0.009,
"Kepler-136","b","Gaia DR2 2077203178296653056","TIC 272375343","Transit",11.57890000,0.00003000,-0.00003000,0.106000,,,,,,,,,,,,0.183,0.034,-0.034,
"Kepler-122","d","Gaia DR2 2053070616052194304","TIC 122714267","Transit",21.58747500,0.00016400,-0.00016400,0.155000,,,,,,,,,,,,0.196,0.039,-0.039,
"Kepler-157","c","Gaia DR2 2052941389074846336","TIC 122716806","Transit",13.54050000,0.00004900,-0.00004900,0.110000,,,,,,,,,,,,0.200,0.038,-0.038,
"Kepler-147","c","Gaia DR2 2099686125195464576","TIC 121458206","Transit",33.41642300,0.00041600,-0.00041600,0.216000,,,,,,,,,,,,0.217,0.044,-0.044,
"Kepler-239","b","Gaia DR2 2077298148611950976","TIC 138641300","Transit",11.76305100,0.00003400,-0.00003400,0.095000,,,,,,,,,,,,0.208,0.013,-0.013,
"Kepler-200","b","Gaia DR2 2103671481186902912","TIC 120252452","Transit",8.59480500,0.00003600,-0.00003600,0.080000,,,,,,,,,,,,0.190,0.037,-0.037,
"Kepler-243","b","Gaia DR2 2104090257679181696","TIC 164886497","Transit",5.71544200,0.00001100,-0.00001100,0.062000,,,,,,,,,,,,0.219,0.103,-0.103,
