HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
104075,2.421364776,-3.92240348,50.14102815,0, None,0,0,0,0.03,-0.56,nan,-0.13,-0.06,-0.04,-0.04,-0.03,0.09,0.01,0.04,nan,0,-0.11,0.07,-0.06,0.03
104092,-6.017249012,8.757360503,10.66976608,0, None,0,0,0,0.1,-3.13,nan,nan,0.45,0.66,0.35,0.14,0.25,0.45,0.28,0.44,0.22,0.13,0.42,0.21,-0.27
104101,-27.37547199,37.42338653,-15.60769192,0, None,0,0,0,0.03,nan,0.11,0.08,0.06,0.05,0.03,0.05,0.05,0.23,0.05,-0.01,0.03,-0.11,0.11,0.03,0.12
104108,16.95685522,-22.23659591,-17.2195214,0, None,0,0,0,-0.23,nan,-0.27,nan,-0.14,-0.45,-0.04,-0.22,-0.12,0.17,0.07,0.31,-0.17,-0.44,-0.16,-0.24,nan
104152,-37.44092803,37.39896523,-36.02939087,0, None,0,0,0,0.19,nan,nan,0,0.16,0.27,0.2,0.16,0.19,0.35,0.18,0.16,0.13,0.08,0.28,0.18,0.11
104172,21.07390595,-17.86393152,123.03999,0, None,0,0,0,0.04,-2.84,-0.22,0.04,0.1,0.15,0.19,0.16,0.11,0.1,0.09,0.02,0.1,-0.03,0.06,0.06,0.16
104174,-46.34201025,38.87674442,-80.38722246,0, None,0,0,0,0.1,-2.08,-0.23,-0.09,0.28,0.21,0.21,0.19,0.16,-0.02,0.05,0.14,0.14,0.06,0.05,0.05,0.04
104195,61.1789349,-46.22557948,46.36293162,0, None,0,0,0,0.26,nan,0.16,0.13,0.14,0.15,0.05,0.27,0.17,nan,0.25,0.39,0.21,nan,0.24,0.25,nan
104214,-1.461533907,0.976561549,3.010976379,0, None,0,0,0,-0.13,-3.22,nan,nan,0.02,0.02,-0.01,0.17,-0.03,-0.03,-0.06,-0.15,-0.04,-0.09,0.15,-0.06,-0.47
104217,-1.48967526,0.983220992,3.008312891,0, None,0,0,0,-0.23,-3,nan,nan,0,0.37,0.13,0.29,-0.05,0.06,0,0.09,-0.08,-0.06,0.34,0.1,-0.34
104225,-23.53062574,14.97189851,17.46218356,0, None,0,0,0,-0.29,nan,-0.24,-0.19,-0.44,-0.22,-0.29,-0.21,-0.24,nan,-0.24,-0.23,-0.3,-0.49,nan,-0.27,-0.29
104239,-3.265257785,1.8202923,-17.17249085,0, None,0,0,0,0.15,nan,0.74,0.04,-0.01,0.15,0.13,0.05,-0.04,-0.01,0.07,0.17,0.01,0.07,0.13,0.01,nan
104299,-9.402330143,3.54853741,25.47139631,0, None,0,0,0,-0.44,nan,-0.44,nan,-0.41,-0.35,-0.4,-0.41,-0.33,-0.32,-0.23,-0.21,-0.4,-0.64,-0.4,-0.45,nan
104318,-14.81017031,4.839319588,34.79512841,0, None,0,0,0,0.19,nan,0.12,0.04,0.03,0.06,-0.05,0.1,0.12,nan,0.1,0.09,0.11,-0.02,nan,0.11,0.15
104344,-63.26190133,14.79414697,-15.53514573,0, None,0,0,0,0.12,nan,nan,nan,0.15,0.27,0.03,0.13,0.21,0.73,0.17,0.15,0.18,-0.01,0.33,0.09,0.46
104347,46.31663624,-9.84685258,111.5804061,0, None,0,0,0,-0.55,-1.96,-0.21,-0.13,-0.51,-0.51,-0.65,-0.41,-0.55,nan,-0.59,-0.73,nan,-0.99,-0.58,-0.65,nan
104367,77.32597297,-11.46036662,-24.87982358,0, None,0,0,0,0.31,nan,nan,nan,0.08,nan,nan,0.22,nan,nan,0.3,nan,nan,nan,nan,0.22,nan
104421,-36.87344375,0.247677948,-62.74747696,0, None,0,0,0,-0.21,-0.83,-0.05,-0.06,-0.22,-0.19,-0.34,-0.11,-0.18,nan,-0.25,-0.3,nan,-0.5,-0.24,-0.23,nan
104436,-22.41663365,-0.693217347,-8.078339558,0, None,0,0,0,-0.27,-1.4,nan,-0.24,-0.25,-0.31,-0.52,-0.23,-0.21,nan,-0.16,nan,-0.34,nan,nan,-0.31,nan
104459,-17.85712362,-1.745627766,45.43777859,0, None,0,0,0,0.07,-2.91,-0.22,-0.22,0.12,0.04,0.1,0.09,0.1,-0.03,0.04,-0.06,0.05,-0.03,0.04,0.02,0.15
104514,19.81588722,5.245134997,61.21704035,0, None,0,0,0,-0.46,-0.68,-0.17,-0.18,-0.47,-0.45,-0.65,-0.36,-0.45,nan,-0.53,-0.61,nan,-0.82,-0.53,-0.54,nan
