HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
88048,-39.65146,17.72208722,15.78353793,1, Radial Velocity,2,27,3.04,0.17,-2.85,-0.15,0.03,0.51,0.27,0.28,0.28,0.1,0.07,0.18,0.15,0.08,0.37,0.24,0.17,0.22
94576,112.7155421,-37.03469393,56.49058862,1, Radial Velocity,1,22,2.6,0.26,nan,0.07,0.04,0.71,0.33,0.41,0.28,0.24,0.34,0.28,0.26,0.2,0.68,0.36,0.24,-0.18
34693,21.64908485,31.64560263,-90.64983362,1, Radial Velocity,1,20.6,2.3,0.18,-3.67,-0.05,0.15,0.45,0.44,0.26,0.36,-0.02,nan,0.14,0.06,0.21,0.34,0.41,0.21,0.2
60202,-43.03233027,7.582376059,-77.40775603,1, Radial Velocity,1,19.4,2.7,-0.27,-2.86,-0.41,-0.16,-0.07,-0.21,-0.1,-0.1,-0.24,-0.3,-0.28,-0.46,-0.31,-0.47,-0.25,-0.31,-0.32
111928,63.94258359,64.60524696,35.43518071,1, Radial Velocity,1,19.2,1.22,0.14,nan,0.12,0.08,-0.02,0.03,-0.06,0.07,0.17,nan,0.08,0,0.1,-0.05,nan,0.13,0.21
73408,-6.328340856,14.91351689,53.89222568,1, Radial Velocity,1,18.15,1.1,0.32,-1.14,0.36,0.2,0.37,0.34,0.31,0.33,0.34,0.45,0.35,0.35,0.34,0.26,0.39,0.39,nan
115100,-39.56280393,-58.7262659,-14.63734044,1, Radial Velocity,2,15.1,1.23,0.2,-1.01,0.19,0.13,0.16,0.23,0.22,0.18,0.21,0.28,0.18,0.14,0.14,0.09,0.25,0.2,0.17
5158,25.68863229,26.45211121,18.34883862,1, Radial Velocity,2,15.04,0.78,0.2,nan,0.14,nan,0.49,0.22,0.4,0.18,0.29,0.78,0.47,0.78,0.21,0.09,0.4,0.28,nan
87330,20.69179613,14.90933768,-14.68440441,1, Radial Velocity,1,14.4,0.75,0.05,nan,-0.16,nan,-0.09,-0.11,-0.05,-0.08,-0.05,0.15,0.14,0.31,-0.05,-0.22,-0.01,-0.1,nan
6702,32.38119416,-15.8516982,-0.807278053,1, Radial Velocity,1,14.2,0,0.19,-1.43,nan,nan,0.51,0.14,0.54,0.28,0.28,0.98,0.3,0.44,0.56,0.07,0.61,0.18,0.68
27253,3.832077392,-14.89181268,36.14215287,1, Radial Velocity,2,13.38,1.48,0.41,-2.77,0.38,0.31,0.41,0.44,0.4,0.36,0.32,0.38,0.35,0.35,0.31,0.45,0.44,0.4,0.42
113834,48.79140857,10.35938226,-22.82789201,1, Radial Velocity,1,13,1.02,-0.13,-1.12,-0.01,-0.22,-0.04,-0.02,0.06,-0.1,-0.04,-0.12,-0.03,-0.14,-0.13,-0.3,-0.06,-0.11,nan
49522,36.67733547,43.79658083,-80.62806256,1, Radial Velocity,1,12.4,1.12,0.35,nan,nan,nan,0.59,0.24,0.36,0.3,0.41,nan,0.53,0.45,0.53,0.37,0.33,0.35,0.64
61740,-3.198008808,-12.28646872,-89.10912226,1, Radial Velocity,1,11.09,2.17,0.37,-3.12,0.18,0.12,0.66,0.3,0.59,0.57,0.24,0.48,0.37,0.53,0.25,0.81,0.46,0.4,0.06
59625,-31.17310281,-78.60149182,7.502980176,1, Radial Velocity,1,11,1.32,0.06,nan,-0.05,-0.03,-0.17,-0.01,-0.1,-0.07,0.09,nan,0.03,-0.02,0.04,-0.11,nan,0.05,0.29
27384,-23.46550377,34.08636812,-80.75878666,1, Radial Velocity,1,10.7,1.36,0.34,nan,0.17,0.08,0.28,0.24,0.23,0.23,0.24,0.35,0.29,0.34,0.27,0.3,0.43,0.32,0.31
84856,-34.57780441,24.10919975,-22.15165063,1, Radial Velocity,1,10.57,1.35,0.23,-2.21,0.22,0.17,0.2,0.24,0.2,0.2,0.27,0.33,0.23,0.15,0.2,0.11,0.27,0.21,0.33
74793,110.6329886,-6.84108212,51.20528533,1, Radial Velocity,1,10.5,1.8,0.05,nan,0.37,-0.02,0.08,0.14,0.19,0.22,-0.22,0.13,0.19,0.31,-0.04,0.3,0.26,0.07,nan
114699,-28.55870667,5.547826873,3.88880251,1, Radial Velocity,1,10.39,1.05,-0.12,-1.79,-0.1,-0.1,-0.14,0.02,0.05,-0.06,-0.02,-0.04,0.06,0.02,-0.09,-0.25,-0.02,-0.11,nan
103527,-10.55393837,-5.083998132,-74.38439887,1, Radial Velocity,1,10.3,2.3,0.09,-2.67,-0.22,-0.02,0.15,0.13,0.12,0.11,0.12,0.03,0.16,0.05,0.07,0.08,0.09,0.06,0.17
26394,-5.561517677,3.306323305,17.1341076,1, Radial Velocity,1,10.27,1.1,0.1,-0.94,0.18,0.05,0.13,0.16,0.05,0.1,0.12,0.18,0.11,0.08,0.09,-0.04,0.1,0.13,0.13
12184,1.072522676,36.07048705,-19.00067216,1, Radial Velocity,1,9.88,1.16,0.26,nan,nan,nan,0.3,nan,0.09,0.29,0.51,0.76,0.62,0.63,1.01,0.23,0.61,0.39,0.37
76311,-23.53206763,-100.0152597,-58.15702657,1, Radial Velocity,1,9.76,1.35,0.37,-3.13,0.09,0.06,0.5,0.44,0.5,0.5,0.33,0.45,0.34,0.49,0.29,0.75,0.51,0.38,0.28
84171,28.08792061,14.84104518,18.18262597,1, Radial Velocity,1,9.71,0.93,0.13,nan,0.1,0.03,0.06,0.11,0.08,0.12,0.13,nan,0.11,0.15,0.12,0.07,nan,0.16,0.09
59743,0.102757339,19.77417732,-29.10430067,1, Radial Velocity,1,9.61,0.97,0.09,nan,0.08,nan,0.09,0.12,0.2,0.12,0.11,nan,0.16,0.19,nan,nan,0.12,0.14,nan
77740,22.84651281,-18.78612395,12.97658303,1, Radial Velocity,1,9.316,1.03,0.14,-0.98,0.19,0.02,0.06,0.13,0.1,0.11,0.17,0.17,0.15,0.12,0.12,0.01,0.18,0.13,0.15
25110,-8.138512054,13.88617951,-13.30957257,1, Radial Velocity,1,9.1,1.25,0.22,-1.11,0.01,nan,0.19,0.19,0.15,0.17,0.29,0.55,0.22,0.25,0.12,0.03,0.54,0.18,0.29
75458,-7.428767397,22.02004364,20.55736894,1, Radial Velocity,1,8.82,1.05,0.22,-2.9,0.08,0.21,0.33,0.26,0.36,0.33,0.08,0.21,0.21,0.33,0.09,0.47,0.4,0.19,-0.05
50583,-10.77026554,-18.96448879,33.39800948,1, Radial Velocity,1,8.78,1.23,-0.32,-3.9,-0.65,-0.48,-0.24,-0.13,-0.1,-0.22,-0.4,-0.19,-0.33,-0.18,-0.39,-0.62,-0.25,-0.42,-0.54
50786,-1.297114238,36.46065556,-14.96110445,1, Radial Velocity,1,8.44,1.56,0.26,-1.23,0.25,0.18,0.24,0.3,0.18,0.23,0.22,0.33,0.25,0.12,0.2,0.07,0.24,0.22,0.33
58952,3.798673503,-4.796407054,96.89439432,1, Radial Velocity,1,8.3,0,-0.27,-3.31,-0.09,-0.01,-0.25,0.07,0.02,-0.01,-0.19,-0.16,-0.07,-0.16,-0.31,-0.48,0.02,-0.24,-0.33
105854,32.57112764,73.23956079,-10.50305799,1, Radial Velocity,1,8.2,2.1,0.49,nan,nan,nan,0.64,0.39,0.51,0.53,0.39,0.43,0.32,0.71,0.29,0.5,0.6,0.38,nan
21850,1.083411984,5.093451606,-52.56891254,1, Radial Velocity,2,8.08,0.99,0.42,nan,0.44,0.28,0.48,0.35,0.36,0.4,0.25,0.47,0.37,0.52,0.33,0.4,0.56,0.42,nan
42723,-1.947238056,8.372237304,-63.85705965,1, Radial Velocity,2,8.06,1.24,0.17,-0.7,0.19,0.13,0.13,0.13,0.09,0.11,0.14,0.28,0.16,0.04,0.1,0.02,0.19,0.15,0.18
116906,-35.69197963,-17.91054869,12.25231256,1, Radial Velocity,1,7.75,0.99,0.05,-2.39,0.04,-0.02,-0.03,0.09,0.04,0.01,0.04,0.13,0.05,0.03,-0.01,-0.11,0.12,0,-0.05
17747,-43.18523671,-21.00587647,15.38949531,1, Radial Velocity,1,7.71,1.16,0.32,-0.48,0.34,0.11,0.37,0.25,0.23,0.27,0.28,0.41,0.27,0.24,0.27,0.24,0.36,0.34,0.31
89844,-4.680766802,36.5849042,6.346419247,1, Radial Velocity,2,7.659,0.99,0.12,-2.59,0.21,0.11,0.03,0.24,0.21,0.11,0.1,0.27,0.18,0.07,0.05,-0.12,0.2,0.1,0.03
20889,-16.18095924,-39.32492298,14.61132692,1, Radial Velocity,1,7.6,2.7,0.21,-2.45,-0.01,0.06,0.42,0.21,0.27,0.28,0.14,0.1,0.19,0.15,0.15,0.21,0.24,0.2,0.18
65721,3.147940416,5.439811943,16.85173993,1, Radial Velocity,1,7.4,1.09,-0.02,-1.45,0.01,-0.03,-0.13,0.07,0.01,-0.05,0,0.07,0.02,-0.07,-0.09,-0.17,0.02,-0.08,-0.09
70123,-0.262216546,10.90300013,53.09194463,1, Radial Velocity,3,7.2,1.09,0.25,-0.78,0.14,0.12,0.14,0.25,0.23,0.23,0.28,0.37,0.3,0.22,0.22,0.13,0.33,0.26,0.29
42527,-1.857711818,-5.561995891,78.27358465,1, Radial Velocity,1,7.1,1.23,-0.12,-2.71,-0.25,-0.12,-0.07,-0.01,0.04,-0.03,-0.16,-0.07,-0.1,-0.11,-0.2,-0.17,-0.01,-0.11,-0.1
48780,-1.039183941,67.5688215,12.78608127,1, Radial Velocity,1,7,0,0.22,-2.41,nan,nan,0.21,nan,nan,0.21,nan,nan,0.26,nan,nan,nan,nan,0.23,nan
36616,-18.34432036,2.693537385,-95.10883521,1, Radial Velocity,1,6.92,1.9,0.22,-3.31,-0.03,0.08,0.3,0.2,0.32,0.28,0.1,0.12,0.2,0.33,0.08,0.37,0.33,0.22,0.18
59610,-12.26216848,-28.19173782,-21.83374573,1, Radial Velocity,1,6.92,1.01,0,-1.61,0.03,-0.04,-0.1,0.02,-0.07,-0.07,-0.05,0.06,-0.04,-0.12,-0.11,-0.23,0,-0.08,-0.05
102125,-36.85405998,24.43158762,2.115720742,1, Radial Velocity,1,6.9,1.29,0.24,-0.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46076,-1.687961559,0.76410687,33.06070273,1, Radial Velocity,1,6.86,0.96,0,-1.42,nan,-0.02,-0.19,-0.02,-0.13,-0.09,0.02,0.03,0,-0.12,-0.05,-0.05,-0.02,-0.12,0.13
55409,-11.82367939,-7.582377119,39.08072177,1, Radial Velocity,1,6.8,1,0,-2.44,nan,nan,nan,-0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07
78159,-9.481051118,-7.001009854,66.85780463,1, Radial Velocity,1,6.7,1.7,-0.09,-3.6,-0.32,-0.12,0.02,0.03,0.09,0.17,-0.04,-0.1,-0.12,-0.14,-0.07,-0.23,-0.04,-0.08,-0.16
80250,13.52042485,11.55780439,39.09955679,1, Radial Velocity,2,6.56,0.93,0.21,nan,-0.06,0.38,0.21,0.14,0.17,0.17,0.12,nan,0.24,0.24,0.22,nan,0.18,0.29,nan
8928,-6.196265496,-3.062689342,66.711977,1, Radial Velocity,1,6.54,1.91,-0.15,-3.05,-0.55,-0.32,-0.03,-0.06,-0.06,-0.04,-0.07,-0.15,-0.06,-0.07,-0.16,-0.33,-0.1,-0.17,-0.25
21421,-14.08019588,1.912981308,-14.68344557,1, Radial Velocity,1,6.47,1.13,-0.2,-4.63,-0.39,-0.39,0.17,-0.02,0.16,0.12,-0.27,-0.33,-0.27,-0.18,-0.17,-0.86,-0.17,-0.22,-0.33
1666,24.69364476,-44.59386299,-95.73481425,1, Radial Velocity,1,6.43,1.5,0.38,nan,0.17,0.39,0.34,0.23,0.21,0.33,0.38,nan,0.35,0.27,0.36,0.27,nan,0.4,0.44
8159,4.88496843,9.597268282,30.74164504,1, Radial Velocity,1,6.21,1.11,0.17,-1.3,0.18,0.04,0.12,0.2,0.18,0.13,0.14,0.22,0.17,0.08,0.1,0.14,0.17,0.15,0.14
1931,100.0225276,-20.17583639,-10.38386922,1, Radial Velocity,1,6.11,1.17,0.36,-0.98,0.34,0.14,0.37,0.29,0.23,0.34,0.27,0.44,0.33,0.32,0.33,0.35,0.45,0.37,0.32
72607,-12.02879075,4.754737682,-38.00372575,1, Radial Velocity,1,6.1,1.4,-0.06,-4.15,-0.37,-0.33,-0.03,0,0.04,0.14,-0.24,-0.31,-0.2,-0.25,-0.01,-0.36,-0.08,-0.11,-0.19
39311,-20.21709301,-49.91361421,56.26230524,1, Radial Velocity,1,6,1.1,-0.31,-3.6,-0.4,-0.28,-0.25,-0.24,-0.08,-0.11,-0.3,-0.26,-0.23,-0.15,-0.37,-0.39,-0.25,-0.35,-0.36
118228,-0.072143428,24.87839873,73.67329957,1, Radial Velocity,1,5.97,1.34,0.34,nan,0.28,0.12,0.38,0.21,0.2,0.37,0.21,nan,0.31,0.29,0.3,nan,0.32,0.39,nan
79346,10.89646035,16.93915663,-51.21785296,1, Radial Velocity,1,5.76,1.12,0.13,-0.95,0.23,0.02,0.07,0.16,0.06,0.1,0.21,0.24,0.2,0.07,0.14,0,0.17,0.1,nan
73146,26.18553865,62.61376803,1.644423066,1, Radial Velocity,1,5.61,0,0.18,-2.19,0.07,0.09,-0.05,0.22,0.13,0.08,0.17,0.18,0.16,0.1,0.07,0.13,0.14,0.1,nan
20723,14.6577225,10.82298859,38.21564958,1, Radial Velocity,1,5.59,0.98,0.25,-2.56,0.26,0.09,0.29,0.27,0.26,0.25,0.19,0.35,0.29,0.21,0.22,0.23,0.35,0.3,0.33
522,-0.066514487,9.547192417,23.87537225,1, Radial Velocity,2,5.3,1.23,0.1,-0.36,0.25,0.17,0.11,0.03,-0.14,0.13,0.13,0.25,0.13,0.08,0.07,0.02,0.18,0.06,nan
12247,13.74745075,-88.46600786,23.28747803,1, Radial Velocity,1,5.3,2.4,0.02,-3.05,-0.22,-0.08,0.11,0.13,0.09,0.1,0.06,-0.01,0.04,-0.03,0.01,0.01,0.07,0,0.06
10743,66.12338365,0.199578865,26.33344405,1, Radial Velocity,2,5.13,1.29,-0.02,-2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79242,22.36979751,17.654585,-19.14103298,1, Radial Velocity,1,5.1,0.99,0.2,nan,0.26,0.08,0.22,0.33,0.25,0.21,0.21,0.27,0.3,0.35,0.23,0.16,0.3,0.23,nan
33212,-18.89826868,-0.113026063,-23.18717934,1, Radial Velocity,1,4.954,1.04,0.02,-0.78,0.07,-0.02,-0.08,0.01,-0.04,-0.02,0.04,0.11,0.03,-0.04,-0.03,-0.2,0.01,-0.03,0.14
12191,-0.233725814,-19.77539689,-54.38620061,1, Radial Velocity,1,4.77,1.34,0.34,-0.66,0.24,0.26,0.38,0.27,0.35,0.3,0.27,0.34,0.29,0.25,0.26,0.32,0.3,0.37,0.34
79248,-13.2790888,-11.14468506,-2.867590053,1, Radial Velocity,1,4.64,0.9,0.49,-2.08,0.53,0.24,0.56,0.48,0.52,0.42,0.33,0.58,0.47,0.58,0.42,0.38,0.7,0.46,0.29
66903,9.848288491,88.99028618,46.10015206,1, Radial Velocity,1,4.5,2.39,0.13,-2.87,-0.27,0,0.34,0.23,0.22,0.25,0.15,0.11,0.07,0.18,0.14,0.23,0.16,0.14,0.13
111143,0.842681927,-27.32926539,30.05851041,1, Radial Velocity,1,4.5,0,0.17,-0.76,0.2,0.12,0.19,0.2,0.17,0.16,0.14,0.26,0.2,0.15,0.11,0.02,0.2,0.17,0.15
67275,2.388484806,-1.393991579,-15.37087609,1, Radial Velocity,1,4.32,1.34,0.33,-1.25,0.36,0.31,0.37,0.21,0.35,0.33,0.29,0.5,0.34,0.4,0.23,0.29,0.35,0.24,0.65
106006,1.713910272,-45.67830389,-12.43215921,1, Radial Velocity,2,4.28,1.02,0.2,nan,0.27,0.09,0.21,0.23,0.2,0.21,0.19,0.29,0.21,0.2,0.18,0.15,0.28,0.25,0.16
8770,-40.85346069,2.611322999,-31.58667514,1, Radial Velocity,2,4.21,1.24,0.35,-0.52,0.29,0.08,0.33,0.26,0.28,0.3,0.32,0.41,0.29,0.28,0.27,0.3,0.35,0.37,0.31
7513,-6.78337587,9.149705564,-7.231384369,1, Radial Velocity,3,4.132,1.3,0.14,-1,0.17,0.02,0.12,0.25,0.17,0.14,0.17,0.29,0.16,0.09,0.07,-0.04,0.13,0.09,0.08
41704,9.250390725,-26.80608827,-47.02667499,1, Radial Velocity,1,4.1,3.09,-0.11,-2.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90485,-0.908584629,-0.491690592,36.58863906,1, Radial Velocity,2,4.04,1.4,0.2,-2.25,0.24,0.2,0.17,0.19,0.11,0.15,0.23,0.29,0.19,0.16,0.17,0.02,0.19,0.15,0.27
17960,4.591795187,7.944861699,-45.68586483,1, Radial Velocity,1,4.01,1.18,0.24,nan,0.22,0.12,0.15,0.26,0.22,0.17,0.22,0.43,0.26,0.16,0.18,0.06,0.39,0.23,0.25
28767,-31.83125982,-0.581095355,9.103645686,1, Radial Velocity,1,4.01,1.15,0.24,-0.36,0.18,0.15,0.18,0.16,0.14,0.19,0.2,0.27,0.21,0.17,0.22,0.17,0.27,0.2,0.25
14810,25.92516893,21.1977465,41.65526194,1, Radial Velocity,3,3.88,0.99,0.3,-2.36,0.29,0.12,0.29,0.2,0.25,0.25,0.25,0.4,0.24,0.27,0.27,0.22,0.47,0.33,0.15
90344,-88.47286121,-3.153646944,38.46688966,1, Radial Velocity,1,3.88,0.98,-0.35,-3.28,-0.44,-0.24,-0.27,-0.16,-0.09,-0.18,-0.34,-0.18,-0.29,-0.26,-0.39,-0.49,-0.23,-0.35,-0.41
43587,-4.422534434,-11.499952,-0.703736865,1, Radial Velocity,5,3.878,0.91,0.41,-2.68,0.43,0.26,0.47,0.42,0.43,0.39,0.31,0.47,0.4,0.45,0.36,0.42,0.6,0.42,0.19
95740,26.55780359,-1.747006865,48.24154219,1, Radial Velocity,2,3.67,1.17,0.34,-0.99,0.31,0.18,0.33,0.39,0.34,0.31,0.31,0.55,0.33,0.27,0.28,0.31,0.46,0.36,0.34
52409,18.07160211,9.431450867,-29.01632213,1, Radial Velocity,1,3.58,1.1,0.33,-2.06,0.32,0.14,0.32,0.33,0.32,0.3,0.29,0.44,0.34,0.28,0.29,0.27,0.43,0.36,0.35
89354,-6.784601879,-1.234363764,41.75344962,1, Radial Velocity,1,3.53,0.81,-0.08,nan,-0.01,-0.33,-0.03,-0.04,-0.02,-0.06,-0.02,0.05,0.07,0.22,-0.04,-0.2,-0.01,-0.07,nan
60788,1.429853992,33.20615198,-36.5893956,1, Radial Velocity,1,3.5,0.84,0.07,nan,0.03,nan,0.12,0.07,0.13,0.1,0.02,0.21,0.2,0.41,0.05,-0.04,0.2,0.1,nan
1640,29.17684957,-65.56390864,-33.89544447,1, Radial Velocity,2,3.48,1.31,0.24,nan,nan,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78521,-7.568143139,58.58061884,-28.67497839,1, Radial Velocity,1,3.48,0.95,0.32,nan,0.2,0.21,0.3,0.22,0.32,0.31,0.24,nan,0.34,0.36,0.34,nan,0.37,0.4,nan
1292,2.773221989,3.532606148,16.91163462,1, Radial Velocity,1,3.37,0.9,0.12,-1.1,0.11,0.02,0.03,0.05,0.04,0.08,0.14,0.15,0.16,0.17,0.14,0.03,0.07,0.09,nan
26664,-42.17143498,-7.851419609,-9.682911837,1, Radial Velocity,2,3.366,1,0.3,nan,0.3,0.14,0.26,0.34,0.3,0.28,0.25,0.4,0.29,0.28,0.29,0.36,0.47,0.32,0.24
13192,-1.521698591,65.69776127,36.18428047,1, Radial Velocity,1,3.22,1.24,0.24,-0.66,0.21,0.1,0.21,0.21,0.24,0.19,0.23,0.28,0.23,0.17,0.2,0.15,0.24,0.26,0.23
114855,41.9457263,10.94327825,-15.19223625,1, Radial Velocity,1,3.2,1.4,0.09,-3.43,-0.01,0.06,-0.07,0.1,0.2,0.15,-0.03,0.05,0.1,0.04,0,0.06,0.14,0.05,-0.01
115714,57.64434712,-11.91722297,20.65796943,1, Radial Velocity,1,3.18,1.13,-0.16,-2.22,0.2,-0.01,-0.31,-0.23,-0.43,-0.15,-0.28,nan,-0.37,-0.47,nan,-0.58,-0.31,-0.33,nan
42030,-0.134461236,0.040378808,-49.82541257,1, Radial Velocity,1,3.15,1.06,0.04,-1.07,0.06,0.02,0.02,0.12,0.02,0.02,0.04,0.12,0.06,-0.06,-0.01,-0.15,0.05,0.01,0.01
116084,-2.793805732,-4.125475314,-55.05416066,1, Radial Velocity,1,3.09,1.25,0.05,-0.31,0.08,0,-0.02,-0.03,-0.1,0.02,0.11,-0.01,0.12,-0.01,0.05,-0.18,-0.05,0.01,0.22
42202,52.003308,14.3409696,-5.262252556,1, Radial Velocity,1,3.06,0.89,0.08,nan,0.12,nan,0.13,0.17,0.2,0.11,0.14,0.2,0.26,0.33,0.1,-0.02,0.18,0.09,nan
11791,39.20305088,13.87667686,-70.01377532,1, Radial Velocity,1,3,2.49,0.08,-2.8,-0.14,0.03,0.19,0.18,0.18,0.21,0.15,0.06,0.06,0.04,0.09,0,0.13,0.08,0.15
9519,-33.4990807,34.81353125,16.31739896,1, Radial Velocity,1,2.98,1.01,0.18,-0.29,0,0.05,-0.14,0.03,-0.1,0.05,0.19,nan,0.11,0.16,0.14,-0.06,nan,0.03,0.2
79219,4.006688733,2.822625135,125.2174037,1, Radial Velocity,1,2.9,1.9,-0.16,nan,-0.11,-0.15,-0.13,-0.02,-0.05,-0.07,-0.13,-0.28,-0.12,-0.24,-0.26,-0.1,-0.14,-0.2,-0.28
95124,2.059213906,6.020313537,110.4363273,1, Radial Velocity,1,2.9,1.89,0.27,nan,0.08,0.02,0.27,0.09,0.3,0.32,0.2,0.28,0.28,0.34,0.21,0.46,0.35,0.31,0.44
101806,0.572376064,-29.30477738,40.47720695,1, Radial Velocity,1,2.9,1.15,0.25,-1.12,0.32,0.21,0.3,0.3,0.3,0.27,0.24,0.41,0.28,0.27,0.23,0.2,0.37,0.3,0.24
39417,1.780854401,21.74586378,-50.39434714,1, Radial Velocity,1,2.82,1.1,0.3,-2.56,0.37,0.21,0.39,0.35,0.33,0.31,0.27,0.41,0.33,0.3,0.28,0.26,0.45,0.35,0.2
97938,31.9344683,3.541741667,46.20041853,1, Radial Velocity,1,2.8,2.2,-0.11,nan,0.06,0.11,-0.03,0.2,0.13,0.07,-0.03,-0.11,0.13,0.21,-0.23,-0.07,0.1,-0.14,nan
83547,3.42180436,-38.58235599,30.86845417,1, Radial Velocity,1,2.73,1.12,0,-0.7,0.07,-0.02,-0.03,0.11,0.01,0.01,0.09,0.17,0.11,-0.05,-0.02,-0.15,0.1,0.01,nan
80902,8.312881618,-3.165680416,-26.78630939,1, Radial Velocity,1,2.71,1.17,0,-0.69,-0.02,-0.1,-0.2,-0.01,-0.15,-0.06,0,-0.06,-0.01,-0.04,-0.02,-0.22,-0.08,-0.06,0.12
13993,-24.57752108,-44.07931428,-125.5544499,1, Radial Velocity,1,2.7,1.6,0.02,nan,-0.3,-0.21,-0.12,-0.07,-0.14,-0.13,-0.05,-0.08,-0.03,-0.04,-0.1,-0.13,0.01,-0.06,0.2
46471,2.92636475,2.982958921,85.7351354,1, Radial Velocity,1,2.7,2.1,-0.25,-3.54,-0.29,-0.26,-0.31,-0.01,-0.05,-0.16,-0.18,-0.32,-0.21,-0.28,-0.35,-0.36,-0.22,-0.28,-0.44
91852,-15.56540392,-55.77503636,-126.880843,1, Radial Velocity,1,2.7,2,-0.08,nan,-0.08,-0.19,-0.06,0.2,-0.03,0.01,-0.05,-0.22,-0.01,-0.05,-0.12,0.07,-0.11,-0.11,nan
61020,-85.13708544,110.0630099,5.962343786,1, Radial Velocity,1,2.6,1.85,0.2,nan,-0.14,-0.12,0.11,0.08,0.01,0.04,0.08,0.24,0.09,0.16,0.1,0.17,0.13,0.13,0.42
91085,29.84977449,-39.1750866,-10.10109415,1, Radial Velocity,1,2.6,0.94,0.22,nan,0.12,-0.03,0.09,0.13,0.08,0.16,0.21,nan,0.15,0.19,0.2,0.13,nan,0.21,0.16
113421,-7.749252166,12.34996533,-13.48069224,1, Radial Velocity,2,2.6,1.02,0.4,-2.28,0.32,0.19,0.39,0.41,0.39,0.35,0.28,0.4,0.36,0.32,0.34,0.38,0.46,0.39,0.34
84069,62.34042475,12.93096346,-8.452836025,1, Radial Velocity,2,2.58,1.72,-0.18,nan,nan,nan,-0.2,nan,nan,-0.17,nan,nan,-0.09,nan,nan,nan,nan,-0.2,nan
101966,-4.177322455,7.310173493,-32.44877341,1, Radial Velocity,1,2.58,1.28,0.25,-0.64,0.13,0.22,0.22,0.28,0.19,0.23,0.28,0.43,0.24,0.18,0.25,0.17,0.25,0.24,0.37
25191,-24.5071972,27.43134834,-43.09245203,1, Radial Velocity,1,2.54,0.9,-0.13,nan,-0.09,-0.18,-0.04,-0.05,-0.05,-0.07,-0.06,-0.06,0,-0.04,-0.1,-0.27,-0.06,-0.11,nan
28393,7.329449853,-16.34082207,36.62180715,1, Radial Velocity,1,2.54,0.7,0.17,nan,0.32,-0.06,nan,0.16,nan,0.22,nan,nan,nan,nan,nan,nan,nan,0.19,nan
53721,-0.851008996,-12.86583608,5.61303232,1, Radial Velocity,3,2.53,1.03,0.07,-1.53,0.13,0,0.02,0.11,0.02,0.03,0.05,0.15,0.06,0,-0.01,-0.07,0.08,0.04,0.02
36795,-22.07129725,-9.751331116,7.597358914,1, Radial Velocity,2,2.51,1.5,-0.09,-1.63,-0.09,0.13,-0.13,-0.09,-0.23,-0.12,-0.1,-0.08,-0.11,-0.32,-0.26,-0.4,-0.11,-0.19,0.07
43674,-0.295765723,-5.302334648,75.57121181,1, Radial Velocity,1,2.51,1.28,0.29,-0.6,0.28,0.27,0.28,0.21,0.21,0.24,0.29,0.39,0.22,0.19,0.24,0.37,0.38,0.32,0.3
30057,-62.13539183,-46.90604263,-20.0225239,1, Radial Velocity,1,2.49,1.38,0.32,-1.3,0.29,0.34,0.32,0.22,0.24,0.28,0.32,0.38,0.28,0.27,0.25,0.2,0.38,0.33,0.33
31592,3.794080027,-17.74321239,-7.803251371,1, Radial Velocity,1,2.46,1.52,0.24,nan,nan,nan,0.34,0.2,0.28,0.17,0.09,0.23,0.19,0.46,0.11,0.37,0.36,0.17,nan
17096,1.419404599,29.84239149,-15.99166648,1, Radial Velocity,1,2.45,1.01,-0.11,-1.09,-0.04,-0.15,-0.14,-0.08,-0.15,-0.1,-0.04,-0.01,-0.02,-0.15,-0.11,-0.32,-0.13,-0.14,-0.02
104903,2.130907736,16.19212039,-42.28671643,1, Radial Velocity,2,2.44,1.15,0.36,-1.89,0.21,0.09,0.34,0.29,0.29,0.3,0.29,0.4,0.34,0.33,0.32,0.33,0.39,0.36,0.44
48455,-20.97895699,-12.47964814,29.19036575,1, Radial Velocity,1,2.4,1.5,0.3,-2.97,0.14,0.19,0.68,0.57,0.52,0.52,0.25,0.29,0.32,0.42,0.36,0.5,0.58,0.37,0.18
99894,6.526789786,-5.602823306,-65.05054614,1, Radial Velocity,1,2.4,1.68,-0.13,nan,-0.26,-0.11,-0.2,-0.14,-0.18,-0.22,-0.12,-0.21,-0.09,-0.27,-0.17,-0.24,-0.24,-0.22,0.15
3834,30.42453818,-8.043451265,48.60565437,1, Radial Velocity,2,2.37,1.74,0.1,-2.92,-0.11,-0.01,0.12,0.22,0.11,0.12,0.08,0.02,0.11,0.11,0.07,0.06,0.11,0.08,0.17
